Language,SourceWord,TargetWord,SourceWordSyl,TargetWordSyl,TargetOrthography,Translation,Reference,Notes
Angolar,ˈawɐ,agwɐ,ˈa.wɐ,a.gwɐ,água,water,Bandeira2017[366-412],
Angolar,ˈawɐ,agwɐ,ˈa.wɐ,a.gwɐ,água,water,Bandeira2017[366-412],
Angolar,faˈɲa,fɐˈɾiɲɐ,fa.ˈɲa,fɐ.ˈɾi.ɲɐ,farinha,flour,Bandeira2017[366-412],
Angolar,faˈɲa,fɐˈɾiɲɐ,fa.ˈɲa,fɐ.ˈɾi.ɲɐ,farinha,flour,Bandeira2017[366-412],
Angolar,faˈɲa,fɐˈɾiɲɐ,fa.ˈɲa,fɐ.ˈɾi.ɲɐ,farinha,flour,Bandeira2017[366-412],
Angolar,fɛˈðɔ̃,fejˈʒɐ̃w̃,fɛ.ˈðɔ̃,fej.ˈʒɐ̃w̃,feijão,bean,Bandeira2017[366-412],
Angolar,fɛˈðɔ̃,fejˈʒɐ̃w̃,fɛ.ˈðɔ̃,fej.ˈʒɐ̃w̃,feijão,bean,Bandeira2017[366-412],
Angolar,goˈdulɐ,ɡuɾˈduɾɐ,go.ˈdu.lɐ,ɡuɾ.ˈdu.ɾɐ,gordura,fat,Bandeira2017[366-412],
Angolar,goˈdulɐ,ɡuɾˈduɾɐ,go.ˈdu.lɐ,ɡuɾ.ˈdu.ɾɐ,gordura,fat,Bandeira2017[366-412],
Angolar,goˈdulɐ,ɡuɾˈduɾɐ,go.ˈdu.lɐ,ɡuɾ.ˈdu.ɾɐ,gordura,fat,Bandeira2017[366-412],
Angolar,kadɛˈladɐ,kaldejˈɾadɐ,ka.dɛ.ˈla.dɐ,kal.dej.ˈɾa.dɐ,caldeirada,fish stew,Bandeira2017[366-412],
Angolar,kadɛˈladɐ,kaldejˈɾadɐ,ka.dɛ.ˈla.dɐ,kal.dej.ˈɾa.dɐ,caldeirada,fish stew,Bandeira2017[366-412],
Angolar,kadɛˈladɐ,kaldejˈɾadɐ,ka.dɛ.ˈla.dɐ,kal.dej.ˈɾa.dɐ,caldeirada,fish stew,Bandeira2017[366-412],
Angolar,kadɛˈladɐ,kaldejˈɾadɐ,ka.dɛ.ˈla.dɐ,kal.dej.ˈɾa.dɐ,caldeirada,fish stew,Bandeira2017[366-412],
Angolar,kaˈnɐ,ˈkɐnɐ,ka.ˈnɐ,ˈkɐ.nɐ,cana,sugarcane,Bandeira2017[366-412],
Angolar,kaˈnɐ,ˈkɐnɐ,ka.ˈnɐ,ˈkɐ.nɐ,cana,sugarcane,Bandeira2017[366-412],
Angolar,ˈkani,ˈkaɾnɨ,ˈka.ni,ˈkaɾ.nɨ,carne,meat,Bandeira2017[366-412],
Angolar,ˈkani,ˈkaɾnɨ,ˈka.ni,ˈkaɾ.nɨ,carne,meat,Bandeira2017[366-412],
Angolar,ˈlete,ˈlɐjtɨ,ˈle.te,ˈlɐj.tɨ,leite,milk,Bandeira2017[366-412],
Angolar,ˈlete,ˈlɐjtɨ,ˈle.te,ˈlɐj.tɨ,leite,milk,Bandeira2017[366-412],
Angolar,maˈmõ,mɐˈmɐ̃w̃,ma.ˈmõ,mɐ.ˈmɐ̃w̃,mamão,papaya,Bandeira2017[366-412],
Angolar,maˈmõ,mɐˈmɐ̃w̃,ma.ˈmõ,mɐ.ˈmɐ̃w̃,mamão,papaya,Bandeira2017[366-412],
Angolar,mɐ̃ˈdjɔkɐ,mɐ̃diˈɔkɐ,mɐ̃.ˈdjɔ.kɐ,mɐ̃.di.ˈɔ.kɐ,mandioca,manjoka,Bandeira2017[366-412],
Angolar,mɐ̃ˈdjɔkɐ,mɐ̃diˈɔkɐ,mɐ̃.ˈdjɔ.kɐ,mɐ̃.di.ˈɔ.kɐ,mandioca,manjoka,Bandeira2017[366-412],
Angolar,mɐ̃ˈdjɔkɐ,mɐ̃diˈɔkɐ,mɐ̃.ˈdjɔ.kɐ,mɐ̃.di.ˈɔ.kɐ,mandioca,manjoka,Bandeira2017[366-412],
Angolar,mɐ̃ˈdjɔkɐ,mɐ̃diˈɔkɐ,mɐ̃.ˈdjɔ.kɐ,mɐ̃.di.ˈɔ.kɐ,mandioca,manjoka,Bandeira2017[366-412],
Angolar,mɐ̃ˈsõ,mɐˈsɐ̃,mɐ̃.ˈsõ,mɐ.ˈsɐ̃,maçã,apple,Bandeira2017[366-412],
Angolar,mɐ̃ˈsõ,mɐˈsɐ̃,mɐ̃.ˈsõ,mɐ.ˈsɐ̃,maçã,apple,Bandeira2017[366-412],
Angolar,mɐ̃ˈtɛgɐ,mɐ̃ˈtɐjgɐ,mɐ̃.ˈtɛ.gɐ,mɐ̃.ˈtɐj.gɐ,manteiga,butter,Bandeira2017[366-412],
Angolar,mɐ̃ˈtɛgɐ,mɐ̃ˈtɐjgɐ,mɐ̃.ˈtɛ.gɐ,mɐ̃.ˈtɐj.gɐ,manteiga,butter,Bandeira2017[366-412],
Angolar,mɐ̃ˈtɛgɐ,mɐ̃ˈtɐjgɐ,mɐ̃.ˈtɛ.gɐ,mɐ̃.ˈtɐj.gɐ,manteiga,butter,Bandeira2017[366-412],
Angolar,ˈθalu,ˈsal,ˈθa.lu,ˈsal,sal,salt,Bandeira2017[366-412],
Angolar,ˈθalu,ˈsal,ˈθa.lu,ˈsal,sal,salt,Bandeira2017[366-412],
Angolar,ˈsopɐ,ˈsopɐ,ˈso.pɐ,ˈso.pɐ,sopa,soup,Bandeira2017[366-412],
Angolar,ˈsopɐ,ˈsopɐ,ˈso.pɐ,ˈso.pɐ,sopa,soup,Bandeira2017[366-412],
Angolar,viˈnagi,viˈnagɾɨ,viˈ.na.gi,viˈ.na.gɾɨ,vinagre,vinegar,Bandeira2017[366-412],
Angolar,viˈnagi,viˈnagɾɨ,viˈ.na.gi,viˈ.na.gɾɨ,vinagre,vinegar,Bandeira2017[366-412],
Angolar,viˈnagi,viˈnagɾɨ,viˈ.na.gi,viˈ.na.gɾɨ,vinagre,vinegar,Bandeira2017[366-412],
Angolar,ˈkɔkɔ,ˈkoɾnu,ˈkɔ.kɔ,ˈkoɾ.nu,corno,horn,Bandeira2017[366-412],
Angolar,ˈkɔkɔ,ˈkoɾnu,ˈkɔ.kɔ,ˈkoɾ.nu,corno,horn,Bandeira2017[366-412],
Angolar,ˈbɛgɐ,bɐˈʀigɐ,ˈbɛ.gɐ,bɐˈ.ʀi.gɐ,barriga,belly,Bandeira2017[366-412],
Angolar,ˈbɛgɐ,bɐˈʀigɐ,ˈbɛ.gɐ,bɐˈ.ʀi.gɐ,barriga,belly,Bandeira2017[366-412],
Angolar,ˈbɛgɐ,bɐˈʀigɐ,ˈbɛ.gɐ,bɐˈ.ʀi.gɐ,barriga,belly,Bandeira2017[366-412],
Angolar,ˈfigadu,ˈfiɡɐdu,ˈfi.ga.du,ˈfi.ɡɐ.du,fígado,liver,Bandeira2017[366-412],
Angolar,ˈfigadu,ˈfiɡɐdu,ˈfi.ga.du,ˈfi.ɡɐ.du,fígado,liver,Bandeira2017[366-412],
Angolar,ˈfigadu,ˈfiɡɐdu,ˈfi.ga.du,ˈfi.ɡɐ.du,fígado,liver,Bandeira2017[366-412],
Angolar,kaˈbelu,kɐˈbelu,kaˈ.be.lu,kɐˈ.belu,cabelo,hair,Bandeira2017[366-412],
Angolar,kaˈbelu,kɐˈbelu,kaˈ.be.lu,kɐˈ.belu,cabelo,hair,Bandeira2017[366-412],
Angolar,kaˈbelu,kɐˈbelu,kaˈ.be.lu,kɐˈ.belu,cabelo,hair,Bandeira2017[366-412],
Angolar,ˈnte,ˈfɾõtɨ,ˈn.te,ˈfɾõ.tɨ,fronte,head,Bandeira2017[366-412],
Angolar,ˈnte,ˈfɾõtɨ,ˈn.te,ˈfɾõ.tɨ,fronte,head,Bandeira2017[366-412],
Angolar,kɔˈθɔ,kuɾɐˈsɐ̃w̃,kɔ.ˈθɔ,ku.ɾɐ.ˈsɐ̃w̃,coração,heart,Bandeira2017[366-412],
Angolar,kɔˈθɔ,kuɾɐˈsɐ̃w̃,kɔ.ˈθɔ,ku.ɾɐ.ˈsɐ̃w̃,coração,heart,Bandeira2017[366-412],
Angolar,kɔˈθɔ,kuɾɐˈsɐ̃w̃,kɔ.ˈθɔ,ku.ɾɐ.ˈsɐ̃w̃,coração,heart,Bandeira2017[366-412],
Angolar,kuˈpi,ˈkuʃpu,kuˈ.pi,ˈkuʃ.pu,cuspo,spit,Bandeira2017[366-412],
Angolar,kuˈpi,ˈkuʃpu,kuˈ.pi,ˈkuʃ.pu,cuspo,spit,Bandeira2017[366-412],
Angolar,ˈlũga,ˈlĩɡuɐ,ˈlũ.ga,ˈlĩ.ɡuɐ,língua,tongue,Bandeira2017[366-412],
Angolar,ˈlũga,ˈlĩɡuɐ,ˈlũ.ga,ˈlĩ.ɡuɐ,língua,tongue,Bandeira2017[366-412],
Angolar,ˈmo,ˈmɐ̃w̃,ˈmo,ˈmɐ̃w̃,mão,hand,Bandeira2017[366-412],
Angolar,ˈθɐ̃gɪ,ˈsɐ̃ɡɨ,ˈθɐ̃.gɪ,ˈsɐ̃.ɡɨ,sangue,blood,Bandeira2017[366-412],
Angolar,ˈθɐ̃gɪ,ˈsɐ̃ɡɨ,ˈθɐ̃.gɪ,ˈsɐ̃.ɡɨ,sangue,blood,Bandeira2017[366-412],
Angolar,kaˈθo,kɐˈʃoʀu,kaˈ.θo,kɐ.ˈʃo.ʀu,cachorro,dog,Bandeira2017[366-412],
Angolar,kaˈθo,kɐˈʃoʀu,kaˈ.θo,kɐ.ˈʃo.ʀu,cachorro,dog,Bandeira2017[366-412],
Angolar,kaˈθo,kɐˈʃoʀu,kaˈ.θo,kɐ.ˈʃo.ʀu,cachorro,dog,Bandeira2017[366-412],
Angolar,ˈkabɐ,ˈkabɾɐ,ˈka.bɐ,ˈka.bɾɐ,cabra,goat,Bandeira2017[366-412],
Angolar,ˈkabɐ,ˈkabɾɐ,ˈka.bɐ,ˈka.bɾɐ,cabra,goat,Bandeira2017[366-412],
Angolar,ma:ˈku,mɐˈkaku,ma:.ˈku,mɐ.ˈka.ku,macaco,monkey,Bandeira2017[366-412],
Angolar,ma:ˈku,mɐˈkaku,ma:.ˈku,mɐ.ˈka.ku,macaco,monkey,Bandeira2017[366-412],
Angolar,ma:ˈku,mɐˈkaku,ma:.ˈku,mɐ.ˈka.ku,macaco,monkey,Bandeira2017[366-412],
Angolar,ŋgɐ̃ˈɲa,gɐˈliɲɐ,ŋ.gɐ̃.ˈɲa,gɐ.ˈli.ɲɐ,galinha,chicken,Bandeira2017[366-412],
Angolar,ŋgɐ̃ˈɲa,gɐˈliɲɐ,ŋ.gɐ̃.ˈɲa,gɐ.ˈli.ɲɐ,galinha,chicken,Bandeira2017[366-412],
Angolar,ŋgɐ̃ˈɲa,gɐˈliɲɐ,ŋ.gɐ̃.ˈɲa,gɐ.ˈli.ɲɐ,galinha,chicken,Bandeira2017[366-412],
Angolar,ŋgɐ̃ˈɲa,gɐˈliɲɐ,ŋ.gɐ̃.ˈɲa,gɐ.ˈli.ɲɐ,galinha,chicken,Bandeira2017[366-412],
Angolar,ŋˈgaθɐ,ˈgaɾsɐ,ŋ.ˈga.θɐ,ˈgaɾ.sɐ,garça,heron,Bandeira2017[366-412],
Angolar,ŋˈgaθɐ,ˈgaɾsɐ,ŋ.ˈga.θɐ,ˈgaɾ.sɐ,garça,heron,Bandeira2017[366-412],
Angolar,ŋˈgaθɐ,ˈgaɾsɐ,ŋ.ˈga.θɐ,ˈgaɾ.sɐ,garça,heron,Bandeira2017[366-412],
Angolar,ˈgɛlɐ,ˈgɛʀɐ,ˈgɛ.lɐ,ˈgɛ.ʀɐ,guerra,war,Bandeira2017[366-412],
Angolar,ˈgɛlɐ,ˈgɛʀɐ,ˈgɛ.lɐ,ˈgɛ.ʀɐ,guerra,war,Bandeira2017[366-412],
Angolar,maˈdadi,malˈdadɨ,ma.ˈda.di,mal.ˈda.dɨ,maldade,evil,Bandeira2017[366-412],
Angolar,maˈdadi,malˈdadɨ,ma.ˈda.di,mal.ˈda.dɨ,maldade,evil,Bandeira2017[366-412],
Angolar,maˈdadi,malˈdadɨ,ma.ˈda.di,mal.ˈda.dɨ,maldade,evil,Bandeira2017[366-412],
Angolar,ˈθedi,ˈsedɨ,ˈθe.di,ˈse.dɨ,sede,thirst,Bandeira2017[366-412],
Angolar,ˈθedi,ˈsedɨ,ˈθe.di,ˈse.dɨ,sede,thirst,Bandeira2017[366-412],
Angolar,ˈsimi,siˈumɨ,ˈsi.mi,si.ˈu.mɨ,ciúmes,jealousy,Bandeira2017[366-412],
Angolar,ˈsimi,siˈumɨ,ˈsi.mi,si.ˈu.mɨ,ciúmes,jealousy,Bandeira2017[366-412],
Angolar,ˈsimi,siˈumɨ,ˈsi.mi,si.ˈu.mɨ,ciúmes,jealousy,Bandeira2017[366-412],
Angolar,vɛˈgɔɲɐ,vɨɾˈgoɲɐ,vɛ.ˈgɔ.ɲɐ,vɨɾ.ˈgo.ɲɐ,vergonha,shame,Bandeira2017[366-412],
Angolar,vɛˈgɔɲɐ,vɨɾˈgoɲɐ,vɛ.ˈgɔ.ɲɐ,vɨɾ.ˈgo.ɲɐ,vergonha,shame,Bandeira2017[366-412],
Angolar,vɛˈgɔɲɐ,vɨɾˈgoɲɐ,vɛ.ˈgɔ.ɲɐ,vɨɾ.ˈgo.ɲɐ,vergonha,shame,Bandeira2017[366-412],
Angolar,ˈkolo,ˈkoɾ,ˈko.lo,ˈkoɾ,cor,color,Bandeira2017[366-412],
Angolar,ˈkolo,ˈkoɾ,ˈko.lo,ˈkoɾ,cor,color,Bandeira2017[366-412],
Angolar,ˈvedi,ˈveɾdɨ,ˈve.di,ˈveɾ.dɨ,verde,green,Bandeira2017[366-412],
Angolar,ˈvedi,ˈveɾdɨ,ˈve.di,ˈveɾ.dɨ,verde,green,Bandeira2017[366-412],
Angolar,veˈme,vɨɾˈmɐjʎu,ve.ˈme,vɨɾ.ˈmɐj.ʎu,vermelho,red,Bandeira2017[366-412],
Angolar,veˈme,vɨɾˈmɐjʎu,ve.ˈme,vɨɾ.ˈmɐj.ʎu,vermelho,red,Bandeira2017[366-412],
Angolar,veˈme,vɨɾˈmɐjʎu,ve.ˈme,vɨɾ.ˈmɐj.ʎu,vermelho,red,Bandeira2017[366-412],
Angolar,ŋgaˈpo,kɐɾɐˈpaw,ŋ.ga.ˈpo,kɐ.ɾɐ.ˈpaw,carapau,scad,Bandeira2017[366-412],
Angolar,ŋgaˈpo,kɐɾɐˈpaw,ŋ.ga.ˈpo,kɐ.ɾɐ.ˈpaw,carapau,scad,Bandeira2017[366-412],
Angolar,ŋgaˈpo,kɐɾɐˈpaw,ŋ.ga.ˈpo,kɐ.ɾɐ.ˈpaw,carapau,scad,Bandeira2017[366-412],
Angolar,kikiˈe,ˈpejʃɨ,ki.ki.ˈe,ˈpej.ʃɨ,peixe,fish,Bandeira2017[366-412],
Angolar,va:ˈdo,vuɐˈdoɾ,va:.ˈdo,vu.ɐ.ˈdoɾ,voador,flying fish,Bandeira2017[366-412],
Angolar,va:ˈdo,vuɐˈdoɾ,va:.ˈdo,vu.ɐ.ˈdoɾ,voador,flying fish,Bandeira2017[366-412],
Angolar,va:ˈdo,vuɐˈdoɾ,va:.ˈdo,vu.ɐ.ˈdoɾ,voador,flying fish,Bandeira2017[366-412],
Angolar,biˈsigɐ,vɐˈɾiulɐ,biˈ.si.gɐ,vɐˈ.ɾiu.lɐ,varíola,variola,Bandeira2017[366-412],
Angolar,biˈsigɐ,vɐˈɾiulɐ,biˈ.si.gɐ,vɐˈ.ɾiu.lɐ,varíola,variola,Bandeira2017[366-412],
Angolar,biˈsigɐ,vɐˈɾiulɐ,biˈ.si.gɐ,vɐˈ.ɾiu.lɐ,varíola,variola,Bandeira2017[366-412],
Angolar,ˈfɛbɛ,ˈfɛbɾɨ,ˈfɛ.bɛ,ˈfɛ.bɾɨ,febre,fever,Bandeira2017[366-412],
Angolar,ˈfɛbɛ,ˈfɛbɾɨ,ˈfɛ.bɛ,ˈfɛ.bɾɨ,febre,fever,Bandeira2017[366-412],
Angolar,ˈfi:dɐ,fɨˈɾidɐ,ˈfi:.dɐ,fɨ.ˈɾi.dɐ,ferida,wound,Bandeira2017[366-412],
Angolar,ˈfi:dɐ,fɨˈɾidɐ,ˈfi:.dɐ,fɨ.ˈɾi.dɐ,ferida,wound,Bandeira2017[366-412],
Angolar,ˈfi:dɐ,fɨˈɾidɐ,ˈfi:.dɐ,fɨ.ˈɾi.dɐ,ferida,wound,Bandeira2017[366-412],
Angolar,ˈlɛpɐ,ˈlɛpɾɐ,ˈlɛ.pɐ,ˈlɛ.pɾɐ,lepra,leprosy,Bandeira2017[366-412],
Angolar,ˈlɛpɐ,ˈlɛpɾɐ,ˈlɛ.pɐ,ˈlɛ.pɾɐ,lepra,leprosy,Bandeira2017[366-412],
Angolar,baˈja,vɐjˈaɾ,ba.ˈja,vɐj.ˈaɾ,vaiar,curse,Bandeira2017[366-412],
Angolar,baˈja,vɐjˈaɾ,ba.ˈja,vɐj.ˈaɾ,vaiar,curse,Bandeira2017[366-412],
Angolar,baˈli,vɐˈʀeɾ,ba.ˈli,vɐ.ˈʀeɾ,varrer,sweep,Bandeira2017[366-412],
Angolar,baˈli,vɐˈʀeɾ,ba.ˈli,vɐ.ˈʀeɾ,varrer,sweep,Bandeira2017[366-412],
Angolar,ˈbe,ˈveɾ,ˈbe,ˈveɾ,ver,see,Bandeira2017[366-412],
Angolar,ˈbi,ˈviɾ,ˈbi,ˈviɾ,vir,come,Bandeira2017[366-412],
Angolar,biˈsi,vɨʃˈtiɾ,bi.ˈsi,vɨʃ.ˈtiɾ,vestir,get dressed,Bandeira2017[366-412],
Angolar,biˈsi,vɨʃˈtiɾ,bi.ˈsi,vɨʃ.ˈtiɾ,vestir,get dressed,Bandeira2017[366-412],
Angolar,ˈfa,fɐˈlaɾ,ˈfa,fɐ.ˈlaɾ,falar,say,Bandeira2017[366-412],
Angolar,ˈfa,fɐˈlaɾ,ˈfa,fɐ.ˈlaɾ,falar,say,Bandeira2017[366-412],
Angolar,faˈta,falˈtaɾ,fa.ˈta,fal.ˈtaɾ,faltar,miss,Bandeira2017[366-412],
Angolar,faˈta,falˈtaɾ,fa.ˈta,fal.ˈtaɾ,faltar,miss,Bandeira2017[366-412],
Angolar,ˈũfwa,fɨˈdeɾ,ˈũ.fwa,fɨˈ.deɾ,feder,stink,Bandeira2017[366-412],
Angolar,fiˈka,fiˈkaɾ,fi.ˈka,fi.ˈkaɾ,ficar,stay,Bandeira2017[366-412],
Angolar,fiˈka,fiˈkaɾ,fi.ˈka,fi.ˈkaɾ,ficar,stay,Bandeira2017[366-412],
Angolar,fɔˈga,fɔlˈgaɾ,fɔ.ˈga,fɔl.ˈgaɾ,folgar,play,Bandeira2017[366-412],
Angolar,fɔˈga,fɔlˈgaɾ,fɔ.ˈga,fɔl.ˈgaɾ,folgar,play,Bandeira2017[366-412],
Angolar,goˈgo,guʃˈtaɾ,go.ˈgo,guʃ.ˈtaɾ,gostar,like,Bandeira2017[366-412],
Angolar,goˈgo,guʃˈtaɾ,go.ˈgo,guʃ.ˈtaɾ,gostar,like,Bandeira2017[366-412],
Angolar,kaˈta,kɐ̃ˈtaɾ,ka.ˈta,kɐ̃.ˈtaɾ,cantar,sing,Bandeira2017[366-412],
Angolar,kaˈta,kɐ̃ˈtaɾ,ka.ˈta,kɐ̃.ˈtaɾ,cantar,sing,Bandeira2017[366-412],
