Language,SourceWord,TargetWord,SourceWordSyl,TargetWordSyl,Source word length,TargetWord length,SourceWordSyl length,TargetWordSyl length,Word diff,Word bigger,Syll diff,SylNum bigger,TargetOrthography,Translation,Reference,Notes
Kannur,tudə,tudu,tu'də,ˈtudu,4,4,2,2,0,Equal,0,Equal,todo/tudo,all,Clements2012[37-41],
Kannur,kum,i,kum,i,3,1,1,1,2,Source,0,Equal,e,and,Clements2012[37-41],
Kannur,animal,ɐnimaɫ,a'ni'mal,ɐ'niˈmaɫ,6,6,3,3,0,Equal,0,Equal,animal,animal,Clements2012[37-41],
Kannur,sinzə,sĩzɐ,sin'zə,ˈsĩzɐ,5,4,2,2,1,Source,0,Equal,cinza,ashes,Clements2012[37-41],
Kannur,kɔstə,kɔʃtɐ,kɔs'tə,ˈkɔʃtɐ,5,5,2,2,0,Equal,0,Equal,costa,back,Clements2012[37-41],
Kannur,mizəɾal,mal,mi'zə'ɾal,ˈmal,7,3,3,2,4,Source,1,Source,mal,bad,Clements2012[37-41],
Kannur,ɾónkə,ʁõkaɾ,ɾón'kə,ʁõˈkaɾ,5,6,2,2,-1,Target,0,Equal,roncar,bark (v.),Clements2012[37-41],
Kannur,ælvəɾi sə pæli,ɐ veɾ sɨ ɐ peɫɨ,æl'və'ɾi sə' pæ'li,ɐ ˈveɾ 'sɨ 'ɐ ˈpeɫɨ,14,15,5,5,-1,Target,0,Equal,a ver se a pele,bark (tree),Clements2012[37-41],
Kannur,swidə,puɾkɨ,swi'də,puɾ'kɨ,5,5,2,2,0,Equal,0,Equal,,because,Clements2012[37-41],
Kannur,baʀigə,bɐʀigɐ,ba'ʀi'gə,bɐˈʀi'gɐ,6,6,3,3,0,Equal,0,Equal,barriga,belly,Clements2012[37-41],
Kannur,gɾandi,ɡɾɐ̃dɨ,gɾan'di,ˈɡɾɐ̃dɨ,6,6,2,2,0,Equal,0,Equal,grande,big,Clements2012[37-41],
Kannur,pastɾə,pasɐɾu,pas'tɾə,ˈpa'sɐ'ɾu,6,6,2,4,0,Equal,-2,Target,pássaro,bird,Clements2012[37-41],
Kannur,muɾdɛ,muɾdeɾ,muɾ'dɛ,muɾˈdeɾ,5,6,2,2,-1,Target,0,Equal,morder,bite,Clements2012[37-41],
Kannur,pɾetə,pɾetu,pɾe'tə,ˈpɾetu,5,5,2,2,0,Equal,0,Equal,preto,black,Clements2012[37-41],
Kannur,sangi,sɐ̃ɡɨ,san'gi,ˈsɐ̃ɡɨ,5,5,2,2,0,Equal,0,Equal,sangue,blood,Clements2012[37-41],
Kannur,supɾa,supɾaɾ,su'pɾa,suˈpɾaɾ,5,6,2,2,-1,Target,0,Equal,soprar,blow,Clements2012[37-41],
Kannur,osə,osu,o'sə,ˈosu,3,3,2,2,0,Equal,0,Equal,osso,bone,Clements2012[37-41],
Kannur,petə,pejtu,pe'tə,ˈpejtu,4,5,2,2,-1,Target,0,Equal,peito,breast,Clements2012[37-41],
Kannur,kima,kejmaɾ,ki'ma,kejˈmaɾ,4,6,2,2,-2,Target,0,Equal,queimar,burn,Clements2012[37-41],
Kannur,kɾijansə,kɾiɐ̃sɐ,kɾij'an'sə,kɾiˈɐ̃'sɐ,8,7,3,3,1,Source,0,Equal,criança,child,Clements2012[37-41],
