Language,SourceWord,TargetWord,SourceWord,TargetWord,SourceWordSyllable,Target word Syllable,TemplateSylSource,TemplateSylTarget,SourceSyllable,TargetSyllable,PositionSource,PositionTarget,Process,TargetOrthography,Translation,Reference,Notes
Kannur,tudə,tudu,tu'də,ˈtudu,2,2,CVCV,CVCV,tu,tu,1,1,,todo/tudo,all,Clements2012[37-41],
Kannur,tudə,tudu,tu'də,ˈtudu,2,2,CVCV,CVCV,də,du,2,2,,todo/tudo,all,Clements2012[37-41],
Kannur,kum,i,kum,i,1,1,CVC,V,kum,i,1,1,,e,and,Clements2012[37-41],
Kannur,animal,ɐnimaɫ,a'ni'mal,ɐ'niˈmaɫ,3,3,VCVCVC,VCVCVC,a,ɐ,1,1,,animal,animal,Clements2012[37-41],
Kannur,animal,ɐnimaɫ,a'ni'mal,ɐ'niˈmaɫ,3,3,VCVCVC,VCVCVC,ni,ni,2,2,,animal,animal,Clements2012[37-41],
Kannur,animal,ɐnimaɫ,a'ni'mal,ɐ'niˈmaɫ,3,3,VCVCVC,VCVCVC,mal,maɫ,3,3,,animal,animal,Clements2012[37-41],
Kannur,sinzə,sĩzɐ,sin'zə,ˈsĩzɐ,2,2,CVCCV,CVCV,sin,sĩ,1,1,,cinza,ashes,Clements2012[37-41],
Kannur,sinzə,sĩzɐ,sin'zə,ˈsĩzɐ,2,2,CVCCV,CVCV,zə,zɐ,2,2,,cinza,ashes,Clements2012[37-41],
Kannur,kɔstə,kɔʃtɐ,kɔs'tə,ˈkɔʃtɐ,2,2,CVCCV,CVCV,kɔs,kɔʃ,1,1,,costa,back,Clements2012[37-41],
Kannur,kɔstə,kɔʃtɐ,kɔs'tə,ˈkɔʃtɐ,2,2,CVCCV,CVCV,tə,tɐ,2,2,,costa,back,Clements2012[37-41],
Kannur,mizəɾal,mal,mi'zə'ɾal,ˈmal,3,1,CVCVCVC,CVC,mi,mal,1,1,,mal,bad,Clements2012[37-41],
Kannur,mizəɾal,mal,mi'zə'ɾal,ˈmal,3,1,CVCVCVC,CVC,zə,,2,,,mal,bad,Clements2012[37-41],
Kannur,mizəɾal,mal,mi'zə'ɾal,ˈmal,3,1,CVCVCVC,CVC,ɾal,,3,,,mal,bad,Clements2012[37-41],
Kannur,ɾónkə,ʁõkaɾ,ɾón'kə,ʁõˈkaɾ,2,2,CVCCV,CṼCVC,ɾón,ʁõ,1,1,Apocope,roncar,bark (v.),Clements2012[37-41],
Kannur,ɾónkə,ʁõkaɾ,ɾón'kə,ʁõˈkaɾ,2,2,CVCCV,CṼCVC,kə,kaɾ,2,2,Apocope,roncar,bark (v.),Clements2012[37-41],
Kannur,ælvəɾi sə pæli,ɐ veɾ sɨ ɐ peɫɨ,æl'və'ɾi sə' pæ'li,ɐ ˈveɾ 'sɨ 'ɐ ˈpeɫɨ,6,6,VCCVCV CV CVCV,V CVCV V CVCV,æl,ɐ ,1,1,,a ver se a pele,bark (tree),Clements2012[37-41],
Kannur,ælvəɾi sə pæli,ɐ veɾ sɨ ɐ peɫɨ,æl'və'ɾi sə' pæ'li,ɐ ˈveɾ 'sɨ 'ɐ ˈpeɫɨ,6,6,VCCVCV CV CVCV,V CVCV V CVCV,və,veɾ,2,2,,a ver se a pele,bark (tree),Clements2012[37-41],
Kannur,ælvəɾi sə pæli,ɐ veɾ sɨ ɐ peɫɨ,æl'və'ɾi sə' pæ'li,ɐ ˈveɾ 'sɨ 'ɐ ˈpeɫɨ,6,6,VCCVCV CV CVCV,V CVCV V CVCV,ɾi,sɨ,3,3,,a ver se a pele,bark (tree),Clements2012[37-41],
Kannur,ælvəɾi sə pæli,ɐ veɾ sɨ ɐ peɫɨ,æl'və'ɾi sə' pæ'li,ɐ ˈveɾ 'sɨ 'ɐ ˈpeɫɨ,6,6,VCCVCV CV CVCV,V CVCV V CVCV,sə,ɐ,4,4,,a ver se a pele,bark (tree),Clements2012[37-41],
Kannur,ælvəɾi sə pæli,ɐ veɾ sɨ ɐ peɫɨ,æl'və'ɾi sə' pæ'li,ɐ ˈveɾ 'sɨ 'ɐ ˈpeɫɨ,6,6,VCCVCV CV CVCV,V CVCV V CVCV,pæ,pé,5,5,,a ver se a pele,bark (tree),Clements2012[37-41],
