Language,SourceWord,TargetWord,SourceWordSyl,TargetWordSyl,SourceSyllable,TargetSyllable,SourceWordSyl Lenght,TargetWordSyl Lenght,PositionSource, PositionTarget,Simple PositionSource,Simple PositionTarget,Previous Source,Next Source,Previous Target,Next Target,Process,TargetOrthography,Translation,Reference,Notes
Kannur,tudə,tudu,tu'də,ˈtudu,tu,tu,2,2,1,1,Initial,Initial,0,də,0,du,,todo/tudo,all,Clements2012[37-41],
Kannur,tudə,tudu,tu'də,ˈtudu,də,du,2,2,2,2,Final,Final,tu,2,tu,2,,todo/tudo,all,Clements2012[37-41],
Kannur,kum,i,kum,i,kum,i,1,1,1,1,Final,Initial,0,1,0,1,,e,and,Clements2012[37-41],
Kannur,animal,ɐnimaɫ,a'ni'mal,ɐ'niˈmaɫ,a,ɐ,3,3,1,1,Initial,Final,0,ni,0,ni,,animal,animal,Clements2012[37-41],
Kannur,animal,ɐnimaɫ,a'ni'mal,ɐ'niˈmaɫ,ni,ni,3,3,2,2,Medial,Initial,a,mal,ɐ,maɫ,,animal,animal,Clements2012[37-41],
Kannur,animal,ɐnimaɫ,a'ni'mal,ɐ'niˈmaɫ,mal,maɫ,3,3,3,3,Final,Final,ni,3,ni,3,,animal,animal,Clements2012[37-41],
Kannur,sinzə,sĩzɐ,sin'zə,ˈsĩzɐ,sin,sĩ,2,2,1,1,Initial,Initial,0,zə,0,zɐ,,cinza,ashes,Clements2012[37-41],
Kannur,sinzə,sĩzɐ,sin'zə,ˈsĩzɐ,zə,zɐ,2,2,2,2,Final,Final,sin,2,sĩ,2,,cinza,ashes,Clements2012[37-41],
Kannur,kɔstə,kɔʃtɐ,kɔs'tə,ˈkɔʃtɐ,kɔs,kɔʃ,2,2,1,1,Initial,Initial,0,tə,0,tɐ,,costa,back,Clements2012[37-41],
Kannur,kɔstə,kɔʃtɐ,kɔs'tə,ˈkɔʃtɐ,tə,tɐ,2,2,2,2,Final,Medial,kɔs,2,kɔʃ,2,,costa,back,Clements2012[37-41],
Kannur,mizəɾal,mal,mi'zə'ɾal,ˈmal,mi,mal,3,1,1,1,Initial,Final,0,zə,0,,,mal,bad,Clements2012[37-41],
Kannur,mizəɾal,mal,mi'zə'ɾal,ˈmal,zə,,3,1,2,,Medial,Initial,mi,ɾal,mal,,,mal,bad,Clements2012[37-41],
Kannur,mizəɾal,mal,mi'zə'ɾal,ˈmal,ɾal,,3,1,3,,Final,Final,zə,3,,,,mal,bad,Clements2012[37-41],
Kannur,ɾónkə,ʁõkaɾ,ɾón'kə,ʁõˈkaɾ,ɾón,ʁõ,2,2,1,1,Initial,Initial,0,kə,0,kaɾ,Apocope,roncar,bark (v.),Clements2012[37-41],
Kannur,ɾónkə,ʁõkaɾ,ɾón'kə,ʁõˈkaɾ,kə,kaɾ,2,2,2,2,Final,Final,ɾón,2,ʁõ,2,Apocope,roncar,bark (v.),Clements2012[37-41],
Kannur,ælvəɾi sə pæli,ɐ veɾ sɨ ɐ peɫɨ,æl'və'ɾi sə' pæ'li,ɐ ˈveɾ 'sɨ 'ɐ ˈpeɫɨ,æl,ɐ,6,6,1,1,Initial,Initial,0,və,0,veɾ,,a ver se a pele,bark (tree),Clements2012[37-41],
Kannur,ælvəɾi sə pæli,ɐ veɾ sɨ ɐ peɫɨ,æl'və'ɾi sə' pæ'li,ɐ ˈveɾ 'sɨ 'ɐ ˈpeɫɨ,və,veɾ,6,6,2,2,Medial,Final,æl,ɾi,ɐ,sɨ,,a ver se a pele,bark (tree),Clements2012[37-41],
Kannur,ælvəɾi sə pæli,ɐ veɾ sɨ ɐ peɫɨ,æl'və'ɾi sə' pæ'li,ɐ ˈveɾ 'sɨ 'ɐ ˈpeɫɨ,ɾi,sɨ,6,6,3,3,Medial,Initial,və,sə,veɾ,ɐ,,a ver se a pele,bark (tree),Clements2012[37-41],
Kannur,ælvəɾi sə pæli,ɐ veɾ sɨ ɐ peɫɨ,æl'və'ɾi sə' pæ'li,ɐ ˈveɾ 'sɨ 'ɐ ˈpeɫɨ,sə,ɐ,6,6,4,4,Medial,Final,ɾi,pæ,sɨ,pé,,a ver se a pele,bark (tree),Clements2012[37-41],
Kannur,ælvəɾi sə pæli,ɐ veɾ sɨ ɐ peɫɨ,æl'və'ɾi sə' pæ'li,ɐ ˈveɾ 'sɨ 'ɐ ˈpeɫɨ,pæ,pé,6,6,5,5,Medial,Initial,sə,li,ɐ,ɫɨ,,a ver se a pele,bark (tree),Clements2012[37-41],
Kannur,ælvəɾi sə pæli,ɐ veɾ sɨ ɐ peɫɨ,æl'və'ɾi sə' pæ'li,ɐ ˈveɾ 'sɨ 'ɐ ˈpeɫɨ,li,ɫɨ,6,6,6,6,Final,Final,pæ,6,pé,6,,a ver se a pele,bark (tree),Clements2012[37-41],
Kannur,swidə,puɾkɨ,swi'də,puɾ'kɨ,swi,pur,2,2,1,1,Initial,Initial,0,də,0,kɨ,,,because,Clements2012[37-41],
Kannur,swidə,puɾkɨ,swi'də,puɾ'kɨ,də,kɨ,2,2,2,2,Final,Final,swi,2,pur,2,,,because,Clements2012[37-41],
Kannur,baʀigə,bɐʀigɐ,ba'ʀi'gə,bɐˈʀi'gɐ,ba,bɐ,3,3,1,1,Initial,Initial,0,ʀi,0,ʀi,,barriga,belly,Clements2012[37-41],
Kannur,baʀigə,bɐʀigɐ,ba'ʀi'gə,bɐˈʀi'gɐ,ʀi,ʀi,3,3,2,2,Medial,Final,ba,gə,bɐ,gɐ,,barriga,belly,Clements2012[37-41],
Kannur,baʀigə,bɐʀigɐ,ba'ʀi'gə,bɐˈʀi'gɐ,gə,gɐ,3,3,3,3,Final,Initial,ʀi,3,ʀi,3,,barriga,belly,Clements2012[37-41],
Kannur,gɾandi,ɡɾɐ̃dɨ,gɾan'di,ˈɡɾɐ̃dɨ,gɾan,ɡɾɐ̃,2,2,1,1,Initial,Final,0,di,0,dɨ,,grande,big,Clements2012[37-41],
Kannur,gɾandi,ɡɾɐ̃dɨ,gɾan'di,ˈɡɾɐ̃dɨ,di,dɨ,2,2,2,2,Final,Initial,gɾan,2,ɡɾɐ̃,2,,grande,big,Clements2012[37-41],
Kannur,pastɾə,pasɐɾu,pas'tɾə,ˈpa'sɐ’ɾu,pas,pa,2,3,1,1,Initial,Medial,0,,0,sɐ,,pássaro,bird,Clements2012[37-41],
Kannur,pastɾə,pasɐɾu,pas'tɾə,ˈpa'sɐ’ɾu,,sɐ,2,3,,2,,Medial,pas,tɾə,pa,ɾu,,pássaro,bird,Clements2012[37-41],
Kannur,pastɾə,pasɐɾu,pas'tɾə,ˈpa'sɐ’ɾu,tɾə,ɾu,2,3,2,3,Final,Final,,2,sɐ,3,,pássaro,bird,Clements2012[37-41],
Kannur,muɾdɛ,muɾdeɾ,muɾ'dɛ,muɾˈdeɾ,muɾ,muɾ,2,2,1,1,Initial,Initial,0,dɛ,0,deɾ,Apocope,morder,bite,Clements2012[37-41],
Kannur,muɾdɛ,muɾdeɾ,muɾ'dɛ,muɾˈdeɾ,dɛ,deɾ,2,2,2,2,Final,Final,muɾ,2,muɾ,2,Apocope,morder,bite,Clements2012[37-41],
