Language;SourceWord;TargetWord;SourceWord Syl;TargetWord Syl;NumberSylsource;NumberSylTarget;SourceSyllable;TargetSyllable;PositionSource;PositionTarget;Simple PositionSource;Simple PositionTarget;process;TargetOrthography;Translation;Reference;Notes
Korlai;tud;ˈtudu;tud;ˈtu.du;1;2;tud;tu;1;1;Initial;Initial;;tudo;all;Clements2012[37-41];
Korlai;tud;ˈtudu;tud;ˈtu.du;1;2;tud;du;-;2;-;Medial;;tudo;all;Clements2012[37-42];
Korlai;ani;i;a.ni;i;2;1;a;i;1;1;Initial;Initial;;e;and;Clements2012[37-43];
Korlai;ani;i;a.ni;i;2;1;ni;-;2;-;Medial;-;;e;and;Clements2012[37-44];
Korlai;sints;ˈsĩzɐ;sints;ˈsĩ.zɐ;1;2;sints;ˈsĩ;1;1;Initial;Initial;;cinza;ashes;Clements2012[37-45];
Korlai;sints;ˈsĩzɐ;sints;ˈsĩ.zɐ;1;2;-;zɐ;-;2;-;Medial;;cinza;ashes;Clements2012[37-46];
Korlai;su pɛɾt;ɐj̃;su.pɛɾt;ɐj̃;1;2;su;ɐj̃;1;1;Initial;Initial;;em;at;Clements2012[37-47];
Korlai;su pɛɾt;ɐj̃;su.pɛɾt;ɐj̃;1;2;pɛɾt;-;2;-;Medial;-;;em;at;Clements2012[37-48];
Korlai;nə;ɐj̃;nə;ɐj̃;1;1;nə;ɐj̃;1;1;Initial;Initial;;em;at;Clements2012[37-49];
Korlai;kɔs;ˈkɔʃtɐ;kɔs;ˈkɔʃ.tɐ;1;2;kɔs;kɔʃ;1;1;Initial;Initial;;costa;back;Clements2012[37-50];
Korlai;kɔs;ˈkɔʃtɐ;kɔs;ˈkɔʃ.tɐ;1;2;-;tɐ;-;2;-;Medial;;costa;back;Clements2012[37-51];
Korlai;bʰaɾig;bɐˈʀigɐ;bʰa.ɾig;bɐˈ.ʀi.gɐ;2;3;bʰa;bɐ;1;1;Initial;Initial;;barriga;belly;Clements2012[37-52];
Korlai;bʰaɾig;bɐˈʀigɐ;bʰa.ɾig;bɐˈ.ʀi.gɐ;2;3;-;ʀi;-;2;-;Medial;;barriga;belly;Clements2012[37-53];
Korlai;bʰaɾig;bɐˈʀigɐ;bʰa.ɾig;bɐˈ.ʀi.gɐ;2;3;ɾig;gɐ;2;3;Medial;Medial;;barriga;belly;Clements2012[37-54];
Korlai;gɾan;ˈɡɾɐ̃dɨ;gɾan;ˈɡɾɐ̃.dɨ;1;2;gɾan;ɡɾɐ̃;1;1;Initial;Initial;;grande;big;Clements2012[37-55];
Korlai;gɾan;ˈɡɾɐ̃dɨ;gɾan;ˈɡɾɐ̃.dɨ;1;2;-;dɨ;-;2;-;Medial;;grande;big;Clements2012[37-56];
Korlai;pas;ˈpasɐɾu;pas;ˈpa.sɐ.ɾu;1;3;pas;pa;1;1;Initial;Initial;;pássaro;bird;Clements2012[37-57];
Korlai;pas;ˈpasɐɾu;pas;ˈpa.sɐ.ɾu;1;3;-;sɐ;-;2;-;Medial;;pássaro;bird;Clements2012[37-58];
Korlai;pas;ˈpasɐɾu;pas;ˈpa.sɐ.ɾu;1;3;-;ɾu;-;3;-;Medial;;pássaro;bird;Clements2012[37-59];
Korlai;supɾa;suˈpɾaɾ;su.pɾa;su.ˈpɾaɾ;2;2;su;su;1;1;Initial;Initial;;soprar;blow;Clements2012[37-60];
Korlai;supɾa;suˈpɾaɾ;su.pɾa;su.ˈpɾaɾ;2;2;pra;pɾaɾ;2;2;Medial;Medial;;soprar;blow;Clements2012[37-61];
Korlai;kima;kejˈmaɾ;ki.ma;kej.ˈmaɾ;2;2;ki;kej;1;1;Initial;Initial;;queimar;burn;Clements2012[37-62];
Korlai;kima;kejˈmaɾ;ki.ma;kej.ˈmaɾ;2;2;ma;maɾ;2;2;Medial;Medial;;queimar;burn;Clements2012[37-63];
Korlai;kɾijãs;kɾiˈɐ̃sɐ;kɾi.jãs;kɾi.ˈɐ̃.sɐ;2;3;kɾi;kɾi;1;1;Initial;Initial;;criança;child;Clements2012[37-64];
Korlai;kɾijãs;kɾiˈɐ̃sɐ;kɾijãs;kɾi.ˈɐ̃.sɐ;2;3;-;ɐ̃;-;2;-;Medial;;criança;child;Clements2012[37-65];
Korlai;kɾijãs;kɾiˈɐ̃sɐ;kɾijãs;kɾi.ˈɐ̃.sɐ;2;3;jãs;sɐ;2;3;Medial;Medial;;criança;child;Clements2012[37-66];
Korlai;fɾiw;ˈfɾiu;fɾiw;ˈfɾiu;1;1;fɾiw;ˈfɾiu;1;1;Initial;Initial;;frio;cold;Clements2012[37-67];
Korlai;ʋi;ˈviɾ;ʋi;ˈviɾ;1;1;ʋi;viɾ;1;1;Initial;Initial;;vir;come;Clements2012[37-68];
Korlai;kota;kõtaɾ;ko.ta;kõ.taɾ;2;2;ko;kõ;1;1;Initial;Initial;;contar;count;Clements2012[37-69];
Korlai;kota;kõtaɾ;ko.ta;kõ.taɾ;2;2;ta;taɾ;2;2;Medial;Medial;;contar;count;Clements2012[37-70];
Korlai;koɾta;kuɾˈtaɾ;koɾ.ta;kuɾ.ˈtaɾ;2;2;koɾ;kuɾ;1;1;Initial;Initial;;cortar;cut;Clements2012[37-71];
Korlai;koɾta;kuɾˈtaɾ;koɾ.ta;kuɾ.ˈtaɾ;2;2;ta;taɾ;2;2;Medial;Medial;;cortar;cut;Clements2012[37-72];
Korlai;kaʋa;kɐˈvaɾ;ka.ʋa;kɐ.ˈvaɾ;2;2;ka;kɐ;1;1;Initial;Initial;;cavar;dig;Clements2012[37-73];
Korlai;kaʋa;kɐˈvaɾ;ka.ʋa;kɐ.ˈvaɾ;2;2;ʋa;vaɾ;2;2;Medial;Medial;;cavar;dig;Clements2012[37-74];
Korlai;sud̠ʒ;ˈsuʒu;sud̠ʒ;ˈsu.ʒu;1;2;sud̠ʒ;su;1;1;Initial;Initial;;sujo;dirty;Clements2012[37-75];
