Language,SourceWord,SourceWordCV,TargetWord,SourceWordSyl,TargetWordSyl,SourceSyllable,TargetSyllable,PositionSource,PositionTarget,Process,TargetOrthography,Translation,Reference,Notes
Patua Macau,teŋ,CVC,teɾ,teŋ,teɾ,teŋ,teɾ,1,1,assimilation,ter,"be, have",Baxter1990[7-21],
Patua Macau,bɔŋ,CVC,ˈbõ,bɔŋ,ˈbõ,bɔŋ,ˈbõ,1,1,assimilation,bom,good,Baxter1990[7-21],
Patua Macau,ˈuŋa,VCV,ˈumɐ,ˈu.ŋa,ˈu.mɐ,ˈu,ˈu,1,1,assimilation,uma,"a, one",Baxter1990[7-21],
Patua Macau,ˈuŋa,VCV,ˈumɐ,ˈu.ŋa,ˈu.mɐ,ŋa,mɐ,2,2,assimilation,uma,"a, one",Baxter1990[7-21],
Patua Macau,algoˈdaŋ,VCCVCVC,aɫɡuˈdɐ̃w̃,al.go.ˈdaŋ,aɫ.ɡu.ˈdɐ̃w̃,al,aɫ,1,1,assimilation,algodão,cotton,Baxter1990[7-21],
Patua Macau,algoˈdaŋ,VCCVCVC,aɫɡuˈdɐ̃w̃,al.go.ˈdaŋ,aɫ.ɡu.ˈdɐ̃w̃,go,ɡu,2,2,assimilation,algodão,cotton,Baxter1990[7-21],
Patua Macau,algoˈdaŋ,VCCVCVC,aɫɡuˈdɐ̃w̃,al.go.ˈdaŋ,aɫ.ɡu.ˈdɐ̃w̃,ˈdaŋ,ˈdɐ̃w̃,3,3,assimilation,algodão,cotton,Baxter1990[7-21],
Patua Macau,kɔraˈsaŋ,CVCVCVC,kuɾɐˈsɐ̃w̃,kɔ.ra.ˈsaŋ,ku.ɾɐ.ˈsɐ̃w̃,kɔ,ku,1,1,assimilation,coração,heart,Baxter1990[7-21],
Patua Macau,kɔraˈsaŋ,CVCVCVC,kuɾɐˈsɐ̃w̃,kɔ.ra.ˈsaŋ,ku.ɾɐ.ˈsɐ̃w̃,ra,.ɾɐ,2,2,assimilation,coração,heart,Baxter1990[7-21],
Patua Macau,kɔraˈsaŋ,CVCVCVC,kuɾɐˈsɐ̃w̃,kɔ.ra.ˈsaŋ,ku.ɾɐ.ˈsɐ̃w̃,ˈsaŋ,ˈsɐ̃w̃,3,3,assimilation,coração,heart,Baxter1990[7-21],
Patua Macau,ˈt̠ʃua,CV,ˈʃuvɐ,ˈt̠ʃ.ua,ˈʃu.vɐ,ˈt̠ʃ,ˈʃu,1,1,assimilation,chuva,rain,Baxter1990[7-21],
Patua Macau,ˈt̠ʃua,CV,ˈʃuvɐ,ˈt̠ʃ.ua,ˈʃu.vɐ,ua,vɐ,2,2,assimilation,chuva,rain,Baxter1990[7-21],
Patua Macau,kat̠ʃˈoro,CVCVCV,kɐˈʃoʀu,ka.t̠ʃˈo.ro,kɐ.ˈʃo.ʀu,ka,kɐ,1,1,assimilation,cachorro,dog,Baxter1990[7-21],
Patua Macau,kat̠ʃˈoro,CVCVCV,kɐˈʃoʀu,ka.t̠ʃˈo.ro,kɐ.ˈʃo.ʀu,t̠ʃˈo,ˈʃo,2,2,assimilation,cachorro,dog,Baxter1990[7-21],
Patua Macau,kat̠ʃˈoro,CVCVCV,kɐˈʃoʀu,ka.t̠ʃˈo.ro,kɐ.ˈʃo.ʀu,ro,ʀu,3,3,assimilation,cachorro,dog,Baxter1990[7-21],
Patua Macau,ˈt̠ʃero,CVCV,ˈʃɐjru,ˈt̠ʃe.ro,ˈʃɐj.ru,ˈt̠ʃe,ˈʃɐj,1,1,assimilation,cheiro,smell,Baxter1990[7-21],
Patua Macau,ˈt̠ʃero,CVCV,ˈʃɐjru,ˈt̠ʃe.ro,ˈʃɐj.ru,ro,ru,2,2,assimilation,cheiro,smell,Baxter1990[7-21],
Patua Macau,eˈt̠ʃido,VCVCV,ẽˈʃidu,e.ˈt̠ʃi.do,ẽ.ˈʃi.du,e,ẽ,1,1,assimilation,enchido,full,Baxter1990[7-21],
Patua Macau,eˈt̠ʃido,VCVCV,ẽˈʃidu,e.ˈt̠ʃi.do,ẽ.ˈʃi.du,ˈt̠ʃi,ˈʃi,2,2,assimilation,enchido,full,Baxter1990[7-21],
Patua Macau,eˈt̠ʃido,VCVCV,ẽˈʃidu,e.ˈt̠ʃi.do,ẽ.ˈʃi.du,do,du,3,3,assimilation,enchido,full,Baxter1990[7-21],
Patua Macau,d̠ʒa,CV,ʒa,d̠ʒa,ʒa,d̠ʒa,ʒa,1,1,assimilation,já,already,Baxter1990[7-21],
Patua Macau,ˈd̠ʒente,CVCV,ˈʒẽtɨ,ˈd̠ʒen.te,ˈʒẽ.tɨ,ˈd̠ʒen,ˈʒẽ,1,1,assimilation,gente,person,Baxter1990[7-21],
Patua Macau,ˈd̠ʒente,CVCV,ˈʒẽtɨ,ˈd̠ʒen.te,ˈʒẽ.tɨ,te,tɨ,2,2,assimilation,gente,person,Baxter1990[7-21],
Patua Macau,d̠ʒunˈtado,CVCCVCV,ʒũˈtadu,d̠ʒun.ˈta.do,ʒũ.ˈta.du,d̠ʒun,ʒũ,1,1,assimilation,juntado,together,Baxter1990[7-21],
Patua Macau,d̠ʒunˈtado,CVCCVCV,ʒũˈtadu,d̠ʒun.ˈta.do,ʒũ.ˈta.du,ˈta,ˈta,2,2,assimilation,juntado,together,Baxter1990[7-21],
Patua Macau,d̠ʒunˈtado,CVCCVCV,ʒũˈtadu,d̠ʒun.ˈta.do,ʒũ.ˈta.du,do,du,3,3,assimilation,juntado,together,Baxter1990[7-21],
Patua Macau,ˈpese,CVCV,ˈpejʃɨ,ˈpe.se,ˈpej.ʃɨ,ˈpe,ˈpej,1,1,assimilation,peixe,fish,Baxter1990[7-21],
Patua Macau,ˈpese,CVCV,ˈpejʃɨ,ˈpe.se,ˈpej.ʃɨ,se,ʃɨ,2,2,assimilation,peixe,fish,Baxter1990[7-21],
Patua Macau,ˈɔze,VCV,ˈoʒ,ˈɔ.ze,ˈo.ʒ,ˈɔ,ˈo,1,1,assimilation,hoje,today,Baxter1990[7-21],
Patua Macau,ˈɔze,VCV,ˈoʒ,ˈɔ.ze,ˈo.ʒ,ze,ʒ,2,2,assimilation,hoje,today,Baxter1990[7-21],
Patua Macau,miˈza,CVCV,miˈʒar,mi.ˈza,mi.ˈʒar,mi,mi,1,1,assimilation,mijar,urinate,Baxter1990[7-21],
Patua Macau,miˈza,CVCV,miˈʒar,mi.ˈza,mi.ˈʒar,ˈza,ˈʒar,2,2,assimilation,mijar,urinate,Baxter1990[7-21],
Patua Macau,ˈked̠ʒo,CVCV,ˈkɐjʒu,ˈke.d̠ʒo,ˈkɐj.ʒu,ˈke,ˈkɐj,1,1,assimilation,queijo,cheese,Baxter1990[7-21],
Patua Macau,ˈked̠ʒo,CVCV,ˈkɐjʒu,ˈke.d̠ʒo,ˈkɐj.ʒu,d̠ʒo,ʒu,2,2,assimilation,queijo,cheese,Baxter1990[7-21],
