Language,SourceWord,TargetWord,SourceWordSyl,TargetWordSyl,SourceSyllable,TargetSyllable,PositionSource,PositionTarget,Process,TargetOrthography,Translation,Reference,Notes,SourceWordlength,,,,SourceWordlength,TargetWordlength,,,,,,,,SourceWordSly length,TargetWordSly length,Word diff,Word bigger,Sly diff,SylNumbigger,Encontra espaço branco
Patua Macau,teŋ,teɾ,teŋ,teɾ,teŋ,teɾ,1,1,,ter,"be, have",Baxter1990[7-21],,3,teŋ,teŋ,teŋ,3,3,ter,teɾ,teɾ,teɾ,teɾ,teɾ,teɾ,1,1,0,Equal,0,Equal,#VALUE!
Patua Macau,bɔŋ,ˈbõ,bɔŋ,ˈbõ,bɔŋ,ˈbõ,1,1,,bom,good,Baxter1990[7-21],,3,bɔŋ,bɔŋ,bɔŋ,3,3,bom,ˈbõ,ˈbõ,bõ,bõ,bõ,bõ,1,1,0,Equal,0,Equal,#VALUE!
Patua Macau,ˈuŋa,ˈumɐ,ˈu.ŋa,ˈu.mɐ,ˈu,ˈu,1,1,assimilation,uma,"a, one",Baxter1990[7-21],,4,uŋa,uŋa,uŋa,3,3,uma,ˈumɐ,ˈumɐ,umɐ,umɐ,umɐ,umɐ,2,2,0,Equal,0,Equal,#VALUE!
Patua Macau,algoˈdaŋ,aɫɡuˈdɐ̃w̃,al.go.ˈdaŋ,aɫ.ɡu.ˈdɐ̃w̃,ŋa,mɐ,2,2,,uma,"a, one",Baxter1990[7-21],,8,algodaŋ,algodaŋ,algodaŋ,7,7,algodão,aɫɡuˈdɐ̃w̃,aɫɡuˈdɐ̃w̃,aɫɡudɐ̃w̃,aɫɡudaw,aɫɡudaw,aɫɡudaw,3,3,0,Equal,0,Equal,#VALUE!
Patua Macau,kɔraˈsaŋ,kuɾɐˈsɐ̃w̃,kɔ.ra.ˈsaŋ,ku.ɾɐ.ˈsɐ̃w̃,al,aɫ,1,1,,algodão,cotton,Baxter1990[7-21],,8,kɔrasaŋ,kɔrasaŋ,kɔrasaŋ,7,7,coração,kuɾɐˈsɐ̃w̃,kuɾɐˈsɐ̃w̃,kuɾɐsɐ̃w̃,kuɾɐsaw,kuɾɐsaw,kuɾɐsaw,3,3,0,Equal,0,Equal,#VALUE!
Patua Macau,ˈt̠ʃua,ˈʃuvɐ,ˈt̠ʃ.ua,ˈʃu.vɐ,go,ɡu,2,2,,algodão,cotton,Baxter1990[7-21],,6,t̠ʃua,t̠ʃua,ʃua,3,5,chuva,ˈʃuvɐ,ˈʃuvɐ,ʃuvɐ,ʃuvɐ,ʃuvɐ,ʃuvɐ,2,2,-2,Target,0,Equal,#VALUE!
Patua Macau,kat̠ʃˈoro,kɐˈʃoʀu,ka.t̠ʃˈo.ro,kɐ.ˈʃo.ʀu,ˈdaŋ,ˈdɐ̃w̃,3,3,,algodão,cotton,Baxter1990[7-21],,9,kat̠ʃoro,kat̠ʃoro,kaʃoro,6,8,cachorro,kɐˈʃoʀu,kɐˈʃoʀu,kɐʃoʀu,kɐʃoʀu,kɐʃoʀu,kɐʃoʀu,3,3,-2,Target,0,Equal,#VALUE!
Patua Macau,ˈt̠ʃero,ˈʃɐjru,ˈt̠ʃe.ro,ˈʃɐj.ru,kɔ,ku,1,1,,coração,heart,Baxter1990[7-21],,7,t̠ʃero,t̠ʃero,ʃero,4,6,cheiro,ˈʃɐjru,ˈʃɐjru,ʃɐjru,ʃɐjru,ʃɐjru,ʃɐjru,2,2,-2,Target,0,Equal,#VALUE!
Patua Macau,eˈt̠ʃido,ẽˈʃidu,e.ˈt̠ʃi.do,ẽ.ˈʃi.du,ra,.ɾɐ,2,2,,coração,heart,Baxter1990[7-21],,8,et̠ʃido,et̠ʃido,eʃido,5,7,enchido,ẽˈʃidu,ẽˈʃidu,ẽʃidu,ẽʃidu,ẽʃidu,ẽʃidu,3,3,-2,Target,0,Equal,#VALUE!
Patua Macau,d̠ʒa,ʒa,d̠ʒa,ʒa,ˈsaŋ,ˈsɐ̃w̃,3,3,,coração,heart,Baxter1990[7-21],,4,d̠ʒa,ʒa,ʒa,2,2,já,ʒa,ʒa,ʒa,ʒa,ʒa,ʒa,1,1,0,Equal,0,Equal,#VALUE!
