Language,SourceWord,TargetWord,SourceWordSyl,TargetWordSyl,SourceWordSyllabe,TargetWordSyllabe,SourceWordSyl Length,TargetWordSyl Length,PositionSource,PositionTarget,Simple PositionSource,Simple PositionTarget,Previous Source,Next Source,Previous Target,Next Target,Process,TargetOrthography,Translation,References,Notes
Principense,ˈaju,ˈaʎu,ˈa.ju,ˈa.ʎu,ˈa,ˈa,2,2,1,1,Initial,Initial,0,ju,0,ʎu,,alho,garlic,Bandeira2017[366-412],
Principense,ˈaju,ˈaʎu,ˈa.ju,ˈa.ʎu,ju,ʎu,2,2,2,2,Final,Final,ˈa,2,ˈa,2,,alho,garlic,Bandeira2017[366-412],
Principense,oˈroso,aˈʀoʃ,o.’ro.so,a.ˈʀoʃ,o,a,3,2,1,1,Initial,Initial,0,ˈro,0,ˈʀoʃ,,arroz,rice,Bandeira2017[366-412],
Principense,oˈroso,aˈʀoʃ,o.’ro.so,a.ˈʀoʃ,ˈro,ˈʀoʃ,3,2,2,2,Medial,Final,o,so,a,-,,arroz,rice,Bandeira2017[366-412],
Principense,oˈroso,aˈʀoʃ,o.’ro.so,a.ˈʀoʃ,so,-,3,2,3,-,Final,-,ˈro,3,ˈʀoʃ,-,,arroz,rice,Bandeira2017[366-412],
Principense,ˈawɐ,ˈaguɐ,ˈa.wɐ,ˈa.guɐ,ˈa,ˈa,2,2,1,1,Initial,Initial,0,wɐ,0,guɐ,,água,Water,Bandeira2017[366-412],
Principense,ˈawɐ,ˈaguɐ,ˈa.wɐ,ˈa.guɐ,wɐ,guɐ,2,2,2,2,Final,Final,ˈa,2,ˈa,2,,água,Water,Bandeira2017[366-412],
Principense,ˈawɐˈdẽt̠ʃi,ɐguaɾˈdẽtɨ,ˈa.wɐ.dẽ.t̠ʃi,ɐ.guaɾ.ˈdẽ.tɨ,ˈa,ɐ,3,4,1,1,Initial,Initial,0,wɐ,0,guaɾ,,aguardente,brandy,Bandeira2017[366-412],
Principense,ˈawɐˈdẽt̠ʃi,ɐguaɾˈdẽtɨ,ˈa.wɐ.dẽ.t̠ʃi,ɐ.guaɾ.ˈdẽ.tɨ,wɐ,guaɾ,3,4,2,2,Medial,Medial,ˈa,dẽ,ɐ,ˈdẽ,,aguardente,brandy,Bandeira2017[366-412],
Principense,ˈawɐˈdẽt̠ʃi,ɐguaɾˈdẽtɨ,ˈa.wɐ.dẽ.t̠ʃi,ɐ.guaɾ.ˈdẽ.tɨ,dẽ,ˈdẽ,3,4,3,3,Final,Medial,wɐ,t̠ʃi,guaɾ,tɨ,,aguardente,brandy,Bandeira2017[366-412],
Principense,ˈawɐˈdẽt̠ʃi,ɐguaɾˈdẽtɨ,ˈa.wɐ.dẽ.t̠ʃi,ɐ.guaɾ.ˈdẽ.tɨ,t̠ʃi,tɨ,3,4,4,4,Medial,Final,dẽ,4,ˈdẽ,4,,aguardente,brandy,Bandeira2017[366-412],
Principense,baˈnɐ,bɐˈnɐnɐ,baˈ.nɐ,bɐ.ˈnɐ.nɐ,ba,bɐ,2,3,1,1,Initial,Initial,0,-,0,ˈnɐ,,banana,banana,Bandeira2017[366-412],
Principense,baˈnɐ,bɐˈnɐnɐ,baˈ.nɐ,bɐ.ˈnɐ.nɐ,-,ˈnɐ,2,3,-,2,-,Medial,ba,ˈnɐ,bɐ,nɐ,,banana,banana,Bandeira2017[366-412],
Principense,baˈnɐ,bɐˈnɐnɐ,baˈ.nɐ,bɐ.ˈnɐ.nɐ,ˈnɐ,nɐ,2,3,2,3,Final,Final,-,2,ˈnɐ,3,,banana,banana,Bandeira2017[366-412],
Principense,ˈbɐ̃ɲɐ,ˈbɐɲɐ,ˈbɐ̃.ɲɐ,ˈbɐ.ɲɐ,ˈbɐ̃,ˈbɐ,2,2,1,1,Initial,Initial,0,ɲɐ,0,ɲɐ,assimilation,banha,fat,Bandeira2017[366-412],
Principense,ˈbɐ̃ɲɐ,ˈbɐɲɐ,ˈbɐ̃.ɲɐ,ˈbɐ.ɲɐ,ɲɐ,ɲɐ,2,2,2,2,Final,Final,ˈbɐ̃,2,ˈbɐ,2,,banha,fat,Bandeira2017[366-412],
Principense,ˈfjɐ̃,fɐˈɾiɲɐ,ˈfjɐ̃,fɐ.ˈɾi.ɲɐ,ˈfjɐ̃,fɐ,1,3,1,1,Final,Initial,0,-,0,ˈɾi,metathesis,farinha,flour,Bandeira2017[366-412],
Principense,ˈfjɐ̃,fɐˈɾiɲɐ,ˈfjɐ̃,fɐ.ˈɾi.ɲɐ,-,ˈɾi,1,3,-,2,-,Medial,ˈfjɐ̃,-,fɐ,ɲɐ,,farinha,flour,Bandeira2017[366-412],
Principense,ˈfjɐ̃,fɐˈɾiɲɐ,ˈfjɐ̃,fɐ.ˈɾi.ɲɐ,-,ɲɐ,1,3,-,3,-,Final,-,-,ˈɾi,3,,farinha,flour,Bandeira2017[366-412],
Principense,fɛˈzɐ̃,fejˈʒɐ̃w̃,fɛ.ˈzɐ̃,fɐj.ˈʒɐ̃w̃,fɛ,fɐj,2,2,1,1,Initial,Initial,0,ˈzɐ̃,0,ˈʒɐ̃w̃,assimilation,feijão,bean,Bandeira2017[366-412],
Principense,fɛˈzɐ̃,fejˈʒɐ̃w̃,fɛ.ˈzɐ̃,fɐj.ˈʒɐ̃w̃,ˈzɐ̃,ˈʒɐ̃w̃,2,2,2,2,Final,Final,fɛ,2,fɐj,2,,feijão,bean,Bandeira2017[366-412],
Principense,guˈdurɐ,ɡuɾˈduɾɐ,gu.ˈdu.rɐ,guɾ.ˈdu.ɾɐ,gu,guɾ,3,3,1,1,Initial,Initial,0,ˈdu,0,ˈdu,,gordura,fat,Bandeira2017[366-412],
Principense,guˈdurɐ,ɡuɾˈduɾɐ,gu.ˈdu.rɐ,guɾ.ˈdu.ɾɐ,ˈdu,ˈdu,3,3,2,2,Medial,Medial,gu,rɐ,guɾ,ɾɐ,,gordura,fat,Bandeira2017[366-412],
Principense,guˈdurɐ,ɡuɾˈduɾɐ,gu.ˈdu.rɐ,guɾ.ˈdu.ɾɐ,rɐ,ɾɐ,3,3,3,3,Final,Final,ˈdu,3,ˈdu,3,,gordura,fat,Bandeira2017[366-412],
Principense,kadɛˈradɐ,kaldejˈɾadɐ,ka.dɛ.'ra.dɐ,kal.dɐj.ˈɾa.dɐ,ka,kal,4,4,1,1,Initial,Initial,0,dɛ,0,dɐj,,caldeirada,fish stew,Bandeira2017[366-412],
Principense,kadɛˈradɐ,kaldejˈɾadɐ,ka.dɛ.'ra.dɐ,kal.dɐj.ˈɾa.dɐ,dɛ,dɐj,4,4,2,2,Medial,Medial,ka,ra,kal,ˈɾa,,caldeirada,fish stew,Bandeira2017[366-412],
Principense,kadɛˈradɐ,kaldejˈɾadɐ,ka.dɛ.'ra.dɐ,kal.dɐj.ˈɾa.dɐ,ra,ˈɾa,4,4,3,3,Medial,Medial,dɛ,dɐ,dɐj,dɐ,,caldeirada,fish stew,Bandeira2017[366-412],
Principense,kadɛˈradɐ,kaldejˈɾadɐ,ka.dɛ.'ra.dɐ,kal.dɐj.ˈɾa.dɐ,dɐ,dɐ,4,4,4,4,Final,Final,ra,4,ˈɾa,4,,caldeirada,fish stew,Bandeira2017[366-412],
Principense,kaˈnɐ,ˈkɐnɐ,ka.'nɐ,ˈkɐ.nɐ,ka,ˈkɐ,2,2,1,1,Initial,Initial,0,ˈnɐ,0,nɐ,,cana,sugarcane,Bandeira2017[366-412],
Principense,kaˈnɐ,ˈkɐnɐ,ka.'nɐ,ˈkɐ.nɐ,ˈnɐ,nɐ,2,2,2,2,Final,Final,ka,2,ˈkɐ,2,,cana,sugarcane,Bandeira2017[366-412],
Principense,uˈkani,ˈkaɾnɨ,u.'ka.ni,ˈkaɾ.nɨ,u,-,3,2,1,1,Initial,Initial,0,ˈka,0,ˈkaɾ,,carne,meat,Bandeira2017[366-412],
Principense,uˈkani,ˈkaɾnɨ,u.'ka.ni,ˈkaɾ.nɨ,ˈka,ˈkaɾ,3,2,2,-,Medial,-,u,ni,-,nɨ,,carne,meat,Bandeira2017[366-412],
Principense,uˈkani,ˈkaɾnɨ,u.'ka.ni,ˈkaɾ.nɨ,ni,nɨ,3,2,3,2,Final,Final,ˈka,3,ˈkaɾ,2,,carne,meat,Bandeira2017[366-412],
Principense,uˈkjabu,kiˈabu,u.'kja.bu,ki.ˈa.bu,u,-,3,3,1,-,Initial,-,0,ˈkja,0,ki,,quiabo,okra,Bandeira2017[366-412],
Principense,uˈkjabu,kiˈabu,u.'kja.bu,ki.ˈa.bu,ˈkja,ki,3,3,2,1,Medial,Initial,u,-,-,ˈa,,quiabo,okra,Bandeira2017[366-412],
Principense,uˈkjabu,kiˈabu,u.'kja.bu,ki.ˈa.bu,-,ˈa,3,3,-,2,-,Medial,ˈkja,bu,ki,bu,metathesis,quiabo,okra,Bandeira2017[366-412],
Principense,uˈkjabu,kiˈabu,u.'kja.bu,ki.ˈa.bu,bu,bu,3,3,3,3,Final,Final,-,3,ˈa,3,,quiabo,okra,Bandeira2017[366-412],
