Language,SourceWord,TargetWord,SourceWordSyl,TargetWordSyl,SourceSyllabe,PreviousSource,NextSource,TargetSyllabe,SourceWordSyl,TargetWordSyl,PositionSource,PositionTarget,SimplePositionSource,SimplePositionTarget,Process,TargetOrthopraphy,Translation,Reference
Sri Lanka Portuguese,tudu,ˈtudu,tu.du,ˈtu.du,tu,0,du,ˈtu,2,2,1,1,Initial,Initial,,todo/tudo,all,Clements2012[37-41]
Sri Lanka Portuguese,tudu,ˈtudu,tu.du,ˈtu.du,du,tu,2,du,2,2,2,2,Final,Final,,todo/tudo,all,Clements2012[37-41]
Sri Lanka Portuguese,kum,i,kum,i,kum,0,1,i,1,1,1,1,Final,Final,,e,and,Clements2012[37-41]
Sri Lanka Portuguese,anima:l,ɐniˈmaɫ,a.ni.ma:l,ɐ.ni.ˈmaɫ,a,0,ni,ɐ,3,3,1,1,Initial,Initial,,animal,animal,Clements2012[37-41]
Sri Lanka Portuguese,anima:l,ɐniˈmaɫ,a.ni.ma:l,ɐ.ni.ˈmaɫ,ni,a,ma:l,ni,3,3,2,2,Medial,Medial,,animal,animal,Clements2012[37-41]
Sri Lanka Portuguese,anima:l,ɐniˈmaɫ,a.ni.ma:l,ɐ.ni.ˈmaɫ,ma:l,ni,3,ˈmaɫ,3,3,3,3,Final,Final,,animal,animal,Clements2012[37-41]
Sri Lanka Portuguese,si:nza,ˈsĩzɐ,si:n.za,ˈsĩ.zɐ,si:n,0,za,ˈsĩ,2,2,1,1,Initial,Initial,,cinza,ashes,Clements2012[37-41]
Sri Lanka Portuguese,si:nza,ˈsĩzɐ,si:n.za,ˈsĩ.zɐ,za,si:n,2,zɐ,2,2,2,2,Final,Final,,cinza,ashes,Clements2012[37-41]
Sri Lanka Portuguese,ntu,ˈdẽtɾu,ntu,ˈdẽ.tɾu,ntu,0,1,ˈdẽ,1,2,1,1,Final,Initial,,em,at,Clements2012[37-41]
Sri Lanka Portuguese,ntu,ˈdẽtɾu,ntu,ˈdẽ.tɾu,-,ntu,-,tɾu,-,2,-,2,-,Final,,em,at,Clements2012[37-41]
Sri Lanka Portuguese,kɔ:sta,ˈkɔʃtɐ,kɔ:s.ta,ˈkɔʃ.tɐ,kɔ:s,0,ta,ˈkɔʃ,2,2,1,1,Initial,Initial,,costa,back,Clements2012[37-41]
Sri Lanka Portuguese,kɔ:sta,ˈkɔʃtɐ,kɔ:s.ta,ˈkɔʃ.tɐ,ta,kɔ:s,2,tɐ,2,2,2,2,Final,Final,,costa,back,Clements2012[37-41]
Sri Lanka Portuguese,ma:l,ˈmal,ma:l,ˈmal,ma:l,0,1,ˈmal,1,1,1,1,Final,Final,,mal,bad,Clements2012[37-41]
Sri Lanka Portuguese,bɔlfa,buˈfaɾ,bɔl.fa,bu.ˈfaɾ,bɔl,0,fa,bu,2,2,1,1,Initial,Initial,,bofar,bark (v.),Clements2012[37-41]
Sri Lanka Portuguese,bɔlfa,buˈfaɾ,bɔl.fa,bu.ˈfaɾ,fa,bɔl,2,ˈfaɾ,2,2,2,2,Final,Final,,bofar,bark (v.),Clements2012[37-41]
Sri Lanka Portuguese,paːʈa,,pa:.ʈa,,,,,,,,,,,,,,bark (tree),Clements2012[37-41]
Sri Lanka Portuguese,ki:pa se:,puɾkɨ,ki:.pa se:,puɾ.kɨ,ki:,0,pa ,puɾ,2,2,1,1,Initial,Initial,,porque,because,Clements2012[37-41]
Sri Lanka Portuguese,ki:pa se:,puɾkɨ,ki:.pa se:,puɾ.kɨ,pa ,ki:,se:,-,2,2,2,-,Final,-,,porque,because,Clements2012[37-41]
Sri Lanka Portuguese,ki:pa se:,puɾkɨ,ki:.pa se:,puɾ.kɨ,se:,pa ,2,kɨ,2,2,3,2,Medial,Final,,porque,because,Clements2012[37-41]
Sri Lanka Portuguese,baɾi:ja,bɐˈʀigɐ,ba.ɾi:.ja,bɐ.ˈʀi.gɐ,ba,0,ɾi:,bɐ,3,3,1,1,Initial,Initial,,barriga,belly,Clements2012[37-41]
Sri Lanka Portuguese,baɾi:ja,bɐˈʀigɐ,ba.ɾi:.ja,bɐ.ˈʀi.gɐ,ɾi:,ba,ja,ˈʀi,3,3,2,2,Medial,Medial,,barriga,belly,Clements2012[37-41]
Sri Lanka Portuguese,baɾi:ja,bɐˈʀigɐ,ba.ɾi:.ja,bɐ.ˈʀi.gɐ,ja,ɾi:,3,gɐ,3,3,3,3,Final,Final,,barriga,belly,Clements2012[37-41]
Sri Lanka Portuguese,gɾa:ndi,ˈɡɾɐ̃dɨ,gɾa:n.di,ˈɡɾɐ̃.dɨ,gɾa:n,0,di,ˈɡɾɐ̃,2,2,1,1,Initial,Initial,,grande,big,Clements2012[37-41]
Sri Lanka Portuguese,gɾa:ndi,ˈɡɾɐ̃dɨ,gɾa:n.di,ˈɡɾɐ̃.dɨ,di,gɾa:n,2,dɨ,2,2,2,2,Final,Final,,grande,big,Clements2012[37-41]
Sri Lanka Portuguese,pa:stɾu,ˈpasɐɾu,pa:s.tɾu,ˈpa.sɐ.ɾu,pa:s,0,-,ˈpa,2,3,1,1,Initial,Initial,,pássaro,bird,Clements2012[37-41]
Sri Lanka Portuguese,pa:stɾu,ˈpasɐɾu,pa:s.tɾu,ˈpa.sɐ.ɾu,-,pa:s,tɾu,sɐ,2,3,-,2,-,Medial,,pássaro,bird,Clements2012[37-41]
Sri Lanka Portuguese,pa:stɾu,ˈpasɐɾu,pa:s.tɾu,ˈpa.sɐ.ɾu,tɾu,-,2,ɾu,2,3,2,3,Final,Final,,pássaro,bird,Clements2012[37-41]
Sri Lanka Portuguese,muɾda,muɾˈdeɾ,muɾ.da,muɾ.ˈdeɾ,muɾ,0,da,muɾ,2,2,1,1,Initial,Initial,,morder,bite,Clements2012[37-41]
Sri Lanka Portuguese,muɾda,muɾˈdeɾ,muɾ.da,muɾ.ˈdeɾ,da,muɾ,2,ˈdeɾ,2,2,2,2,Final,Final,,morder,bite,Clements2012[37-41]
Sri Lanka Portuguese,pɾɛ:tu,ˈpɾetu,pɾɛ:.tu,ˈpɾe.tu,pɾɛ:,0,tu,ˈpɾe,2,2,1,1,Initial,Initial,,preto,black,Clements2012[37-41]
Sri Lanka Portuguese,pɾɛ:tu,ˈpɾetu,pɾɛ:.tu,ˈpɾe.tu,tu,pɾɛ:,2,tu,2,2,2,2,Final,Final,,preto,black,Clements2012[37-41]
Sri Lanka Portuguese,sa:ngi,ˈsɐ̃ɡɨ,sa:n.gi,ˈsɐ̃.ɡɨ,sa:n,0,gi,ˈsɐ̃,2,2,1,1,Initial,Initial,,sangue,blood,Clements2012[37-41]
Sri Lanka Portuguese,sa:ngi,ˈsɐ̃ɡɨ,sa:n.gi,ˈsɐ̃.ɡɨ,gi,sa:n,2,ɡɨ,2,2,2,2,Final,Final,,sangue,blood,Clements2012[37-41]
Sri Lanka Portuguese,sufɾa:,suˈpɾaɾ,su.fɾa:,su.ˈpɾaɾ,su,0,fɾa:,su,2,2,1,1,Initial,Initial,,soprar,blow,Clements2012[37-41]
Sri Lanka Portuguese,sufɾa:,suˈpɾaɾ,su.fɾa:,su.ˈpɾaɾ,fɾa:,su,2,ˈpɾaɾ,2,2,2,2,Final,Final,,soprar,blow,Clements2012[37-41]
Sri Lanka Portuguese,o:su,ˈosu,o:.su,ˈo.su,o:,0,su,ˈo,2,2,1,1,Initial,Initial,,osso,bone,Clements2012[37-41]
Sri Lanka Portuguese,o:su,ˈosu,o:.su,ˈo.su,su,o:,2,su,2,2,2,2,Final,Final,,osso,bone,Clements2012[37-41]
Sri Lanka Portuguese,pe:tu,ˈpejtu,pe:.tu,ˈpej.tu,pe:,0,tu,ˈpej,2,2,1,1,Initial,Initial,,peito,breast,Clements2012[37-41]
Sri Lanka Portuguese,pe:tu,ˈpejtu,pe:.tu,ˈpej.tu,tu,pe:,2,tu,2,2,2,2,Final,Final,,peito,breast,Clements2012[37-41]
Sri Lanka Portuguese,kima:,kejˈmaɾ,ki.ma:,kej.ˈmaɾ,ki,0,ma:,kej,2,2,1,1,Initial,Initial,,queimar,burn,Clements2012[37-41]
Sri Lanka Portuguese,kima:,kejˈmaɾ,ki.ma:,kej.ˈmaɾ,ma:,ki,2,ˈmaɾ,2,2,2,2,Final,Final,,queimar,burn,Clements2012[37-41]
Sri Lanka Portuguese,kɾija:nsa,kɾiˈɐ̃sɐ,kɾi.ja:n.sa,kɾi.ˈɐ̃.sɐ,kɾi,0,ja:n,kɾi,3,3,1,1,Initial,Initial,,criança,child,Clements2012[37-41]
