Language,SourceWord,TargetWord,SourceWordSyl,TargetWordSyl,SourceSyllable,TargetSyllable,SourceWordSyl Length,TargetWordSyl Length,PositionSource,PositionTarget,PositionSource Simple,PositionTarget Simple,Previous SourceSyllable,Next SourceSyllable,Previous TargetSyllable,Next TargetSyllable,Process,TargetOrthography,Translation,Reference,Notes
Timor Pidgin,teŋ,teɾ,teŋ,teɾ,teŋ,teɾ,1,1,1,1,Final,Final,0,1,0,1,,ter,"be, have",Baxter1990[7-21],
Timor Pidgin,boŋ,ˈbõ,boŋ,ˈbõ,boŋ,ˈbõ,1,1,1,1,Final,Final,0,1,0,1,,bom,good,Baxter1990[7-21],
Timor Pidgin,ˈuŋwa,ˈu.mɐ,ˈuŋ.wa,u.ma,uŋ,u,2,2,1,1,Initial,Initial,0,wa,0,ma,assimilation,uma,"a, one",Baxter1990[7-21],
Timor Pidgin,ˈuŋwa,ˈu.mɐ,ˈuŋ.wa,u.ma,wa,ma,2,2,2,2,Final,Final,uŋ,2,u,2,assimilation,uma,"a, one",Baxter1990[7-21],
Timor Pidgin,alguˈdaŋ,aɫguˈdɐ̃w̃,al.gu.ˈdaŋ,aɫ.gu.ˈdɐ̃w̃,al,aɫ,3,3,1,1,Initial,Initial,0,gu,0,gu,,algodão,cotton,Baxter1990[7-21],
Timor Pidgin,alguˈdaŋ,aɫguˈdɐ̃w̃,al.gu.ˈdaŋ,aɫ.gu.ˈdɐ̃w̃,gu,gu,3,3,2,2,Medial,Medial,al,ˈdaŋ,aɫ,ˈdɐ̃w̃,,algodão,cotton,Baxter1990[7-21],
Timor Pidgin,alguˈdaŋ,aɫguˈdɐ̃w̃,al.gu.ˈdaŋ,aɫ.gu.ˈdɐ̃w̃,ˈdaŋ,ˈdɐ̃w̃,3,3,3,3,Final,Final,gu,3,gu,3,,algodão,cotton,Baxter1990[7-21],
Timor Pidgin,korˈsaŋ,kuɾɐˈsɐ̃w̃,kor.ˈsaŋ,ku.ɾɐ.ˈsɐ̃w̃,kor,ku,2,3,1,1,Initial,Initial,0,-,0,ɾɐ,metathesis,coração,heart,Baxter1990[7-21],
Timor Pidgin,korˈsaŋ,kuɾɐˈsɐ̃w̃,kor.ˈsaŋ,ku.ɾɐ.ˈsɐ̃w̃,-,ɾɐ,2,3,-,2,-,Medial,kor,saŋ,ku,ˈsɐ̃w̃,,coração,heart,Baxter1990[7-21],
Timor Pidgin,korˈsaŋ,kuɾɐˈsɐ̃w̃,kor.ˈsaŋ,ku.ɾɐ.ˈsɐ̃w̃,saŋ,ˈsɐ̃w̃,2,3,2,3,Final,Final,-,2,ɾɐ,3,,coração,heart,Baxter1990[7-21],
Timor Pidgin,ˈt̠ʃua,ˈʃuvɐ,ˈt̠ʃu.a,ˈʃu.vɐ,ˈt̠ʃu,ˈʃu,2,2,1,1,Initial,Initial,0,a,0,vɐ,,chuva,rain,Baxter1990[7-21],
Timor Pidgin,ˈt̠ʃua,ˈʃuvɐ,ˈt̠ʃu.a,ˈʃu.vɐ,a,vɐ,2,2,2,2,Final,Final,ˈt̠ʃu,2,ˈʃu,2,,chuva,rain,Baxter1990[7-21],
Timor Pidgin,kaˈt̠ʃoru,kɐˈʃoʀu,ka.ˈt̠ʃo.ru,kɐ.ˈʃo.ʀu,ka,kɐ,3,3,1,1,Initial,Initial,0,ˈt̠ʃo,0,ˈʃo,,cachorro,dog,Baxter1990[7-21],
Timor Pidgin,kaˈt̠ʃoru,kɐˈʃoʀu,ka.ˈt̠ʃo.ru,kɐ.ˈʃo.ʀu,ˈt̠ʃo,ˈʃo,3,3,2,2,Medial,Medial,ka,ru,kɐ,ʀu,,cachorro,dog,Baxter1990[7-21],
Timor Pidgin,kaˈt̠ʃoru,kɐˈʃoʀu,ka.ˈt̠ʃo.ru,kɐ.ˈʃo.ʀu,ru,ʀu,3,3,3,3,Final,Final,ˈt̠ʃo,3,ˈʃo,3,,cachorro,dog,Baxter1990[7-21],
Timor Pidgin,ˈt̠ʃeru,ˈʃɐjɾu,ˈt̠ʃe.ru,ˈʃɐj.ɾu,ˈt̠ʃe,ˈʃɐj,2,2,1,1,Initial,Initial,0,ru,0,ɾu,,cheiro,smell,Baxter1990[7-21],
Timor Pidgin,ˈt̠ʃeru,ˈʃɐjɾu,ˈt̠ʃe.ru,ˈʃɐj.ɾu,ru,ɾu,2,2,2,2,Final,Final,ˈt̠ʃe,2,ˈʃɐj,2,,cheiro,smell,Baxter1990[7-21],
Timor Pidgin,nˈt̠ʃidu,ẽˈʃidu,n.ˈt̠ʃi.du,ẽ.ˈʃi.du,n,ẽ,3,3,1,1,Initial,Initial,0,ˈt̠ʃi,0,ˈʃi,,enchido,full,Baxter1990[7-21],
Timor Pidgin,nˈt̠ʃidu,ẽˈʃidu,n.ˈt̠ʃi.du,ẽ.ˈʃi.du,ˈt̠ʃi,ˈʃi,3,3,2,2,Medial,Medial,n,du,ẽ,du,,enchido,full,Baxter1990[7-21],
Timor Pidgin,nˈt̠ʃidu,ẽˈʃidu,n.ˈt̠ʃi.du,ẽ.ˈʃi.du,du,du,3,3,3,3,Final,Final,ˈt̠ʃi,3,ˈʃi,3,,enchido,full,Baxter1990[7-21],
Timor Pidgin,d̠ʒa,ʒa,d̠ʒa,ʒa,d̠ʒa,ʒa,1,1,1,1,Final,Final,0,1,0,1,,já,already,Baxter1990[7-21],
Timor Pidgin,ˈd̠ʒenti,ˈʒẽtɨ,ˈd̠ʒen.ti,ˈʒẽ.tɨ,ˈd̠ʒen,ˈʒẽ,2,2,1,1,Initial,Initial,0,ti,0,tɨ,,gente,person,Baxter1990[7-21],
Timor Pidgin,ˈd̠ʒenti,ˈʒẽtɨ,ˈd̠ʒen.ti,ˈʒẽ.tɨ,ti,tɨ,2,2,2,2,Final,Final,ˈd̠ʒen,2,ˈʒẽ,2,,gente,person,Baxter1990[7-21],
Timor Pidgin,d̠ʒunˈtadu,ʒũˈtadu,d̠ʒun.ˈta.du,ʒũ.ˈta.du,d̠ʒun,ʒũ,3,3,1,1,Initial,Initial,0,ˈta,0,ˈta,,juntado,together,Baxter1990[7-21],
Timor Pidgin,d̠ʒunˈtadu,ʒũˈtadu,d̠ʒun.ˈta.du,ʒũ.ˈta.du,ˈta,ˈta,3,3,2,2,Medial,Medial,d̠ʒun,du,ʒũ,du,,juntado,together,Baxter1990[7-21],
Timor Pidgin,d̠ʒunˈtadu,ʒũˈtadu,d̠ʒun.ˈta.du,ʒũ.ˈta.du,du,du,3,3,3,3,Final,Final,ˈta,3,ˈta,3,,juntado,together,Baxter1990[7-21],
Timor Pidgin,ˈpesi,ˈpejʃɨ,ˈpe.si,ˈpej.ʃɨ,ˈpe,ˈpej,2,2,1,1,Initial,Initial,0,si,0,ʃɨ,,peixe,fish,Baxter1990[7-21],
Timor Pidgin,ˈpesi,ˈpejʃɨ,ˈpe.si,ˈpej.ʃɨ,si,ʃɨ,2,2,2,2,Final,Final,ˈpe,2,ˈpej,2,,peixe,fish,Baxter1990[7-21],
Timor Pidgin,ɔzi,ˈoʒɨ,ɔ.zi,ˈo.ʒɨ,ɔ,o,2,2,1,1,Initial,Initial,0,zi,0,ʒɨ,,hoje,today,Baxter1990[7-21],
Timor Pidgin,ɔzi,ˈoʒɨ,ɔ.zi,ˈo.ʒɨ,zi,ʒɨ,2,2,2,2,Final,Final,ɔ,2,o,2,,hoje,today,Baxter1990[7-21],
Timor Pidgin,miˈza,miˈʒaɾ,mi.ˈza,mi.ˈʒaɾ,mi,mi,2,2,1,1,Initial,Initial,0,ˈza,0,ˈʒaɾ,,mijar,urinate,Baxter1990[7-21],
Timor Pidgin,miˈza,miˈʒaɾ,mi.ˈza,miˈ.ʒaɾ,ˈza,ˈʒaɾ,2,2,2,2,Final,Final,mi,2,mi,2,,mijar,urinate,Baxter1990[7-21],
Timor Pidgin,ˈkezu,ˈkɐjʒu,ˈke.zu,ˈkɐj.ʒu,ˈke,ˈkɐj,2,2,1,1,Initial,Initial,0,zu,0,ʒu,,queijo,cheese,Baxter1990[7-21],
