Language,SourceWord,TargetWord,SourceWordSyl,TargetWordSyl,SourceSyllable,TargetSyllable,SourceTargetEq,Audit,SourceWordSyl Length,TargetWordSyl Length,PositionSource,PositionTarget,Simple PositionSource,Simple PositionTarget,Previous source,Next source,Previous target,Next target,Process,TargetOrthography,Translation,Reference
Angolar,ˈawɐ,agwɐ,ˈa.wɐ,a.gwɐ,ˈa,ˈa,TRUE,,2,2,1,1,Initial,Initial,0,wɐ,0,gwɐ,,água,Water,Bandeira2017[366-412]
Angolar,ˈawɐ,agwɐ,ˈa.wɐ,a.gwɐ,a,a,TRUE,,,,1,1,,,,,,,,água,Water,Bandeira2017[366-412]
Angolar,ˈawɐ,agwɐ,ˈa.wɐ,a.gwɐ,wɐ,gwɐ,FALSE,,2,2,2,2,Final,Final,ˈa,2,ˈa,2,,água,Water,Bandeira2017[366-412]
Angolar,faˈɲa,fɐˈɾiɲɐ,fa.ˈɲa,fɐ.ˈɾi.ɲɐ,fa,fɐ,FALSE,,2,3,1,1,Initial,Initial,0,-,0,ˈɾi,,farinha,flour,Bandeira2017[366-412]
Angolar,faˈɲa,fɐˈɾiɲɐ,fa.ˈɲa,fɐ.ˈɾi.ɲɐ,-,ɾi,FALSE,,2,3,-,2,-,Medial,fa,ˈɲa,fɐ,ɲɐ,,farinha,flour,Bandeira2017[366-412]
Angolar,faˈɲa,fɐˈɾiɲɐ,fa.ˈɲa,fɐ.ˈɾi.ɲɐ,ɲa,ɲɐ,FALSE,,2,3,2,3,Final,Final,-,2,ˈɾi,3,,farinha,flour,Bandeira2017[366-412]
Angolar,fɛˈðɔ̃,fejˈʒɐ̃w̃,fɛ.ˈðɔ̃,fej.ˈʒɐ̃w̃,fɛ,fej,FALSE,,2,2,1,1,Initial,Initial,0,ˈðɔ̃,0,ˈʒɐ̃w̃,,feijão,bean,Bandeira2017[366-412]
Angolar,fɛˈðɔ̃,fejˈʒɐ̃w̃,fɛ.ˈðɔ̃,fej.ˈʒɐ̃w̃,ðɔ̃,ʒɐ̃w̃,FALSE,,2,2,2,2,Final,Final,fɛ,2,fej,2,,feijão,bean,Bandeira2017[366-412]
Angolar,goˈdulɐ,ɡuɾˈduɾɐ,go.ˈdu.lɐ,ɡuɾ.ˈdu.ɾɐ,go,ɡuɾ,FALSE,,3,3,1,1,Initial,Initial,0,ˈdu,0,ˈdu,,gordura,fat,Bandeira2017[366-412]
Angolar,goˈdulɐ,ɡuɾˈduɾɐ,go.ˈdu.lɐ,ɡuɾ.ˈdu.ɾɐ,du,du,TRUE,,,,2,2,,,,,,,,gordura,fat,Bandeira2017[366-412]
