Angolar,SourceWord,TargetWord,SourceWordSyl,TargetWordSyl,,,,,SourceWordLength,TargetWordLength,SourceWordSyl,TargetWordSyl,WordDiff,WordBigger,SyllDiff,SyllBigger
Angolar,ˈawɐ,agwɐ,ˈa.wɐ,a.gwɐ,,,,,3,4,2,2,-1,Target,0,Equal
Angolar,faˈɲa,fɐˈɾiɲɐ,fa.ˈɲa,fɐ.ˈɾi.ɲɐ,,,,,4,6,2,3,-2,Target,-1,Target
Angolar,fɛˈðɔ̃,fejˈʒɐ̃w̃,fɛ.ˈðɔ̃,fej.ˈʒɐ̃w̃,,,,,5,8,2,2,-3,Target,0,Equal
Angolar,goˈdulɐ,ɡuɾˈduɾɐ,go.ˈdu.lɐ,ɡuɾ.ˈdu.ɾɐ,,,,,6,7,3,3,-1,Target,0,Equal
Angolar,kadɛˈladɐ,kaldejˈɾadɐ,ka.dɛ.ˈla.dɐ,kal.dej.ˈɾa.dɐ,,,,,8,10,4,4,-2,Target,0,Equal
Angolar,kaˈnɐ,ˈkɐnɐ,ka.ˈnɐ,ˈkɐ.nɐ,,,,,4,4,2,2,0,Equal,0,Equal
Angolar,ˈkani,ˈkaɾnɨ,ˈka.ni,ˈkaɾ.nɨ,,,,,4,5,2,2,-1,Target,0,Equal
Angolar,ˈlete,ˈlɐjtɨ,ˈle.te,ˈlɐj.tɨ,,,,,4,5,2,2,-1,Target,0,Equal
Angolar,maˈmõ,mɐˈmɐ̃w̃,ma.ˈmõ,mɐ.ˈmɐ̃w̃,,,,,4,7,2,2,-3,Target,0,Equal
Angolar,mɐ̃ˈdjɔkɐ,mɐ̃diˈɔkɐ,mɐ̃.ˈdjɔ.kɐ,mɐ̃.di.ˈɔ.kɐ,,,,,8,8,3,4,0,Equal,-1,Target
Angolar,mɐ̃ˈsõ,mɐˈsɐ̃,mɐ̃.ˈsõ,mɐ.ˈsɐ̃,,,,,5,5,2,2,0,Equal,0,Equal
Angolar,mɐ̃ˈtɛgɐ,mɐ̃ˈtɐjgɐ,mɐ̃.ˈtɛ.gɐ,mɐ̃.ˈtɐj.gɐ,,,,,7,8,3,3,-1,Target,0,Equal
Angolar,ˈθalu,ˈsal,ˈθa.lu,ˈsal,,,,,4,3,2,1,1,Source,1,Source
Angolar,ˈsopɐ,ˈsopɐ,ˈso.pɐ,ˈso.pɐ,,,,,4,4,2,2,0,Equal,0,Equal
Angolar,viˈnagi,viˈnagɾɨ,viˈ.na.gi,viˈ.na.gɾɨ,,,,,6,7,3,3,-1,Target,0,Equal
