Language,SourceWord,TargetWord,SourceWordSyl,TargetWordSyl,SourceSyllable,TargetSyllable,PositionSource,PositionTarget,Process,TargetOrthography,Translation,Reference,Notes
Casamancese,bo,vuˈse,bo,vu.ˈse,bo,vu,1,1,,você,"thou, you",Biagui2012[129],
Casamancese,bo,vuˈse,bo,vu.ˈse,-,ˈse,-,2,,você,"thou, you",Biagui2012[129],
Casamancese,jel,ˈeɫɨ,jel,ˈe.ɫɨ,jel,ˈe,1,1,,ele,he,Biagui2012[129],
Casamancese,jel,ˈeɫɨ,jel,ˈe.ɫɨ,,ɫɨ,-,2,,ele,he,Biagui2012[129],
Casamancese,nos,ˈnɔʃ,nos,ˈnɔʃ,nos,ˈnɔʃ,1,1,,nós,we,Biagui2012[129],
Casamancese,bos,vuˈseʃ,bos,vu.ˈseʃ,bos,vu,1,1,,vocês,"ye, you",Biagui2012[129],
Casamancese,bos,vuˈseʃ,bos,vu.ˈseʃ,-,ˈseʃ,-,2,,vocês,"ye, you",Biagui2012[129],
Casamancese,ˈjelus,ˈeɫɨʃ,ˈje.lus,ˈe.ɫɨʃ,ˈje,ˈe,1,1,,eles,they,Biagui2012[129],
Casamancese,ˈjelus,ˈeɫɨʃ,ˈje.lus,ˈe.ɫɨʃ,lus,ɫɨʃ,2,2,,eles,they,Biagui2012[129],
Casamancese,li,ɐˈki,li,ɐ.ˈki,li,ɐ,1,1,,aqui,here,Biagui2012[258],
Casamancese,li,ɐˈki,li,ɐ.ˈki,-,ˈki,-,2,,aqui,here,Biagui2012[258],
Casamancese,la,ˈɫa,la,ˈɫa,la,ˈɫa,1,1,,lá,there,Biagui2012[258],
Casamancese,ki,kɐ̃j,ki,kɐ̃j,ki,kɐ̃j,1,1,,quem,who,Biagui2012[29],
Casamancese,(w)o'ca,ˈkwɐ̃du,(w)o.'ca,ˈkwɐ̃.du,,,,,,quando,when,Biagui2012[276],Not portuguese origin
Casamancese,ku'ma,ˈkomu,ku.'ma,ˈko.mu,ku,ˈko,1,1,,como,how,Biagui2012[287],
Casamancese,ku'ma,ˈkomu,ku.'ma,ˈko.mu,ˈma,mu,2,2,,como,how,Biagui2012[287],
Casamancese,ˈtudu,ˈtudu,ˈtu.du,ˈtu.du,ˈtu,ˈtu,1,1,,tudo,all,Biagui2012[151],
Casamancese,ˈtudu,ˈtudu,ˈtu.du,ˈtu.du,du,du,2,2,,tudo,all,Biagui2012[151],
Casamancese,ˈtantu,ˈtɐ̃tu,ˈta.ntu,ˈtɐ̃.tu,ˈta.ntu,ˈtɐ̃.tu,1,1,,algum,some,Biagui2012[356],
Casamancese,ˈtantu,ˈtɐ̃tu,ˈta.ntu,ˈtɐ̃.tu,ˈta.ntu,ˈtɐ̃.tu,2,2,,algum,some,Biagui2012[356],
Casamancese,mboˈkadu,buˈkadu,mbo.ˈka.du,bu.ˈka.du,mbo,bu,1,1,,"bocado, pouco",few,Biagui2012[117],
Casamancese,mboˈkadu,buˈkadu,mbo.ˈka.du,bu.ˈka.du,ˈka,ˈka,2,2,,"bocado, pouco",few,Biagui2012[117],
Casamancese,mboˈkadu,buˈkadu,mbo.ˈka.du,bu.ˈka.du,du,du,3,3,,"bocado, pouco",few,Biagui2012[117],
Casamancese,ˈwutur,ˈotɾu,ˈwu.tur,ˈo.tɾu,ˈwu,ˈo,1,1,,outro,other,Biagui2012[151],
Casamancese,ˈwutur,ˈotɾu,ˈwu.tur,ˈo.tɾu,tur,tɾu,2,2,,outro,other,Biagui2012[151],
Casamancese,unˈsoɲ,ˈũ,un.ˈsoɲ,ˈũ,ˈũ,un,1,1,,um,one,Biagui2012[239],
Casamancese,unˈsoɲ,ˈũ,un.ˈsoɲ,ˈũ,-,ˈsoɲ,-,2,,um,one,Biagui2012[239],
Casamancese,dos,ˈdojʃ,dos,ˈdojʃ,dos,ˈdojʃ,1,1,,dois,two,Biagui2012[239],
Casamancese,tres,ˈtɾeʃ,tres,ˈtɾeʃ,tres,ˈtɾeʃ,1,1,,três,three,Biagui2012[239],
Casamancese,ˈkwatur,ˈkwatɾu,ˈkwa.tur,ˈkwa.tɾu,ˈkwa,ˈkwa,1,1,,quatro,four,Biagui2012[239],
