Language,SourceWord,TargetWord,SourceWordSyl,TargetWordSyl,SourceSyllable,TargetSyllable,PositionSource,PositionTarget,Process,TargetOrthography,Translation,Reference,Notes
Papia Kristang,ˈŋwa,ˈumɐ,ˈŋ.wa,ˈu.mɐ,ˈŋ,ˈu,1,1,,uma,"a, one",Baxter1990[7-21],
Papia Kristang,ˈŋwa,ˈumɐ,ˈŋ.wa,ˈu.mɐ,wa,mɐ,2,2,assimilation,uma,"a, one",Baxter1990[7-21],
Papia Kristang,ˈtudu,ˈtudu,ˈtu.du,ˈtu.du,ˈtu,ˈtu,1,1,,tudo,all,Baxter2004,
Papia Kristang,ˈtudu,ˈtudu,ˈtu.du,ˈtu.du,du,du,2,2,,tudo,all,Baxter2004,
Papia Kristang,d̠ʒa,ʒa,d̠ʒa,ʒa,d̠ʒa,ʒa,1,1,,já,already,Baxter1990[7-21],
Papia Kristang,t̠ʃe'ga,ʃɨˈɡaɾ,t̠ʃe.'ga,ʃɨ.ˈɡaɾ,t̠ʃe,ʃɨ,1,1,,chegar,arrive,Baxter1990[7-21],
Papia Kristang,t̠ʃe'ga,ʃɨˈɡaɾ,t̠ʃe.'ga,ʃɨ.ˈɡaɾ,ga,ˈɡaɾ,2,2,,chegar,arrive,Baxter1990[7-21],
Papia Kristang,laˈba,lɐˈvaɾ,la.ˈba,lɐ.ˈvaɾ,la,lɐ,1,1,,lavar,wash,Baxter1990[7-21],
Papia Kristang,laˈba,lɐˈvaɾ,la.ˈba,lɐ.ˈvaɾ,ˈba,ˈvaɾ,2,2,,lavar,wash,Baxter1990[7-21],
Papia Kristang,teŋ,teɾ,teŋ,teɾ,teŋ,teɾ,1,1,,ter,"be, have",Baxter1990[7-21],
Papia Kristang,baˈriga,bɐˈʀigɐ,ba.ˈri.ga,bɐ.ˈʀi.gɐ,ba,bɐ,1,1,,barriga,belly,Baxter1990[7-21],
Papia Kristang,baˈriga,bɐˈʀigɐ,ba.ˈri.ga,bɐ.ˈʀi.gɐ,ˈri,ˈʀi,2,2,,barriga,belly,Baxter1990[7-21],
Papia Kristang,baˈriga,bɐˈʀigɐ,ba.ˈri.ga,bɐ.ˈʀi.gɐ,ga,gɐ,3,3,,barriga,belly,Baxter1990[7-21],
Papia Kristang,ˈgrandi,ˈgɾɐ̃dɨ,ˈgran.di,ˈgɾɐ̃.dɨ,ˈgran,ˈgɾɐ̃,1,1,,grande,big,Baxter2004,
Papia Kristang,ˈgrandi,ˈgɾɐ̃dɨ,ˈgran.di,ˈgɾɐ̃.dɨ,di,dɨ,2,2,,grande,big,Baxter2004,
Papia Kristang,ˈpastu,ˈpasɐɾu,ˈpas.tu,ˈpa.sɐ.ɾu,ˈpas,ˈpa,1,1,,pássaro,bird,Baxter2004,
Papia Kristang,ˈpastu,ˈpasɐɾu,ˈpas.tu,ˈpa.sɐ.ɾu,-,sɐ,-,2,,pássaro,bird,Baxter2004,
Papia Kristang,ˈpastu,ˈpasɐɾu,ˈpas.tu,ˈpa.sɐ.ɾu,tu,ɾu,2,3,,pássaro,bird,Baxter2004,
Papia Kristang,ˈsaŋgi,ˈsɐ̃gɨ,ˈsaŋ.gi,ˈsɐ̃.gɨ,ˈsaŋ,ˈsɐ̃,1,1,,sangue,blood,Baxter2004,
Papia Kristang,ˈsaŋgi,ˈsɐ̃gɨ,ˈsaŋ.gi,ˈsɐ̃.gɨ,gi,gɨ,2,2,,sangue,blood,Baxter2004,
Papia Kristang,ˈosu,ˈosu,ˈo.su,ˈo.su,ˈo,ˈo,1,1,,osso,bone,Baxter2004,
Papia Kristang,ˈosu,ˈosu,ˈo.su,ˈo.su,su,su,2,2,,osso,bone,Baxter2004,
Papia Kristang,ˈbaka,ˈvakɐ,ˈba.ka,ˈva.kɐ,ˈba,ˈva,1,1,,vaca,bovine,Baxter1990[7-21],
Papia Kristang,ˈbaka,ˈvakɐ,ˈba.ka,ˈva.kɐ,ka,kɐ,2,2,,vaca,bovine,Baxter1990[7-21],
Papia Kristang,kɛˈbra,kɨˈbɾaɾ,kɛ.ˈbra,kɨ.ˈbɾaɾ,kɛ,kɨ,1,1,,quebrar,break,Baxter2004,
Papia Kristang,kɛˈbra,kɨˈbɾaɾ,kɛ.ˈbra,kɨ.ˈbɾaɾ,ˈbra,ˈbɾaɾ,2,2,,quebrar,break,Baxter2004,
