Language,SourceWord,TargetWord,SourceWordSyl,TargetWordSyl,SourceSyllable,TargetSyllable,Process,SourceSylCount,TargetSylCount,PositionSource,PositionTarget,SimplePositionSource,SimplePositionTarget,PrevSylSource,NextSylSource,TargetOrthography,Translation,Reference,Notes
Papia Kristang,ˈŋwa,ˈumɐ,ˈŋ.wa,ˈu.mɐ,ˈŋ,ˈu,,2,2,1,1,Initial,Initial,0,wa,uma,"a, one",Baxter1990[7-21],
Papia Kristang,ˈŋwa,ˈumɐ,ˈŋ.wa,ˈu.mɐ,wa,mɐ,assimilation,2,2,2,2,Final,Final,ˈŋ,2,uma,"a, one",Baxter1990[7-21],
Papia Kristang,ˈtudu,ˈtudu,ˈtu.du,ˈtu.du,ˈtu,ˈtu,,2,2,1,1,Initial,Initial,0,du,tudo,all,Baxter2004,
Papia Kristang,ˈtudu,ˈtudu,ˈtu.du,ˈtu.du,du,du,,2,2,2,2,Final,Final,ˈtu,2,tudo,all,Baxter2004,
Papia Kristang,d̠ʒa,ʒa,d̠ʒa,ʒa,d̠ʒa,ʒa,,1,1,1,1,Final,Final,0,1,já,already,Baxter1990[7-21],
Papia Kristang,t̠ʃe'ga,ʃɨˈɡaɾ,t̠ʃe.'ga,ʃɨ.ˈɡaɾ,t̠ʃe,ʃɨ,,2,2,1,1,Initial,Initial,0,ga,chegar,arrive,Baxter1990[7-21],
Papia Kristang,t̠ʃe'ga,ʃɨˈɡaɾ,t̠ʃe.'ga,ʃɨ.ˈɡaɾ,ga,ˈɡaɾ,,2,2,2,2,Final,Final,t̠ʃe,2,chegar,arrive,Baxter1990[7-21],
Papia Kristang,laˈba,lɐˈvaɾ,la.ˈba,lɐ.ˈvaɾ,la,lɐ,,2,2,1,1,Initial,Initial,0,ˈba,lavar,wash,Baxter1990[7-21],
Papia Kristang,laˈba,lɐˈvaɾ,la.ˈba,lɐ.ˈvaɾ,ˈba,ˈvaɾ,,2,2,2,2,Final,Final,la,2,lavar,wash,Baxter1990[7-21],
Papia Kristang,teŋ,teɾ,teŋ,teɾ,teŋ,teɾ,,1,1,1,1,Final,Final,0,1,ter,"be, have",Baxter1990[7-21],
Papia Kristang,baˈriga,bɐˈʀigɐ,ba.ˈri.ga,bɐ.ˈʀi.gɐ,ba,bɐ,,3,3,1,1,Initial,Initial,0,ˈri,barriga,belly,Baxter1990[7-21],
Papia Kristang,baˈriga,bɐˈʀigɐ,ba.ˈri.ga,bɐ.ˈʀi.gɐ,ˈri,ˈʀi,,3,3,2,2,Medial,Medial,ba,ga,barriga,belly,Baxter1990[7-21],
Papia Kristang,baˈriga,bɐˈʀigɐ,ba.ˈri.ga,bɐ.ˈʀi.gɐ,ga,gɐ,,3,3,3,3,Final,Final,ˈri,3,barriga,belly,Baxter1990[7-21],
Papia Kristang,ˈgrandi,ˈgɾɐ̃dɨ,ˈgran.di,ˈgɾɐ̃.dɨ,ˈgran,ˈgɾɐ̃,,2,2,1,1,Initial,Initial,0,di,grande,big,Baxter2004,
Papia Kristang,ˈgrandi,ˈgɾɐ̃dɨ,ˈgran.di,ˈgɾɐ̃.dɨ,di,dɨ,,2,2,2,2,Final,Final,ˈgran,2,grande,big,Baxter2004,
