Language,SourceWord,TargetWord,SourceWordSyl,TargetWordSyl,TargetOrthography,Translation,Reference,Notes,SourceWordLenght,"
TargetWordLenght",SourceWordSyl,TargetWordSyl,WordDiff,WordBigger,SyllDiff,SylBigger
Papia Kristang,ˈŋwa,ˈumɐ,ˈŋ.wa,ˈu.mɐ,uma,"a, one",Baxter1990[7-21],,3,3,2,2,0,Equal,0,Equal
Papia Kristang,ˈtudu,ˈtudu,ˈtu.du,ˈtu.du,tudo,all,Baxter2004,,4,4,2,2,0,Equal,0,Equal
Papia Kristang,d̠ʒa,ʒa,d̠ʒa,ʒa,já,already,Baxter1990[7-21],,2,2,1,1,0,Equal,0,Equal
Papia Kristang,t̠ʃe'ga,ʃɨˈɡaɾ,t̠ʃe.'ga,ʃɨ.ˈɡaɾ,chegar,arrive,Baxter1990[7-21],,5,5,2,2,0,Equal,0,Equal
Papia Kristang,laˈba,lɐˈvaɾ,la.ˈba,lɐ.ˈvaɾ,lavar,wash,Baxter1990[7-21],,4,5,2,2,-1,Target,0,Equal
Papia Kristang,teŋ,teɾ,teŋ,teɾ,ter,"be, have",Baxter1990[7-21],,3,3,1,1,0,Equal,0,Equal
Papia Kristang,baˈriga,bɐˈʀigɐ,ba.ˈri.ga,bɐ.ˈʀi.gɐ,barriga,belly,Baxter1990[7-21],,6,6,3,3,0,Equal,0,Equal
Papia Kristang,ˈgrandi,ˈgɾɐ̃dɨ,ˈgran.di,ˈgɾɐ̃.dɨ,grande,big,Baxter2004,,6,6,2,2,0,Equal,0,Equal
Papia Kristang,ˈpastu,ˈpasɐɾu,ˈpas.tu,ˈpa.sɐ.ɾu,pássaro,bird,Baxter2004,,5,6,2,3,-1,Target,-1,Target
Papia Kristang,ˈsaŋgi,ˈsɐ̃gɨ,ˈsaŋ.gi,ˈsɐ̃.gɨ,sangue,blood,Baxter2004,,5,5,2,2,0,Equal,0,Equal
Papia Kristang,ˈosu,ˈosu,ˈo.su,ˈo.su,osso,bone,Baxter2004,,3,3,2,2,0,Equal,0,Equal
Papia Kristang,ˈbaka,ˈvakɐ,ˈba.ka,ˈva.kɐ,vaca,bovine,Baxter1990[7-21],,4,4,2,2,0,Equal,0,Equal
Papia Kristang,kɛˈbra,kɨˈbɾaɾ,kɛ.ˈbra,kɨ.ˈbɾaɾ,quebrar,break,Baxter2004,,5,6,2,2,-1,Target,0,Equal
Papia Kristang,ˈpetu,ˈpɐjtu,ˈpe.tu,ˈpɐj.tu,peito,breast,Baxter1990[7-21],,4,5,2,2,-1,Target,0,Equal
Papia Kristang,ˈpusaˈbafu,ˈpuʃɐˈbafu,ˈpu.sa.ˈba.fu,ˈpu.ʃɐ.ˈba.fu,puxa bafo,breathe,Baxter1990[7-21],,8,8,4,4,0,Equal,0,Equal
Papia Kristang,ˈpodi,puˈder,ˈpo.di,pu.ˈder,poder,can,Baxter1990[7-21],,4,5,2,2,-1,Target,0,Equal
Papia Kristang,mˈpodi,nɐ̃w̃ˈpɔdɨ,m.ˈpo.di,nɐ̃w̃.'pɔ.dɨ,não pode,cannot,Baxter1990[7-21],,5,8,3,3,-3,Target,0,Equal
