Language,SourceWord,TargetWord,SourceWordSyl,TargetWordSyl,SourceSyllable,TargetSyllable,SourceWordSyl Length,TargetWordSyl Length,Source word length,Target word length,SourceWordSyl length,TargetWordSyl length,Word diff,Word bigger,Syll diff,SylNum bigger,Encontra espaço branco
,tud,ˈtudu,tud,tu.’du,tud,tu,1,2,3,4,1,2,-1,Target,-1,Target,#VALUE!
,tud,ˈtudu,tud,tu.’du,-,ˈdu ,1,2,3,4,1,2,-1,Target,-1,Target,#VALUE!
,ma,ˈmɐʃ,ma,ˈmɐʃ,ma,ˈmɐʃ,1,1,2,3,1,1,-1,Target,0,Equal,#VALUE!
,j,i,j,i,j,i,1,1,1,1,1,1,0,Equal,0,Equal,#VALUE!
,animal,ɐniˈmaɫ,a.ni.mal,ɐ.ni.ˈmaɫ,a,ɐ,3,3,6,6,3,3,0,Equal,0,Equal,#VALUE!
,animal,ɐniˈmaɫ,a.ni.mal,ɐ.ni.ˈmaɫ,ni,ni,3,3,6,6,3,3,0,Equal,0,Equal,#VALUE!
,animal,ɐniˈmaɫ,a.ni.mal,ɐ.ni.ˈmaɫ,mal,ˈmaɫ,3,3,6,6,3,3,0,Equal,0,Equal,#VALUE!
,bit̠ʃ,biʃu,bi.t̠ʃ,bi.ʃu,bi,bi,2,2,3,4,2,2,-1,Target,0,Equal,#VALUE!
,bit̠ʃ,biʃu,bi.t̠ʃ,bi.ʃu,t̠ʃ,ʃu,2,2,3,4,2,2,-1,Target,0,Equal,#VALUE!
,sinza,ˈsĩzɐ,sin.za,ˈsĩ.zɐ,sin,ˈsĩ,2,2,5,4,2,2,1,Source,0,Equal,#VALUE!
,sinza,ˈsĩzɐ,sin.za,ˈsĩ.zɐ,za,zɐ,2,2,5,4,2,2,1,Source,0,Equal,#VALUE!
,na,nɐ,na,nɐ,na,nɐ,1,1,2,2,1,1,0,Equal,0,Equal,#VALUE!
,koʃta,ˈkɔʃtɐ,koʃ.ta,ˈkɔʃ.tɐ,koʃ,ˈkɔʃ,2,2,5,5,2,2,0,Equal,0,Equal,#VALUE!
,koʃta,ˈkɔʃtɐ,koʃ.ta,ˈkɔʃ.tɐ,ta,tɐ,2,2,5,5,2,2,0,Equal,0,Equal,#VALUE!
,mau,ˈmaw,mau,ˈmaw,mau,ˈmaw,1,1,3,3,1,1,0,Equal,0,Equal,#VALUE!
,maɾiod,mɐɾiˈadu,ma.ɾi.od,mɐ.ɾiˈa.du,ma,mɐ,3,3,6,7,3,3,-1,Target,0,Equal,#VALUE!
