Language,SourceWord,TargetWord,source word syl,target word syl,SourceSyllable,TargetSyllable,PositionSource,Position Target, SourceWord,TargetOrthography,Translation,Referenc e,Notes
Diu,tud,ˈtu.du,tud,ˈtu.du,tu,ˈtu,1,1,CVC,todo/tudo,all,Clements2012[37-41],
Diu,tud,ˈtu.du,tud,ˈtu.du,d,du,2,2,CVC,todo/tudo,all,Clements2012[37-41],
Diu,ku,i,ku,i,ku,i,1,1,CV,e,and,Clements2012[37-41],
Diu,animal,ɐ.ni.ˈmaɫ,a.ni.mal ,ɐ.ni.ˈmaɫ,a,ɐ,1,1,VCVCVC,animal,animal,Clements2012[37-41],
Diu,animal,ɐ.ni.ˈmaɫ,a.ni.mal,ɐ.ni.ˈmaɫ,ni,ni,2,2,VCVCVC,animal,animal,Clements2012[37-41],
Diu,animal,ɐ.ni.ˈmaɫ,a.ni.mal,ɐ.ni.ˈmaɫ,mal,maɫ,3,3,VCVCVC,animal,animal,Clements2012[37-41],
Diu,si͂z,ˈsĩzɐ,si͂z,ˈsĩ.zɐ,si͂z,ˈsĩ,1,1,CVC,cinza,ashes,Clements2012[37-41],
Diu,si͂z,ˈsĩzɐ,si͂z,ˈsĩ.zɐ,-,zɐ,-,2,,,,,
Diu,ju͂t də,ɐ̃j,ju͂t. də,ɐ̃j,ju͂t,ɐ̃j,1,1,CVC CV,em,at,Clements2012[37-41],
Diu,ju͂t də,ɐ̃j,ju͂t. də,ɐ̃j,də,ɐ̃j,2,1,CVC CV,em,at,Clements2012[37-41],
Diu,pɛɾt də,ɐ̃j,pɛɾ.t də,ɐ̃j,pɛɾ,ɐ̃j,1,1,CVCC CV,em,at,Clements2012[37-41],
Diu,pɛɾt də,ɐ̃j,pɛɾ.t də,ɐ̃j,t,ɐ̃j,2,1,CVCC CV,em,at,Clements2012[37-41],
Diu,pɛɾt də,ɐ̃j,pɛɾ.t də,ɐ̃j,də,ɐ̃j,3,1,CVCC CV,em,at,Clements2012[37-41],
Diu,kɔs,ˈkɔʃtɐ,kɔs,ˈkɔʃ.tɐ,kɔs,ˈkɔʃ,1,1,CVC,costa,back,Clements2012[37-41],
Diu,kɔs,ˈkɔʃtɐ,kɔs,ˈkɔʃ.tɐ,-,tɐ,-,2,CVC,costa,back,Clements2012[37-41],
Diu,mal,ˈmal,mal,ˈmal,mal,ˈmal,1,1,CVC,mal,bad,Clements2012[37-41],
