Language,SourceWord,TargetWord,SourceWordSyl,TargetWordSyl,SourceSyllable,TargetSyllable,SourceWordSyl,TargetWordSylLength,PositionSource,Position Target,Simple PositionSource,Simple PositionTarget,Previous source,Next source,Previous target,Next target,Process,TargetOrthography,Translation,Reference,Notes
Angolar,ˈawɐ,agwɐ,ˈa.wɐ,a.gwɐ,ˈa,ˈa,2,2,1,1,Initial,Initial,0,wɐ,0,gwɐ,,água,Water,Bandeira2017[366-412],
Angolar,ˈawɐ,agwɐ,ˈa.wɐ,a.gwɐ,wɐ,gwɐ,2,2,2,2,Final,Final,ˈa,2,ˈa,2,,água,Water,Bandeira2017[366-412],
Angolar,faˈɲa,fɐˈɾiɲɐ,fa.ˈɲa,fɐ.ˈɾi.ɲɐ,fa,fɐ,2,3,1,1,Initial,Initial,0,-,0,ˈɾi,,farinha,flour,Bandeira2017[366-412],
Angolar,faˈɲa,fɐˈɾiɲɐ,fa.ˈɲa,fɐ.ˈɾi.ɲɐ,-,ˈɾi,2,3,-,2,-,Medial,fa,ˈɲa,fɐ,ɲɐ,,farinha,flour,Bandeira2017[366-412],
Angolar,faˈɲa,fɐˈɾiɲɐ,fa.ˈɲa,fɐ.ˈɾi.ɲɐ,ˈɲa,ɲɐ,2,3,2,3,Final,Final,-,2,ˈɾi,3,,farinha,flour,Bandeira2017[366-412],
Angolar,fɛˈðɔ̃,fejˈʒɐ̃w̃,fɛ.ˈðɔ̃,fej.ˈʒɐ̃w̃,fɛ,fej,2,2,1,1,Initial,Initial,0,ˈðɔ̃,0,ˈʒɐ̃w̃,,feijão,bean,Bandeira2017[366-412],
Angolar,fɛˈðɔ̃,fejˈʒɐ̃w̃,fɛ.ˈðɔ̃,fej.ˈʒɐ̃w̃,ˈðɔ̃,ˈʒɐ̃w̃,2,2,2,2,Final,Final,fɛ,2,fej,2,,feijão,bean,Bandeira2017[366-412],
Angolar,goˈdulɐ,ɡuɾˈduɾɐ,go.ˈdu.lɐ,ɡuɾ.ˈdu.ɾɐ,go,ɡuɾ,3,3,1,1,Initial,Initial,0,ˈdu,0,ˈdu,,gordura,fat,Bandeira2017[366-412],
Angolar,goˈdulɐ,ɡuɾˈduɾɐ,go.ˈdu.lɐ,ɡuɾ.ˈdu.ɾɐ,ˈdu,ˈdu,3,3,2,2,Medial,Medial,go,lɐ,ɡuɾ,ɾɐ,,gordura,fat,Bandeira2017[366-412],
Angolar,goˈdulɐ,ɡuɾˈduɾɐ,go.ˈdu.lɐ,ɡuɾ.ˈdu.ɾɐ,lɐ,ɾɐ,3,3,3,3,Final,Final,ˈdu,3,ˈdu,3,,gordura,fat,Bandeira2017[366-412],
Angolar,kadɛˈladɐ,kaldejˈɾadɐ,ka.dɛ.ˈla.dɐ,kal.dej.ˈɾa.dɐ,ka,kal,4,4,1,1,Initial,Initial,0,dɛ,0,dej,,caldeirada,fish stew,Bandeira2017[366-412],
Angolar,kadɛˈladɐ,kaldejˈɾadɐ,ka.dɛ.ˈla.dɐ,kal.dej.ˈɾa.dɐ,dɛ,dej,4,4,2,2,Medial,Medial,ka,ˈla,kal,ˈɾa,,caldeirada,fish stew,Bandeira2017[366-412],
Angolar,kadɛˈladɐ,kaldejˈɾadɐ,ka.dɛ.ˈla.dɐ,kal.dej.ˈɾa.dɐ,ˈla,ˈɾa,4,4,3,3,Medial,Medial,dɛ,dɐ,dej,dɐ,,caldeirada,fish stew,Bandeira2017[366-412],
