Language,SourceWord,SourceWord CV,TargetWord,SourceWordSyl,TargetWordSyl,SourceWordSyllabe,TargetWordSyllabe,PositionSource,PositionTarget,Process,TargetOrthography,Translation,References,Notes
Principense,ˈaju,VGV,ˈaʎu,ˈa.ju,ˈa.ʎu,ˈa,ˈa,1,1,,alho,garlic,Bandeira2017[366-412],
Principense,ˈaju,VGV,ˈaʎu,ˈa.ju,ˈa.ʎu,ju,ʎu,2,2,,alho,garlic,Bandeira2017[366-412],
Principense,oˈroso,V'CVCV,aˈʀoʃ,o.’ro.so,a.ˈʀoʃ,o,a,1,1,,arroz,rice,Bandeira2017[366-412],
Principense,oˈroso,V'CVCV,aˈʀoʃ,o.’ro.so,a.ˈʀoʃ,ˈro,ˈʀoʃ,2,2,,arroz,rice,Bandeira2017[366-412],
Principense,oˈroso,V'CVCV,aˈʀoʃ,o.’ro.so,a.ˈʀoʃ,so,-,3,-,,arroz,rice,Bandeira2017[366-412],
Principense,ˈawɐ,VGV,ˈaguɐ,ˈa.wɐ,ˈa.guɐ,ˈa,ˈa,1,1,,água,Water,Bandeira2017[366-412],
Principense,ˈawɐ,VGV,ˈaguɐ,ˈa.wɐ,ˈa.guɐ,wɐ,guɐ,2,2,,água,Water,Bandeira2017[366-412],
Principense,ˈawɐˈdẽt̠ʃi,VGV'CVCV,ɐguaɾˈdẽtɨ,ˈa.wɐ.dẽ.t̠ʃi,ɐ.guaɾ.ˈdẽ.tɨ,ˈa,ɐ,1,1,,aguardente,brandy,Bandeira2017[366-412],
Principense,ˈawɐˈdẽt̠ʃi,VGV'CVCV,ɐguaɾˈdẽtɨ,ˈa.wɐ.dẽ.t̠ʃi,ɐ.guaɾ.ˈdẽ.tɨ,wɐ,guaɾ,2,2,,aguardente,brandy,Bandeira2017[366-412],
Principense,ˈawɐˈdẽt̠ʃi,VGV'CVCV,ɐguaɾˈdẽtɨ,ˈa.wɐ.dẽ.t̠ʃi,ɐ.guaɾ.ˈdẽ.tɨ,dẽ,ˈdẽ,3,3,,aguardente,brandy,Bandeira2017[366-412],
Principense,ˈawɐˈdẽt̠ʃi,VGV'CVCV,ɐguaɾˈdẽtɨ,ˈa.wɐ.dẽ.t̠ʃi,ɐ.guaɾ.ˈdẽ.tɨ,t̠ʃi,tɨ,4,4,,aguardente,brandy,Bandeira2017[366-412],
Principense,baˈnɐ,CV'CV,bɐˈnɐnɐ,baˈ.nɐ,bɐ.ˈnɐ.nɐ,ba,bɐ,1,1,,banana,banana,Bandeira2017[366-412],
Principense,baˈnɐ,CV'CV,bɐˈnɐnɐ,baˈ.nɐ,bɐ.ˈnɐ.nɐ,-,ˈnɐ,-,2,,banana,banana,Bandeira2017[366-412],
Principense,baˈnɐ,CV'CV,bɐˈnɐnɐ,baˈ.nɐ,bɐ.ˈnɐ.nɐ,ˈnɐ,nɐ,2,3,,banana,banana,Bandeira2017[366-412],
Principense,ˈbɐ̃ɲɐ,CV'CV,ˈbɐɲɐ,ˈbɐ̃.ɲɐ,ˈbɐ.ɲɐ,ˈbɐ̃,ˈbɐ,1,1,assimilation,banha,fat,Bandeira2017[366-412],
Principense,ˈbɐ̃ɲɐ,CV'CV,ˈbɐɲɐ,ˈbɐ̃.ɲɐ,ˈbɐ.ɲɐ,ɲɐ,ɲɐ,2,2,,banha,fat,Bandeira2017[366-412],
Principense,ˈfjɐ̃,CGV,fɐˈɾiɲɐ,ˈfjɐ̃,fɐ.ˈɾi.ɲɐ,ˈfjɐ̃,fɐ,1,1,metathesis,farinha,flour,Bandeira2017[366-412],
Principense,ˈfjɐ̃,CGV,fɐˈɾiɲɐ,ˈfjɐ̃,fɐ.ˈɾi.ɲɐ,-,ˈɾi,-,2,,farinha,flour,Bandeira2017[366-412],
Principense,ˈfjɐ̃,CGV,fɐˈɾiɲɐ,ˈfjɐ̃,fɐ.ˈɾi.ɲɐ,-,ɲɐ,-,3,,farinha,flour,Bandeira2017[366-412],
Principense,fɛˈzɐ̃,CV'CV,fejˈʒɐ̃w̃,fɛ.ˈzɐ̃,fɐj.ˈʒɐ̃w̃,fɛ,fɐj,1,1,assimilation,feijão,bean,Bandeira2017[366-412],
Principense,fɛˈzɐ̃,CV'CV,fejˈʒɐ̃w̃,fɛ.ˈzɐ̃,fɐj.ˈʒɐ̃w̃,ˈzɐ̃,ˈʒɐ̃w̃,2,2,,feijão,bean,Bandeira2017[366-412],
Principense,guˈdurɐ,CV'CVCV,ɡuɾˈduɾɐ,gu.ˈdu.rɐ,guɾ.ˈdu.ɾɐ,gu,guɾ,1,1,,gordura,fat,Bandeira2017[366-412],
Principense,guˈdurɐ,CV'CVCV,ɡuɾˈduɾɐ,gu.ˈdu.rɐ,guɾ.ˈdu.ɾɐ,ˈdu,ˈdu,2,2,,gordura,fat,Bandeira2017[366-412],
Principense,guˈdurɐ,CV'CVCV,ɡuɾˈduɾɐ,gu.ˈdu.rɐ,guɾ.ˈdu.ɾɐ,rɐ,ɾɐ,3,3,,gordura,fat,Bandeira2017[366-412],
Principense,kadɛˈradɐ,CVCV'CVCV,kaldejˈɾadɐ,ka.dɛ.'ra.dɐ,kal.dɐj.ˈɾa.dɐ,ka,kal,1,1,,caldeirada,fish stew,Bandeira2017[366-412],
Principense,kadɛˈradɐ,CVCV'CVCV,kaldejˈɾadɐ,ka.dɛ.'ra.dɐ,kal.dɐj.ˈɾa.dɐ,dɛ,dɐj,2,2,,caldeirada,fish stew,Bandeira2017[366-412],
Principense,kadɛˈradɐ,CVCV'CVCV,kaldejˈɾadɐ,ka.dɛ.'ra.dɐ,kal.dɐj.ˈɾa.dɐ,ra,ˈɾa,3,3,,caldeirada,fish stew,Bandeira2017[366-412],
Principense,kadɛˈradɐ,CVCV'CVCV,kaldejˈɾadɐ,ka.dɛ.'ra.dɐ,kal.dɐj.ˈɾa.dɐ,dɐ,dɐ,4,4,,caldeirada,fish stew,Bandeira2017[366-412],
Principense,kaˈnɐ,CV'CV,ˈkɐnɐ,ka.'nɐ,ˈkɐ.nɐ,ka,ˈkɐ,1,1,,cana,sugarcane,Bandeira2017[366-412],
Principense,kaˈnɐ,CV'CV,ˈkɐnɐ,ka.'nɐ,ˈkɐ.nɐ,ˈnɐ,nɐ,2,2,,cana,sugarcane,Bandeira2017[366-412],
Principense,uˈkani,V'CVCV,ˈkaɾnɨ,u.'ka.ni,ˈkaɾ.nɨ,u,-,1,1,,carne,meat,Bandeira2017[366-412],
Principense,uˈkani,V'CVCV,ˈkaɾnɨ,u.'ka.ni,ˈkaɾ.nɨ,ˈka,ˈkaɾ,2,-,,carne,meat,Bandeira2017[366-412],
Principense,uˈkani,V'CVCV,ˈkaɾnɨ,u.'ka.ni,ˈkaɾ.nɨ,ni,nɨ,3,2,,carne,meat,Bandeira2017[366-412],
Principense,uˈkjabu,V'CGVCV,kiˈabu,u.'kja.bu,ki.ˈa.bu,u,-,1,-,,quiabo,okra,Bandeira2017[366-412],
Principense,uˈkjabu,V'CGVCV,kiˈabu,u.'kja.bu,ki.ˈa.bu,ˈkja,ki,2,1,,quiabo,okra,Bandeira2017[366-412],
Principense,uˈkjabu,V'CGVCV,kiˈabu,u.'kja.bu,ki.ˈa.bu,-,ˈa,-,2,metathesis,quiabo,okra,Bandeira2017[366-412],
Principense,uˈkjabu,V'CGVCV,kiˈabu,u.'kja.bu,ki.ˈa.bu,bu,bu,3,3,,quiabo,okra,Bandeira2017[366-412],
