Language,SourceWord,TargetWord,SourceWordSyl,TargetWordSyl,SourceWordSyllabe,TargetWordSyllabe,PositionSource,PositionTarget,SourceWord Length,TargetWord Length,SourceWordSyl Length,TargetWordSyl Length,Word diff,Word bigger,Syll diff,SylNum bigger
Principense,ˈaju,ˈaʎu,ˈa.ju,ˈa.ʎu,ˈa,ˈa,1,1,3,3,2,2,0,Equal,0,Equal
Principense,oˈroso,aˈʀoʃ,o.’ro.so,a.ˈʀoʃ,o,a,1,1,5,4,3,2,1,Source,1,Source
Principense,ˈawɐ,ˈaguɐ,ˈa.wɐ,ˈa.guɐ,ˈa,ˈa,1,1,3,4,2,2,-1,Target,0,Equal
Principense,ˈawɐˈdẽt̠ʃi,ɐguaɾˈdẽtɨ,ˈawɐ.dẽ.t̠ʃi,ɐ.guaɾ.ˈdẽ.tɨ,ˈawɐ,ɐ,1,1,8,10,2,4,-2,Target,-2,Target
Principense,baˈnɐ,bɐˈnɐnɐ,baˈ.nɐ,bɐ.ˈnɐ.nɐ,ba,bɐ,1,1,4,6,2,3,-2,Target,-1,Target
Principense,ˈbɐ̃ɲɐ,ˈbɐɲɐ,ˈbɐ̃.ɲɐ,ˈbɐ.ɲɐ,ˈbɐ̃,ˈbɐ,1,1,5,4,2,2,1,Source,0,Equal
Principense,ˈfjɐ̃,fɐˈɾiɲɐ,ˈfjɐ̃,fɐ.ˈɾi.ɲɐ,ˈfjɐ̃,fɐ,1,1,4,6,1,3,-2,Target,-2,Target
Principense,fɛˈzɐ̃,fejˈʒɐ̃w̃,fɛ.ˈzɐ̃,fɐj.ˈʒɐ̃w̃,fɛ,fɐj,1,1,5,8,2,2,-3,Target,0,Equal
Principense,guˈdurɐ,ɡuɾˈduɾɐ,gu.ˈdu.rɐ,guɾ.ˈdu.ɾɐ,rɐ,ɾɐ,3,3,6,7,3,3,-1,Target,0,Equal
Principense,kadɛˈradɐ,kaldejˈɾadɐ,ka.dɛ.'ra.dɐ,kal.dɐj.ˈɾa.dɐ,ka,kal,1,1,8,10,4,4,-2,Target,0,Equal
Principense,kaˈnɐ,ˈkɐnɐ,ka.'nɐ,ˈkɐ.nɐ,ka,ˈkɐ,1,1,4,4,2,2,0,Equal,0,Equal
Principense,uˈkani,ˈkaɾnɨ,u.'ka.ni,ˈkaɾ.nɨ,u,ˈkaɾ,1,1,5,5,3,2,0,Equal,1,Source
Principense,uˈkjabu,kiˈabu,u.'kja.bu,ki.ˈa.bu,u,ki,1,1,6,5,3,3,1,Source,0,Equal
Principense,ˈlete,ˈlɐjtɨ,ˈle.te,ˈlɐj.tɨ,te,tɨ,2,2,4,5,2,2,-1,Target,0,Equal
Principense,mɐˈmɐ̃,mɐˈmɐ̃w̃,mɐ.ˈmɐ̃,mɐ.ˈmɐ̃w̃,ˈmɐ̃,ˈmɐ̃w̃,2,2,5,7,2,2,-2,Target,0,Equal
Principense,mɐ̃ˈdjɔkɔ,mɐdiˈɔkɐ,mɐ̃.'djɔ.kɔ,mɐ.di.ˈɔ.kɐ,mɐ̃,mɐ,1,1,8,7,3,4,1,Source,-1,Target
Principense,mɐ̃ˈsɐ̃,mɐˈsɐ̃,mɐ̃.'sɐ̃,mɐ̃.'sɐ̃,mɐ̃,mɐ̃,1,1,6,5,2,3,1,Source,-1,Target
Principense,mɐ̃ˈtɛgɐ,ˈmɐ̃tɐjgɐ,mɐ̃.'tɛ.gɐ,mɐ̃.tɐj.gɐ,mɐ̃,mɐ̃,1,1,7,8,3,2,-1,Target,1,Source
Principense,ˈmɛli,ˈmɛɫ,ˈmɛ.li,ˈmɛɫ,li,-,2,-,4,3,2,1,1,Source,1,Source
Principense,ˈmojo,ˈmoʎu,ˈmo.jo,ˈmo.ʎu,jo,ʎu,2,2,4,4,2,2,0,Equal,0,Equal
Principense,naˈnaʒi,ɐbɐkɐˈʃi,na.ˈna.ʒi,ɐ.bɐ.kɐ.ˈʃi,ʒi,ˈʃi,3,4,6,7,3,4,-1,Target,-1,Target
Principense,ˈɔvu,ˈovu,ˈɔ.vu,ˈo.vu,ˈɔ,ˈo,1,1,3,3,2,2,0,Equal,0,Equal
Principense,oˈpɐ̃,ˈpɐ̃w̃,o.ˈpɐ̃,ˈpɐ̃w̃,ˈpɐ̃,-,2,-,4,5,2,1,-1,Target,1,Source
Principense,piˈmɛ̃tɐ,piˈmẽtɐ,pi.ˈmɛ̃.tɐ,pi.ˈmẽ.tɐ,pi,pi,1,1,7,7,3,3,0,Equal,0,Equal
Principense,uˈsalu,ˈsal,u.ˈsa.lu,sal,lu,-,3,-,5,3,3,0,2,Source,3,Source
Principense,ˈsɔpɐ,ˈsopɐ,ˈsɔ.pɐ,ˈso.pɐ,pɐ,pɐ,2,2,4,4,2,2,0,Equal,0,Equal
