Language;SourceWord;TargetWord;SourceWord Syl;TargetWord Syl;Source word length;Target word length;SourceWord Syl length;TargetWord Syl length;Word diff;Word bigger;Syll diff;SylNum bigger;Encontra espaço da erro;TargetOrthography;Translation;Reference;Notes
Korlai;tud;ˈtudu;tud;ˈtu.du;3;4;1;2;-1;Target;-1;Target;#VALUE!;tudo;all;Clements2012[37-41];
Korlai;ani;i;a.ni;i;3;1;2;1;2;Source;1;Source;#VALUE!;e;and;Clements2012[37-41];
Korlai;sints;ˈsĩzɐ;sints;ˈsĩ.zɐ;5;4;1;2;1;Source;-1;Target;#VALUE!;cinza;ashes;Clements2012[37-41];
Korlai;nə;ɐj̃;nə;ɐj̃;2;3;1;1;-1;Target;0;Equal;#VALUE!;em;at;Clements2012[37-41];
Korlai;kɔs;ˈkɔʃtɐ;kɔs;ˈkɔʃ.tɐ;3;5;1;2;-2;Target;-1;Target;#VALUE!;costa;back;Clements2012[37-41];
Korlai;bʰaɾig;bɐˈʀigɐ;bʰa.ɾig;bɐˈ.ʀi.gɐ;6;6;2;3;0;Equal;-1;Target;#VALUE!;barriga;belly;Clements2012[37-41];
Korlai;gɾan;ˈɡɾɐ̃dɨ;gɾan;ˈɡɾɐ̃.dɨ;4;6;1;2;-2;Target;-1;Target;#VALUE!;grande;big;Clements2012[37-41];
Korlai;pas;ˈpasɐɾu;pas;ˈpa.sɐ.ɾu;3;6;1;3;-3;Target;-2;Target;#VALUE!;pássaro;bird;Clements2012[37-41];
Korlai;supɾa;suˈpɾaɾ;su.pɾa;su.ˈpɾaɾ;5;6;2;2;-1;Target;0;Equal;#VALUE!;soprar;blow;Clements2012[37-41];
Korlai;kima;kejˈmaɾ;ki.ma;kej.ˈmaɾ;4;6;2;2;-2;Target;0;Equal;#VALUE!;queimar;burn;Clements2012[37-41];
Korlai;kɾijãs;kɾiˈɐ̃sɐ;kɾi.jãs;kɾi.ˈɐ̃.sɐ;7;7;2;3;0;Equal;-1;Target;#VALUE!;criança;child;Clements2012[37-41];
Korlai;fɾiw;ˈfɾiu;fɾiw;ˈfɾiu;4;4;1;1;0;Equal;0;Equal;#VALUE!;frio;cold;Clements2012[37-41];
Korlai;ʋi;ˈviɾ;ʋi;ˈviɾ;2;3;1;1;-1;Target;0;Equal;#VALUE!;vir;come;Clements2012[37-41];
Korlai;kota;kõtaɾ;ko.ta;kõ.taɾ;4;6;2;2;-2;Target;0;Equal;#VALUE!;contar;count;Clements2012[37-41];
Korlai;koɾta;kuɾˈtaɾ;koɾ.ta;kuɾ.ˈtaɾ;5;6;2;2;-1;Target;0;Equal;#VALUE!;cortar;cut;Clements2012[37-41];
Korlai;kaʋa;kɐˈvaɾ;ka.ʋa;kɐ.ˈvaɾ;4;5;2;2;-1;Target;0;Equal;#VALUE!;cavar;dig;Clements2012[37-41];
Korlai;sud̠ʒ;ˈsuʒu;sud̠ʒ;ˈsu.ʒu;3;4;1;2;-1;Target;-1;Target;#VALUE!;sujo;dirty;Clements2012[37-41];
Korlai;kãw;ˈkɐ̃w̃;kãw;ˈkɐ̃w̃;3;5;1;1;-2;Target;0;Equal;#VALUE!;cão;dog;Clements2012[37-41];
Korlai;sek;ˈseku;sek;ˈse.ku;3;4;1;2;-1;Target;-1;Target;#VALUE!;seco;dry;Clements2012[37-41];
Korlai;bʰoʈəl;ˈbotu;bʰo.ʈəl;ˈbo.tu;6;4;2;2;2;Source;0;Equal;#VALUE!;boto;dull;Clements2012[37-41];
