Language,SourceWord,TargetWord,SourceWordSyl,TargetWordSyl,SourceSyllable,TargetSyllable,SourceWordSyl Length,TargetWordSyl Length,PositionSource,PositionTarget,Simple PositionSource,Simple PositionTarget,Previous source,Next source,Previous target,Next target,Process,TargetOrthography,Translation,Reference,Notes
Cape Verdean Sao Vicente,tud,ˈtudu,tud,tu.’du,tud,tu,1,2,1,1,Final,Initial,0,-,0,ˈdu ,,tudo,everything,Baptista2019[271-277],
Cape Verdean Sao Vicente,tud,ˈtudu,tud,tu.’du,-,ˈdu ,1,2,-,2,-,Final,tud,-,tu,2,,tudo,everything,Baptista2019[271-277],
Cape Verdean Sao Vicente,ma,ˈmɐʃ,ma,ˈmɐʃ,ma,ˈmɐʃ,1,1,1,1,Final,Final,0,1,0,1,,mas,and,Baptista2019[271-277],
Cape Verdean Sao Vicente,j,i,j,i,j,i,1,1,1,1,Final,Final,0,1,0,1,,e,and,Baptista2019[271-277],
Cape Verdean Sao Vicente,animal,ɐniˈmaɫ,a.ni.mal,ɐ.ni.ˈmaɫ,a,ɐ,3,3,1,1,Initial,Initial,0,ni,0,ni,,animal,animal,Baptista2019[271-277],
Cape Verdean Sao Vicente,animal,ɐniˈmaɫ,a.ni.mal,ɐ.ni.ˈmaɫ,ni,ni,3,3,2,2,Medial,Medial,a,mal,ɐ,ˈmaɫ,,animal,animal,Baptista2019[271-277],
Cape Verdean Sao Vicente,animal,ɐniˈmaɫ,a.ni.mal,ɐ.ni.ˈmaɫ,mal,ˈmaɫ,3,3,3,3,Final,Final,ni,3,ni,3,,animal,animal,Baptista2019[271-277],
Cape Verdean Sao Vicente,bit̠ʃ,biʃu,bi.t̠ʃ,bi.ʃu,bi,bi,2,2,1,1,Initial,Initial,0,t̠ʃ,0,ʃu,,bicho,worm,Baptista2019[271-277],
Cape Verdean Sao Vicente,bit̠ʃ,biʃu,bi.t̠ʃ,bi.ʃu,t̠ʃ,ʃu,2,2,2,2,Final,Final,bi,2,bi,2,,bicho,worm,Baptista2019[271-277],
Cape Verdean Sao Vicente,sinza,ˈsĩzɐ,sin.za,ˈsĩ.zɐ,sin,ˈsĩ,2,2,1,1,Initial,Initial,0,za,0,zɐ,,cinza,ashes,Baptista2019[271-277],
Cape Verdean Sao Vicente,sinza,ˈsĩzɐ,sin.za,ˈsĩ.zɐ,za,zɐ,2,2,2,2,Final,Final,sin,2,ˈsĩ,2,,cinza,ashes,Baptista2019[271-277],
Cape Verdean Sao Vicente,na,nɐ,na,nɐ,na,nɐ,1,1,1,1,Final,Final,0,1,0,1,,na,at,Baptista2019[271-277],
Cape Verdean Sao Vicente,koʃta,ˈkɔʃtɐ,koʃ.ta,ˈkɔʃ.tɐ,koʃ,ˈkɔʃ,2,2,1,1,Initial,Initial,0,ta,0,tɐ,,costa,back,Baptista2019[271-277],
Cape Verdean Sao Vicente,koʃta,ˈkɔʃtɐ,koʃ.ta,ˈkɔʃ.tɐ,ta,tɐ,2,2,2,2,Final,Final,koʃ,2,ˈkɔʃ,2,,costa,back,Baptista2019[271-277],
Cape Verdean Sao Vicente,mau,ˈmaw,mau,ˈmaw,mau,ˈmaw,1,1,1,1,Final,Final,0,1,0,1,,mau,bad,Baptista2019[271-277],
Cape Verdean Sao Vicente,maɾiod,mɐɾiˈadu,ma.ɾi.od,mɐ.ɾiˈa.du,ma,mɐ,3,3,1,1,Initial,Initial,0,ɾi,0,ɾiˈa,,mariado,bad,Baptista2019[271-277],
Cape Verdean Sao Vicente,maɾiod,mɐɾiˈadu,ma.ɾi.od,mɐ.ɾiˈa.du,ɾi,ɾiˈa,3,3,2,2,Medial,Medial,ma,od,mɐ,du,,mariado,bad,Baptista2019[271-277],
Cape Verdean Sao Vicente,maɾiod,mɐɾiˈadu,ma.ɾi.od,mɐ.ɾiˈa.du,od,du,3,3,3,3,Final,Final,ɾi,3,ɾiˈa,3,,mariado,bad,Baptista2019[271-277],
Cape Verdean Sao Vicente,ɾom,,ɾom,,,,1,1,,,#N/A,#N/A,0,,0,,,casca,bark,Baptista2019[271-277],Not of Portuguese origin
Cape Verdean Sao Vicente,puɾke,ˈpuɾkɨ,puɾ.ke,ˈpuɾ.kɨ,puɾ,ˈpuɾ,2,2,1,1,Initial,Initial,0,ke,0,kɨ,,porque,because,Baptista2019[271-277],
