Language,SourceWord,TargetWord,SourceWordSyllable,TargetWordSyylable,TargetSyllable,SourceSyllable,PositionSource,PositionTarget,Process,TargetOrthography,Translation,References,Notes
Fa d’Ambo,ˈaju,ˈaʎu,ˈaju,ˈa.ʎu,ˈa,ˈa,1,1,,alho,garlic,Bandeira2017[366-412],
Fa d’Ambo,ˈaju,ˈaʎu,ˈaju,ˈa.ʎu,ju,ʎu,2,2,,alho,garlic,Bandeira2017[366-412],
Fa d’Ambo,aˈloso,ɐˈʀoʃ,a.ˈlo.so,ɐ.ˈʀoʃ,a,ɐ,1,1,,arroz,rice,Bandeira2017[366-412],
Fa d’Ambo,aˈloso,ɐˈʀoʃ,a.ˈlo.so,ɐ.ˈʀoʃ,ˈlo,ˈʀoʃ,2,2,,arroz,rice,Bandeira2017[366-412],
Fa d’Ambo,aˈloso,ɐˈʀoʃ,a.ˈlo.so,ɐ.ˈʀoʃ,so,-,3,-,,arroz,rice,Bandeira2017[366-412],
Fa d’Ambo,ˈawa,ˈagwɐ,ˈa.wa,ˈa.gwɐ,ˈa,ˈa,1,1,,água,water,Bandeira2017[366-412],
Fa d’Ambo,ˈawa,ˈagwɐ,ˈa.wa,ˈa.gwɐ,wa,gwɐ,2,2,,água,water,Bandeira2017[366-412],
Fa d’Ambo,ˈawaˈdẽt̠ʃi,ˈagwaɾˈdẽtɨ,ˈa.wa.ˈdẽ.t̠ʃi,ˈa.gwaɾ.ˈdẽ.tɨ,ˈa,ˈa,1,1,,aguardente,brandy,Bandeira2017[366-412],
Fa d’Ambo,ˈawaˈdẽt̠ʃi,ˈagwaɾˈdẽtɨ,ˈa.wa.ˈdẽ.t̠ʃi,ˈa.gwaɾ.ˈdẽ.tɨ,wa,gwɐɾ,2,2,,aguardente,brandy,Bandeira2017[366-412],
Fa d’Ambo,ˈawaˈdẽt̠ʃi,ˈagwaɾˈdẽtɨ,ˈa.wa.ˈdẽ.t̠ʃi,ˈa.gwaɾ.ˈdẽ.tɨ,ˈdẽ,ˈdẽ,3,3,,aguardente,brandy,Bandeira2017[366-412],
Fa d’Ambo,ˈawaˈdẽt̠ʃi,ˈagwaɾˈdẽtɨ,ˈa.wa.ˈdẽ.t̠ʃi,ˈa.gwaɾ.ˈdẽ.tɨ,t̠ʃi,tɨ,4,4,,aguardente,brandy,Bandeira2017[366-412],
Fa d’Ambo,baˈnana,bɐˈnɐnɐ,ba.ˈna.na,bɐ.ˈnɐ.nɐ,ba,bɐ,1,1,,banana,banana,Bandeira2017[366-412],
