Language,SourceWord,TargetWord,SourceWordSyllable,TargetWordSyylable,SourceSyllable,TargetSyllable,SourceWordSyl Length,TargetWordSyl Length,PositionSource,PositionTarget,PositionSource Simple,PositionTarget Simple,Previous SourceSyllable,Next SourceSyllable,Previous TargetSyllable,Next TargetSyllable,Process,TargetOrthography,Translation,References,Notes
Fa d’Ambo,ˈaju,ˈaʎu,ˈaju,ˈa.ʎu,ˈa,ˈa,1,2,1,1,Final,Initial,0,ju,0,ʎu,,alho,garlic,Bandeira2017[366-412],
Fa d’Ambo,ˈaju,ˈaʎu,ˈaju,ˈa.ʎu,ʎu,ju,1,2,2,2,Medial,Final,ˈa,2,ˈa,2,,alho,garlic,Bandeira2017[366-412],
Fa d’Ambo,aˈloso,ɐˈʀoʃ,a.ˈlo.so,ɐ.ˈʀoʃ,ɐ,a,3,2,1,1,Initial,Initial,0,ˈlo,0,ˈʀoʃ,,arroz,rice,Bandeira2017[366-412],
Fa d’Ambo,aˈloso,ɐˈʀoʃ,a.ˈlo.so,ɐ.ˈʀoʃ,ˈʀoʃ,ˈlo,3,2,2,2,Medial,Final,a,so,ɐ,-,,arroz,rice,Bandeira2017[366-412],
Fa d’Ambo,aˈloso,ɐˈʀoʃ,a.ˈlo.so,ɐ.ˈʀoʃ,-,so,3,2,3,-,Final,-,ˈlo,3,ˈʀoʃ,-,,arroz,rice,Bandeira2017[366-412],
Fa d’Ambo,ˈawa,ˈagwɐ,ˈa.wa,ˈa.gwɐ,ˈa,ˈa,2,2,1,1,Initial,Initial,0,wa,0,gwɐ,,água,water,Bandeira2017[366-412],
Fa d’Ambo,ˈawa,ˈagwɐ,ˈa.wa,ˈa.gwɐ,gwɐ,wa,2,2,2,2,Final,Final,ˈa,2,ˈa,2,,água,water,Bandeira2017[366-412],
Fa d’Ambo,ˈawaˈdẽt̠ʃi,ˈagwaɾˈdẽtɨ,ˈa.wa.ˈdẽ.t̠ʃi,ˈa.gwaɾ.ˈdẽ.tɨ,ˈa,ˈa,4,4,1,1,Initial,Initial,0,wa,0,gwɐɾ,,aguardente,brandy,Bandeira2017[366-412],
Fa d’Ambo,ˈawaˈdẽt̠ʃi,ˈagwaɾˈdẽtɨ,ˈa.wa.ˈdẽ.t̠ʃi,ˈa.gwaɾ.ˈdẽ.tɨ,gwɐɾ,wa,4,4,2,2,Medial,Medial,ˈa,ˈdẽ,ˈa,ˈdẽ,,aguardente,brandy,Bandeira2017[366-412],
Fa d’Ambo,ˈawaˈdẽt̠ʃi,ˈagwaɾˈdẽtɨ,ˈa.wa.ˈdẽ.t̠ʃi,ˈa.gwaɾ.ˈdẽ.tɨ,ˈdẽ,ˈdẽ,4,4,3,3,Medial,Medial,wa,t̠ʃi,gwɐɾ,tɨ,,aguardente,brandy,Bandeira2017[366-412],
Fa d’Ambo,ˈawaˈdẽt̠ʃi,ˈagwaɾˈdẽtɨ,ˈa.wa.ˈdẽ.t̠ʃi,ˈa.gwaɾ.ˈdẽ.tɨ,tɨ,t̠ʃi,4,4,4,4,Final,Final,ˈdẽ,4,ˈdẽ,4,,aguardente,brandy,Bandeira2017[366-412],
Fa d’Ambo,baˈnana,bɐˈnɐnɐ,ba.ˈna.na,bɐ.ˈnɐ.nɐ,bɐ,ba,3,3,1,1,Initial,Initial,0,ˈna,0,ˈnɐ,,banana,banana,Bandeira2017[366-412],
Fa d’Ambo,baˈnana,bɐˈnɐnɐ,ba.ˈna.na,bɐ.ˈnɐ.nɐ,ˈnɐ,ˈna,3,3,2,2,Medial,Medial,ba,na,bɐ,nɐ,,banana,banana,Bandeira2017[366-412],
Fa d’Ambo,baˈnana,bɐˈnɐnɐ,ba.ˈna.na,bɐ.ˈnɐ.nɐ,nɐ,na,3,3,3,3,Final,Final,ˈna,3,ˈnɐ,3,,banana,banana,Bandeira2017[366-412],
Fa d’Ambo,gɔ:ˈdula,ɡuɾˈduɾɐ,gɔ:.ˈdu.la,ɡuɾ.ˈdu.ɾɐ,ɡuɾ,gɔ:,3,3,1,1,Initial,Initial,0,ˈdu,0,ˈdu,,gordura,fat,Bandeira2017[366-412],
Fa d’Ambo,gɔ:ˈdula,ɡuɾˈduɾɐ,gɔ:.ˈdu.la,ɡuɾ.ˈdu.ɾɐ,ˈdu,ˈdu,3,3,2,2,Medial,Medial,gɔ:,la,ɡuɾ,ɾɐ,,gordura,fat,Bandeira2017[366-412],
Fa d’Ambo,gɔ:ˈdula,ɡuɾˈduɾɐ,gɔ:.ˈdu.la,ɡuɾ.ˈdu.ɾɐ,ɾɐ,la,3,3,3,3,Final,Final,ˈdu,3,ˈdu,3,,gordura,fat,Bandeira2017[366-412],
Fa d’Ambo,faˈĩa,fɐˈɾiɲɐ,fa.ˈĩ.a,fɐ.ˈɾi.ɲɐ,fɐ,fa,3,3,1,1,Initial,Initial,0,ĩ,0,ɾi,,farinha,flour,Bandeira2017[366-412],
Fa d’Ambo,faˈĩa,fɐˈɾiɲɐ,fa.ˈĩ.a,fɐ.ˈɾi.ɲɐ,ɾi,ĩ,3,3,2,2,Medial,Medial,fa,a,fɐ,ɲɐ,,farinha,flour,Bandeira2017[366-412],
Fa d’Ambo,faˈĩa,fɐˈɾiɲɐ,fa.ˈĩ.a,fɐ.ˈɾi.ɲɐ,ɲɐ,a,3,3,3,3,Final,Final,ĩ,3,ɾi,3,,farinha,flour,Bandeira2017[366-412],
Fa d’Ambo,feˈzɐ̃,fɐjˈʒɐ̃w̃,fe.ˈzɐ̃,fɐj.ˈʒɐ̃w̃,fɐj,fe,2,2,1,1,Initial,Initial,0,zɐ̃,0,ˈʒɐ̃w̃,,feijão,bean,Bandeira2017[366-412],
Fa d’Ambo,feˈzɐ̃,fɐjˈʒɐ̃w̃,fe.ˈzɐ̃,fɐj.ˈʒɐ̃w̃,ˈʒɐ̃w̃,zɐ̃,2,2,2,2,Final,Final,fe,2,fɐj,2,,feijão,bean,Bandeira2017[366-412],
Fa d’Ambo,xa:daˈlɐ̃,kaɫdejˈɾadɐ,xa:.da.ˈlɐ̃,kaɫ.dɐj.ˈɾa.dɐ,kaɫ,xa:,3,4,1,1,Initial,Initial,0,da,0,dɐj,,caldeirada,fish stew,Bandeira2017[366-412],
Fa d’Ambo,xa:daˈlɐ̃,kaɫdejˈɾadɐ,xa:.da.ˈlɐ̃,kaɫ.dɐj.ˈɾa.dɐ,dɐj,da,3,4,2,2,Medial,Medial,xa:,lɐ̃,kaɫ,ɾa,,caldeirada,fish stew,Bandeira2017[366-412],
Fa d’Ambo,xa:daˈlɐ̃,kaɫdejˈɾadɐ,xa:.da.ˈlɐ̃,kaɫ.dɐj.ˈɾa.dɐ,ɾa,lɐ̃,3,4,3,3,Final,Medial,da,-,dɐj,dɐj,,caldeirada,fish stew,Bandeira2017[366-412],
Fa d’Ambo,xa:daˈlɐ̃,kaɫdejˈɾadɐ,xa:.da.ˈlɐ̃,kaɫ.dɐj.ˈɾa.dɐ,dɐj,-,3,4,-,4,-,Final,lɐ̃,-,ɾa,4,,caldeirada,fish stew,Bandeira2017[366-412],
Fa d’Ambo,xaˈna,ˈkɐnɐ,xa.ˈna,ˈkɐ.nɐ,ˈkɐ,xa,2,2,1,1,Initial,Initial,0,ˈna,0,nɐ,,cana,sugarcane,Bandeira2017[366-412],
Fa d’Ambo,xaˈna,ˈkɐnɐ,xa.ˈna,ˈkɐ.nɐ,nɐ,ˈna,2,2,2,2,Final,Final,xa,2,ˈkɐ,2,,cana,sugarcane,Bandeira2017[366-412],
Fa d’Ambo,ˈxa:ni,ˈkaɾnɨ,ˈxa:.ni,ˈkaɾ.nɨ,ˈkaɾ,ˈxa:,2,2,1,1,Initial,Initial,0,ni,0,nɨ,,carne,meat,Bandeira2017[366-412],
Fa d’Ambo,ˈxa:ni,ˈkaɾnɨ,ˈxa:.ni,ˈkaɾ.nɨ,nɨ,ni,2,2,2,2,Final,Final,ˈxa:,2,ˈkaɾ,2,,carne,meat,Bandeira2017[366-412],
Fa d’Ambo,ˈlete,ˈlɐjtɨ,ˈle.te,ˈlɐj.tɨ,ˈlɐj,ˈle,2,2,1,1,Initial,Initial,0,te,0,tɨ,,leite,milk,Bandeira2017[366-412],
Fa d’Ambo,ˈlete,ˈlɐjtɨ,ˈle.te,ˈlɐj.tɨ,tɨ,te,2,2,2,2,Final,Final,ˈle,2,ˈlɐj,2,,leite,milk,Bandeira2017[366-412],
Fa d’Ambo,mɐ̃ˈmɐ̃,mɐˈmɐ̃w̃,mɐ̃.ˈmɐ̃,mɐ.ˈmɐ̃w̃,mɐ,mɐ̃,2,2,1,1,Initial,Initial,0,ˈmɐ̃,0,ˈmɐ̃w̃,,mamão,papaya,Bandeira2017[366-412],
Fa d’Ambo,mɐ̃ˈmɐ̃,mɐˈmɐ̃w̃,mɐ̃.ˈmɐ̃,mɐ.ˈmɐ̃w̃,ˈmɐ̃w̃,ˈmɐ̃,2,2,2,2,Final,Final,mɐ̃,2,mɐ,2,,mamão,papaya,Bandeira2017[366-412],
Fa d’Ambo,mɐ̃ˈd̠ʒoxa,mɐ̃diˈɔkɐ,mɐ̃.ˈd̠ʒo.xa,mɐ̃.di.ˈɔ.kɐ,mɐ̃,mɐ̃,3,4,1,1,Initial,Initial,0,d̠ʒo,0,di,,mandioca,manjoka,Bandeira2017[366-412],
Fa d’Ambo,mɐ̃ˈd̠ʒoxa,mɐ̃diˈɔkɐ,mɐ̃.ˈd̠ʒo.xa,mɐ̃.di.ˈɔ.kɐ,di,d̠ʒo,3,4,2,2,Medial,Medial,mɐ̃,-,mɐ̃,ˈɔ,,mandioca,manjoka,Bandeira2017[366-412],
Fa d’Ambo,mɐ̃ˈd̠ʒoxa,mɐ̃diˈɔkɐ,mɐ̃.ˈd̠ʒo.xa,mɐ̃.di.ˈɔ.kɐ,ˈɔ,-,3,4,-,3,-,Medial,d̠ʒo,xa,di,kɐ,,mandioca,manjoka,Bandeira2017[366-412],
Fa d’Ambo,mɐ̃ˈd̠ʒoxa,mɐ̃diˈɔkɐ,mɐ̃.ˈd̠ʒo.xa,mɐ̃.di.ˈɔ.kɐ,kɐ,xa,3,4,3,4,Final,Final,-,3,ˈɔ,4,,mandioca,manjoka,Bandeira2017[366-412],
Fa d’Ambo,ˈmɛlɛ,ˈmɛɫ,ˈmɛ.lɛ,ˈmɛɫ,ˈmɛɫ,ˈmɛ,2,1,1,1,Initial,Final,0,lɛ,0,-,,mel,honey,Bandeira2017[366-412],
Fa d’Ambo,ˈmɛlɛ,ˈmɛɫ,ˈmɛ.lɛ,ˈmɛɫ,-,lɛ,2,1,2,-,Final,-,ˈmɛ,2,ˈmɛɫ,-,,mel,honey,Bandeira2017[366-412],
