Language,SourceWord,TargetWord,SourceWordSyllable,TargetWordSyylable,TargetOrthography,Translation,SourceWword Length,TargetWord Length,SourceWordSyl Length, TargetWordSyl Length,Word difference,word bigger,Syl difference ,Syl bigger
Fa d’Ambo,ˈaju,ˈaʎu,ˈaju,ˈa.ʎu,alho,garlic,3,3,1,2,0,Equal,-1,Target
Fa d’Ambo,aˈloso,ɐˈʀoʃ,a.ˈlo.so,ɐ.ˈʀoʃ,arroz,rice,5,4,3,2,1,Source,1,Source
Fa d’Ambo,ˈawa,ˈagwɐ,ˈa.wa,ˈa.gwɐ,água,water,3,4,2,2,-1,Target,0,Equal
Fa d’Ambo,ˈawaˈdẽt̠ʃi,ˈagwaɾˈdẽtɨ,ˈa.wa.ˈdẽ.t̠ʃi,ˈa.gwaɾ.ˈdẽ.tɨ,aguardente,brandy,8,10,4,4,-2,Target,0,Equal
Fa d’Ambo,baˈnana,bɐˈnɐnɐ,ba.ˈna.na,bɐ.ˈnɐ.nɐ,banana,banana,6,6,3,3,0,Equal,0,Equal
Fa d’Ambo,gɔ:ˈdula,ɡuɾˈduɾɐ,gɔ:.ˈdu.la,ɡuɾ.ˈdu.ɾɐ,gordura,fat,7,7,3,3,0,Equal,0,Equal
Fa d’Ambo,faˈĩa,fɐˈɾiɲɐ,fa.ˈĩ.a,fɐ.ˈɾi.ɲɐ,farinha,flour,5,6,3,3,-1,Target,0,Equal
Fa d’Ambo,feˈzɐ̃,fɐjˈʒɐ̃w̃,fe.ˈzɐ̃,fɐj.ˈʒɐ̃w̃,feijão,bean,5,7,2,2,-2,Target,0,Equal
Fa d’Ambo,xa:daˈlɐ̃,kaɫdejˈɾadɐ,xa:.da.ˈlɐ̃,kaɫ.dɐj.ˈɾa.dɐ,caldeirada,fish stew,8,10,3,4,-2,Target,-1,Target
Fa d’Ambo,xaˈna,ˈkɐnɐ,xa.ˈna,ˈkɐ.nɐ,cana,sugarcane,4,4,2,2,0,Equal,0,Equal
Fa d’Ambo,ˈxa:ni,ˈkaɾnɨ,ˈxa:.ni,ˈkaɾ.nɨ,carne,meat,5,5,2,2,0,Equal,0,Equal
Fa d’Ambo,ˈlete,ˈlɐjtɨ,ˈle.te,ˈlɐj.tɨ,leite,milk,4,5,2,2,-1,Target,0,Equal
Fa d’Ambo,mɐ̃ˈmɐ̃,mɐˈmɐ̃w̃,mɐ̃.ˈmɐ̃,mɐ.ˈmɐ̃w̃,mamão,papaya,6,6,2,2,0,Equal,0,Equal
Fa d’Ambo,mɐ̃ˈd̠ʒoxa,mɐ̃diˈɔkɐ,mɐ̃.ˈd̠ʒo.xa,mɐ̃.di.ˈɔ.kɐ,mandioca,manjoka,7,8,3,4,-1,Target,-1,Target
Fa d’Ambo,ˈmɛlɛ,ˈmɛɫ,ˈmɛ.lɛ,ˈmɛɫ,mel,honey,4,3,2,1,1,Source,1,Source
Fa d’Ambo,ˈmoj,ˈmoʎu,ˈmoj,ˈmo.ʎu,molho,bunch,3,4,1,2,-1,Target,-1,Target
Fa d’Ambo,ˈna:d̠ʒi,ɐbɐkɐˈʃi,ˈna:.d̠ʒi,ɐ.bɐ.kɐ.ˈʃi,abacaxi,pineapple,5,7,2,4,-2,Target,-2,Target
Fa d’Ambo,ˈɔvu,ˈovu,ˈɔ.vu,ˈo.vu,ovo,egg,3,3,2,2,0,Equal,0,Equal
Fa d’Ambo,ˈpɐ̃,ˈpɐ̃w̃,ˈpɐ̃,ˈpɐ̃w̃,pão,bread,3,4,1,1,-1,Target,0,Equal
Fa d’Ambo,ˈsalu,ˈsaɫ,ˈsa.lu,ˈsaɫ,sal,salt,4,3,2,1,1,Source,1,Source
Fa d’Ambo,ˈsukulu,ɐˈsukaɾ,ˈsu.ku.lu,ɐ.ˈsu.kaɾ,açúcar,sugar,6,6,3,3,0,Equal,0,Equal
Fa d’Ambo,ˈtiligu,ˈtɾigu,ˈti.li.gu,ˈtɾi.gu,trigo,wheat,6,5,3,2,1,Source,1,Source
Fa d’Ambo,ˈzete,ɐˈzɐjtɨ,ˈze.te,ɐ.ˈzɐj.tɨ,azeite,olive oil,4,6,2,3,-2,Target,-1,Target
Fa d’Ambo,ˈaza,ˈazɐ,ˈa.za,ˈa.zɐ,asa,wing,3,3,2,2,0,Equal,0,Equal
Fa d’Ambo,ˈxama,ɨʃˈkɐmɐ,ˈxa.ma,ɨʃ.ˈkɐ.mɐ,escama de peixe,fish scale,4,6,2,3,-2,Target,-1,Target
Fa d’Ambo,ˈxõ,ˈkoɾnu,ˈxõ,ˈkoɾ.nu,corno,horn,2,5,1,2,-3,Target,-1,Target
Fa d’Ambo,ˈlabu,ˈʀabu,ˈla.bu,ˈʀa.bu,rabo,tail,4,4,2,2,0,Equal,0,Equal
Fa d’Ambo,ˈawad̠ʒiˈbɔxa,ˈagwɐ.dɨ.ˈbokɐ,ˈa.wa.d̠ʒi.ˈbɔ.xa,ˈa.gwɐ.dɨˈbo.kɐ,água de boca,saliva,9,12,5,4,-3,Target,1,Source
Fa d’Ambo,ˈbɛga,bɐˈʀigɐ,ˈbɛ.ga,bɐ.ˈʀi.gɐ,barriga,belly,4,6,2,3,-2,Target,-1,Target
Fa d’Ambo,biˈgɔd̠ʒi,biˈgɔdi,biˈ.gɔ.d̠ʒi,bi.ˈgɔ.di,bigode,mustache,6,6,3,3,0,Equal,0,Equal
Fa d’Ambo,ˈba:su,ˈbɾasu,ˈba:.su,ˈbɾa.su,braço,arm,5,5,2,2,0,Equal,0,Equal
Fa d’Ambo,ˈboxa,ˈbokɐ,ˈbo.xa,ˈbo.kɐ,boca,mouth,4,4,2,2,0,Equal,0,Equal
Fa d’Ambo,ˈdẽnt̠ʃi,ˈdẽtɨ,ˈdẽn.t̠ʃi,ˈdẽ.tɨ,dente,tooth,6,5,2,2,1,Source,0,Equal
Fa d’Ambo,ˈfugudu,ˈfiɡɐdu,ˈfu.gu.du,ˈfi.ɡɐ.du,fígado,liver,6,6,3,3,0,Equal,0,Equal
Fa d’Ambo,xaˈbɛlu,kɐˈbelu,xa.ˈbɛ.lu,kɐ.ˈbe.lu,cabelo,hair,6,6,3,3,0,Equal,0,Equal
Fa d’Ambo,xaˈbɛsa,kɐˈbesɐ,xa.ˈbɛ.sa,kɐ.ˈbe.sɐ,cabeça,head,6,6,3,3,0,Equal,0,Equal
Fa d’Ambo,xo:ˈxoso,pɨʃˈkosu,xo:.ˈxo.so,pɨʃ.ˈko.su,pescoço,neck,7,7,3,3,0,Equal,0,Equal
Fa d’Ambo,ku:ˈsɐ̃,kuɾɐˈsɐ̃w̃,ku:.ˈsɐ̃,ku.ɾɐ.ˈsɐ̃w̃,coração,heart,6,8,2,3,-2,Target,-1,Target
Fa d’Ambo,ˈlũŋga,ˈlĩɡuɐ,ˈlũŋ.ga,ˈlĩ.ɡwɐ,língua,tongue,6,5,2,2,1,Source,0,Equal
Fa d’Ambo,ˈmama,ˈmɐmɐ,ˈma.ma,ˈmɐ.mɐ,mama,bosom,4,4,2,2,0,Equal,0,Equal
Fa d’Ambo,oˈmɐ̃,ˈmɐ̃w̃,o.ˈmɐ̃,ˈmɐ̃w̃,mão,mão,4,4,2,1,0,Equal,1,Source
Fa d’Ambo,ɔˈpɛ,ˈpɛ,ɔ.ˈpɛ,ˈpɛ,pé,"foot, leg",3,2,2,1,1,Source,1,Source
Fa d’Ambo,ɔˈlɛa,ɔˈɾɐʎa,ɔ.ˈlɛ.a,ɔ.ˈɾɐ.ʎa,orelha,ear,4,5,3,3,-1,Target,0,Equal
Fa d’Ambo,ˈɔsɔ,ˈosu,ˈɔ.sɔ,ˈo.su,osso,bone,3,3,2,2,0,Equal,0,Equal
Fa d’Ambo,oˈzojo,ʒuˈɐʎu,o.ˈzo.jo,ʒu.ˈɐ.ʎu,joelho,knee,5,5,3,3,0,Equal,0,Equal
Fa d’Ambo,ˈpɛli,ˈpɛlɨ,ˈpɛ.li,ˈpɛ.lɨ,pele,skin,4,4,2,2,0,Equal,0,Equal
