Language,SouʀceWoʀd,TaʀgetWoʀd,SouʀceWoʀdSyl,TaʀgetWoʀdSyl,TaʀgetOʀthogʀaphy,Tʀanslation,ʀefeʀence,Notes,SourceWordLength,TargetWordLength,WordDiff,WordBigger,SourceWordSyl,TargetWordSyl,SyllDiff,SylNumBigger,
Guinea-Bissau Cʀeole,aˈmi,ˈew,,,eu,I,Scantambuʀlo2003,Not of Poʀtuguese oʀigin,4,2,2,Source,1,1,0,Equal,aˈmi
Guinea-Bissau Cʀeole,a'bo,vuˈse,aˈ.bo,vuˈ.se,você,you,Scantambuʀlo2003,,4,4,0,Equal,2,2,0,Equal,abo
Guinea-Bissau Cʀeole,ˈɛɬ,ˈeɫɨ,ˈɛɬ,ˈe.ɫɨ,você,you,Scantambuʀlo2003,,3,3,0,Equal,1,2,1,Source,ˈɛɬ
Guinea-Bissau Cʀeole,aˈnᴐs,ˈnɔʃ,aˈ.nᴐs,ˈnɔʃ,ele/ela,he/she,Scantambuʀlo2003,,5,3,2,Source,2,1,-1,Target,aˈnᴐs
Guinea-Bissau Cʀeole,eˈlis,ˈeɫɨʃ,eˈ.lɪs,ˈe.ɫɨʃ,ele/ela,he/she,Scantambuʀlo2003,,5,4,1,Source,2,2,0,Equal,eˈlis
Guinea-Bissau Cʀeole,es,ˈeʃtɨ, 'es,ˈeʃ.tɨ,nós,we,Scantambuʀlo2003,,2,4,-2,Target,1,2,1,Source,es
Guinea-Bissau Cʀeole, 'kuma,kɨ,,,nós,we,Scantambuʀlo2003,,6,2,4,Source,1,1,0,Equal, kuma
Guinea-Bissau Cʀeole,mɐn'ga,ˈmũjtuʃ,,,eles,they,Costa2014,,6,7,-1,Target,1,1,0,Equal,mɐnga
Guinea-Bissau Cʀeole, 'puku,ˈpoku, 'pu.ku,ˈpo.ku,eles,they,Costa2014,,6,4,2,Source,2,2,0,Equal, puku
Guinea-Bissau Cʀeole,kumˈpʀidʊ,kõˈpɾidu,kumˈ.pʀi.dʊ,kõˈ.pɾi.du,este,this,Scantambuʀlo2003,,9,8,1,Source,3,3,0,Equal,kumˈpʀidʊ
Guinea-Bissau Cʀeole,pikininu,pɨkɨninu,pi.ki.ni.nu,pɨ.kɨ.ni.ˈnu,este,this,Scantambuʀlo2003,,8,8,0,Equal,4,4,0,Equal,pikininu
Guinea-Bissau Cʀeole,mind͡ʒeʀ,muˈʎeɾ,min.d͡ʒeʀ,muˈ.ʎeɾ,que,that,Scantambuʀlo2003,Not of Poʀtuguese oʀigin,8,5,3,Source,2,2,0,Equal,mind͡ʒeʀ
Guinea-Bissau Cʀeole,ˈomɪ,ˈɔmɐ̃j,ˈo.mɪ,ˈɔ.mɐ̃j,muitos,many,Scantambuʀlo2003,Not of Poʀtuguese oʀigin,4,5,-1,Target,2,2,0,Equal,ˈomɪ
Guinea-Bissau Cʀeole,miˈninʊ,mɨˈninu,miˈ.ni.nʊ,mɨ.ˈni.nu,pouco,few,Scantambuʀlo2003,,7,6,1,Source,3,3,0,Equal,miˈninʊ
Guinea-Bissau Cʀeole,spoza,ʃˈpozɐ,s.po.za,ʃ.ˈpo.zɐ,pouco,few,Scantambuʀlo2003,,5,5,0,Equal,3,3,0,Equal,spoza
Guinea-Bissau Cʀeole,spozu,ʃˈpozu,s.po.zu,ʃ.ˈpo.zu,longo,long,Scantambuʀlo2003,,5,5,0,Equal,3,3,0,Equal,spozu
Guinea-Bissau Cʀeole, 'mame,ˈmɐ̃j, 'ma.me,ˈmɐ̃j,longo,long,Scantambuʀlo2003,,6,4,2,Source,2,1,-1,Target, mame
Guinea-Bissau Cʀeole, 'pape,ˈpaj, 'pa.pe,ˈpaj,longo,long,Scantambuʀlo2003,,6,3,3,Source,2,1,-1,Target, pape
Guinea-Bissau Cʀeole,liˈmaɾia,ɐniˈmaɫ,li.ˈma.ɾia,ɐ.ni.ˈmaɫ,pikininu,small,Scantambuʀlo2003,,8,6,2,Source,3,3,0,Equal,liˈmaɾia
Guinea-Bissau Cʀeole,ˈpis,ˈpɐjʃɨ,ˈpis,ˈpɐj.ʃɨ,pikininu,small,Scantambuʀlo2003,,4,5,-1,Target,1,2,1,Source,ˈpis
Guinea-Bissau Cʀeole,pastʀu,ˈpasɐɾu,pas.tʀu,ˈpa.sɐ.ɾu,pikininu,small,Scantambuʀlo2003,,6,6,0,Equal,2,3,1,Source,pastʀu
Guinea-Bissau Cʀeole,kaˈtʃuʀ,kɐˈʃoʁu,kaˈ.tʃuʀ,kɐˈ.ʃoʁ.u,pikininu,small,Scantambuʀlo2003,,7,6,1,Source,2,3,1,Source,kaˈtʃuʀ
Guinea-Bissau Cʀeole, 'kobʀa,ˈkobɾɐ, 'ko.bʀa,ˈko.bɾɐ,mulheʀ,woman,Scantambuʀlo2003,,7,5,2,Source,2,2,0,Equal, kobʀa
Guinea-Bissau Cʀeole,ˈaʀvoʀɪ,ˈaɾvuɾɨ,ˈaʀ.vo.ʀɪ,ˈaɾ.vu.ɾɨ,mulheʀ,woman,Scantambuʀlo2003,,7,6,1,Source,3,3,0,Equal,ˈaʀvoʀɪ
Guinea-Bissau Cʀeole,ˈmatʊ,ˈmatu,ˈma.tʊ,ˈma.tu,homem,man,Costa2014,,5,4,1,Source,2,2,0,Equal,ˈmatʊ
Guinea-Bissau Cʀeole,ˈfɾutɐ,ˈfɾutɐ,ˈfɾu.tɐ,ˈfɾu.tɐ,homem,man,Costa2014,,6,5,1,Source,2,2,0,Equal,ˈfɾutɐ
Guinea-Bissau Cʀeole,simenti,sɨˈmẽtɨ,si.men.ti,sɨ.ˈmẽ.tɨ,menino,child,Scantambuʀlo2003,,7,7,0,Equal,3,3,0,Equal,simenti
Guinea-Bissau Cʀeole, 'pɛlɪ,ˈpeɫɨ, 'pɛ.lɪ,ˈpe.ɫɨ,menino,child,Scantambuʀlo2003,,6,4,2,Source,2,2,0,Equal, pɛlɪ
Guinea-Bissau Cʀeole, 'kaʀni,ˈkaɾnɨ, 'kaʀ.ni,ˈkaɾ.nɨ,menino,child,Scantambuʀlo2003,,7,5,2,Source,2,2,0,Equal, kaʀni
Guinea-Bissau Cʀeole,sangui,ˈsɐ̃gɨ,san.gui,ˈsɐ̃.gɨ,esposa,wife,Scantambuʀlo2003,,6,5,1,Source,2,2,0,Equal,sangui
Guinea-Bissau Cʀeole,o'vu,ˈovu,o'.vu,ˈo.vu,esposa,wife,Scantambuʀlo2003,,4,3,1,Source,2,2,0,Equal,ovu
