Language,SourceWord,TargetWord,SourceWordSyl,TargetWordSyl,SourceSyllable,TargetSyllable,SourceWordSyl,TargetWordSyl,SourceWordLength,TargetWordLength,SourceWordSylLength,TargetWordSylLength,WordDiff,WordBigger,SyllDiff,SylNumBigger,PositionSource,PositionTarget,SimplePositionSource,SimplePositionTarget,Process,TargetOrthography,Translation,Reference,Notes
Casamancese,bo,vuˈse,bo,vu.ˈse,bo,vu,1,2,2,4,1,2,-2,Target,-1,Target,1,1,Medial,Medial,Qual é o processo de /v/ para /b/?,você,"thou, you",Biagui2012[129],
Casamancese,jel,ˈeɫɨ,jel,ˈe.ɫɨ,jel,ˈe,1,2,3,3,1,2,0,Equal,-1,Target,1,1,Medial,Medial,prothesis,ele,he,Biagui2012[129],
Casamancese,nos,ˈnɔʃ,nos,ˈnɔʃ,nos,ˈnɔʃ,1,1,3,3,1,1,0,Equal,0,Equal,1,1,Medial,Medial,,nós,we,Biagui2012[129],
Casamancese,bos,vuˈseʃ,bos,vu.ˈseʃ,bos,vu,1,2,3,5,1,2,-2,Target,-1,Target,1,1,Medial,Medial,Qual é o processo de /v/ para /b/?,vocês,"ye, you",Biagui2012[129],
Casamancese,ˈjelus,ˈeɫɨʃ,ˈje.lus,ˈe.ɫɨʃ,ˈje,ˈe,2,2,5,4,2,2,1,Source,0,Equal,1,1,Medial,Medial,prothesis,eles,they,Biagui2012[129],
Casamancese,li,ɐˈki,li,ɐ.ˈki,li,ɐ,1,2,2,3,1,2,-1,Target,-1,Target,1,1,Medial,Medial,aphaeresis,aqui,here,Biagui2012[258],
Casamancese,la,ˈɫa,la,ˈɫa,la,ˈɫa,1,1,2,2,1,1,0,Equal,0,Equal,1,1,Medial,Medial,,lá,there,Biagui2012[258],
Casamancese,ki,kɐ̃j,ki,kɐ̃j,ki,kɐ̃j,1,1,2,4,1,1,-2,Target,0,Equal,1,1,Medial,Medial,Há processo? Qual?,quem,who,Biagui2012[29],
Casamancese,ku'ma,ˈkomu,ku.'ma,ˈko.mu,ku,ˈko,2,2,5,4,2,2,1,Source,0,Equal,1,1,Medial,Medial,,como,how,Biagui2012[287],
Casamancese,ˈtudu,ˈtudu,ˈtu.du,ˈtu.du,ˈtu,ˈtu,2,2,4,4,2,2,0,Equal,0,Equal,1,1,Medial,Medial,,tudo,all,Biagui2012[151],
Casamancese,mboˈkadu,buˈkadu,mbo.ˈka.du,bu.ˈka.du,mbo,bu,3,3,6,6,3,3,0,Equal,0,Equal,1,1,Medial,Medial,prothesis,"bocado, pouco",few,Biagui2012[117],
Casamancese,ˈwutur,ˈotɾu,ˈwu.tur,ˈo.tɾu,ˈwu,ˈo,2,2,5,4,2,2,1,Source,0,Equal,1,1,Medial,Medial,prothesis,outro,other,Biagui2012[151],
Casamancese,unˈsoɲ,ˈũ,un.ˈsoɲ,ˈũ,ˈũ,un,2,1,5,2,2,1,3,Source,1,Source,1,1,Medial,Medial,,um,one,Biagui2012[239],
Casamancese,dos,ˈdojʃ,dos,ˈdojʃ,dos,ˈdojʃ,1,1,3,4,1,1,-1,Target,0,Equal,1,1,Medial,Medial,,dois,two,Biagui2012[239],
Casamancese,tres,ˈtɾeʃ,tres,ˈtɾeʃ,tres,ˈtɾeʃ,1,1,4,4,1,1,0,Equal,0,Equal,1,1,Medial,Medial,,três,three,Biagui2012[239],
Casamancese,ˈkwatur,ˈkwatɾu,ˈkwa.tur,ˈkwa.tɾu,ˈkwa,ˈkwa,2,2,6,6,2,2,0,Equal,0,Equal,1,1,Medial,Medial,,quatro,four,Biagui2012[239],
Casamancese,ˈsiɲku,ˈsĩku,ˈsi.ɲku,ˈsĩ.ku,ˈsi,ˈsĩ,2,2,5,5,2,2,0,Equal,0,Equal,1,1,Medial,Medial,,cinco,five,Biagui2012[239],
Casamancese,gaˈrandi,ˈgɾɐ̃dɨ,ga.ˈra.ndi,ˈgɾɐ̃.dɨ,ga,ˈgɾɐ̃,3,2,7,6,3,2,1,Source,1,Source,1,1,Medial,Medial,,grande,big,Biagui2012[344],
Casamancese,kumˈpridu,kõˈpɾidu,kum.ˈpri.du,kõ.ˈpɾi.du,kum,kõ,3,3,8,8,3,3,0,Equal,0,Equal,1,1,Medial,Medial,,"comprido, longo",long,Biagui2012[349],
Casamancese,ˈlargu,ˈɫaɾgu,ˈlar.gu,ˈɫaɾ.gu,ˈlar,ˈɫaɾ,2,2,5,5,2,2,0,Equal,0,Equal,1,1,Medial,Medial,,"largo, amplo",wide,Biagui2012[353],
Casamancese,ˈgros,ˈgɾosu,ˈgros,ˈgɾo.su,ˈgros,ˈgɾo,1,2,4,5,1,2,-1,Target,-1,Target,1,1,Medial,Medial,,"grosso, espesso",thick,Biagui2012[40],
Casamancese,piˈsadu,pɨˈzadu,pi.ˈsa.du,pɨ.ˈza.du,pi,pɨ,3,3,6,6,3,3,0,Equal,0,Equal,1,1,Medial,Medial,,pesado,heavy,Biagui2012[339],
Casamancese,pikiˈninu,pɨˈkenu,pi.ki.ˈni.nu,pɨ.ˈke.nu,pi,pɨ,4,3,8,6,4,3,2,Source,1,Source,1,1,Medial,Medial,,pequeno,small,Biagui2012[345],
Casamancese,ˈkurtu,ˈkuɾtu,ˈkur.tu,ˈkuɾ.tu,ˈkuɾ,ˈkuɾ,2,2,5,5,2,2,0,Equal,0,Equal,1,1,Medial,Medial,,curto,short,Biagui2012[207],
Casamancese,ˈmágur,ˈmagɾu,ˈmá.gur,ˈma.gɾu,ˈmá,ˈma,2,2,5,5,2,2,0,Equal,0,Equal,1,1,Medial,Medial,,magro,thin,Biagui2012[349],
Casamancese,miˈɲɟer,muˈʎeɾ,mi.ˈɲɟer,mu.ˈʎeɾ,mi,mu,2,2,6,5,2,2,1,Source,0,Equal,1,1,Medial,Medial,,mulher,woman,Biagui2012[83],
Casamancese,ˈwomi,ˈomɐ̃j,ˈwo.mi,ˈo.mɐ̃j,ˈwo,ˈo,2,2,4,5,2,2,-1,Target,0,Equal,1,1,Medial,Medial,prothesis,homem,man,Biagui2012[20],
Casamancese,maj,ˈmɐ̃j,maj,ˈmɐ̃j,maj,ˈmɐ̃j,1,1,3,4,1,1,-1,Target,0,Equal,1,1,Medial,Medial,,mãe,mother,Biagui2012[83],
Casamancese,paˈpɛ,ˈpaj,pa.ˈpɛ,ˈpaj,pa,ˈpaj,2,1,4,3,2,1,1,Source,1,Source,1,1,Medial,Medial,,pai,father,Biagui2012[83],
Casamancese,pis,ˈpɐjʃɨ,pis,ˈpɐj.ʃɨ,pis,ˈpɐj,1,2,3,5,1,2,-2,Target,-1,Target,1,1,Medial,Medial,,peixe,fish,Biagui2012[134],
