Language,SourceWord,SourceWord CV,TargetWord,SourceWordSyl,TargetWordSyl,SourceSyllabe,TargetSyllabe,PositionSource,PositionTarget,Process,TargetOrthopraphy,Translation,Reference,Notes
Sri Lanka Portuguese,tudu,CV.CV,ˈtudu,tu.du,ˈtu.du,tu,ˈtu,1,1,,todo/tudo,all,Clements2012[37-41],
Sri Lanka Portuguese,tudu,CV.CV,ˈtudu,tu.du,ˈtu.du,du,du,2,2,,todo/tudo,all,Clements2012[37-41],
Sri Lanka Portuguese,kum,CVC ,i,kum,i,kum,i,1,1,,e,and,Clements2012[37-41],
Sri Lanka Portuguese,anima:l,V.CV.CVC,ɐniˈmaɫ,a.ni.ma:l,ɐ.ni.ˈmaɫ,a,ɐ,1,1,,animal,animal,Clements2012[37-41],
Sri Lanka Portuguese,anima:l,V.CV.CVC,ɐniˈmaɫ,a.ni.ma:l,ɐ.ni.ˈmaɫ,ni,ni,2,2,,animal,animal,Clements2012[37-41],
Sri Lanka Portuguese,anima:l,V.CV.CVC,ɐniˈmaɫ,a.ni.ma:l,ɐ.ni.ˈmaɫ,ma:l,ˈmaɫ,3,3,,animal,animal,Clements2012[37-41],
Sri Lanka Portuguese,si:nza,CVC.CV,ˈsĩzɐ,si:n.za,ˈsĩ.zɐ,si:n,ˈsĩ,1,1,,cinza,ashes,Clements2012[37-41],
Sri Lanka Portuguese,si:nza,CVC.CV,ˈsĩzɐ,si:n.za,ˈsĩ.zɐ,za,zɐ,2,2,,cinza,ashes,Clements2012[37-41],
Sri Lanka Portuguese,ntu,CCV,ˈdẽtɾu,ntu,ˈdẽ.tɾu,ntu,dẽ,1,1,,dentro,at,Clements2012[37-41],
Sri Lanka Portuguese,ntu,CCV,ˈdẽtɾu,ntu,ˈdẽ.tɾu,-,tɾu,-,2,,dentro,at,Clements2012[37-41],
