SourceWord,TargetWord,SourceWordSyl,TargetWordSyl,TargetOrthopraphy,Translation,Reference,Notes,NumberSylSource,NumberSylTarget,TemplateSylSource,TemplateSylTarget,SourceWordLength,TargetWordLength,WordDiff,WordBigger,SourceWordSyl,TargetWordSyl,SylDiff,SylBigger
tudu,ˈtudu,tu.du,ˈtu.du,todo/tudo,all,Clements2012[37-41],,,,,,4,4,0,Equal,2,2,0,Equal
kum,i,kum,i,e,and,Clements2012[37-41],,,,,,3,1,2,Source,1,1,0,Equal
anima:l,ɐniˈmaɫ,a.ni.ma:l,ɐ.ni.ˈmaɫ,animal,animal,Clements2012[37-41],,,,,,7,6,1,Source,3,3,0,Equal
si:nza,ˈsĩzɐ,si:n.za,ˈsĩ.zɐ,cinza,ashes,Clements2012[37-41],,,,,,6,4,2,Source,2,2,0,Equal
ntu,ˈdẽtɾu,ntu,ˈdẽ.tɾu,em,at,Clements2012[37-41],,,,,,3,6,-3,Target,1,2,-1,Target
kɔ:sta,ˈkɔʃtɐ,kɔ:s.ta,ˈkɔʃ.tɐ,costa,back,Clements2012[37-41],,,,,,6,5,1,Source,2,2,0,Equal
ma:l,ˈmal,ma:l,ˈmal,mal,bad,Clements2012[37-41],,,,,,4,3,1,Source,1,1,0,Equal
bɔlfa,buˈfaɾ,bɔl.fa,bu.ˈfaɾ,bofar,bark (v.),Clements2012[37-41],,,,,,5,5,0,Equal,2,2,0,Equal
paːʈa,,pa:.ʈa,,casca (?),bark (tree),Clements2012[37-41],,,,,,5,0,,,2,,,
ki:pa se:,puɾkɨ,ki:.pa se:,puɾ.kɨ,porque,because,Clements2012[37-41],,,,,,9,5,4,Source,2,2,0,Equal
baɾi:ja,bɐˈʀigɐ,ba.ɾi:.ja,bɐ.ˈʀi.gɐ,barriga,belly,Clements2012[37-41],,,,,,7,6,1,Source,3,3,0,Equal
gɾa:ndi,ˈɡɾɐ̃dɨ,gɾa:n.di,ˈɡɾɐ̃.dɨ,grande,big,Clements2012[37-41],,,,,,7,6,1,Source,2,2,0,Equal
pa:stɾu,ˈpasɐɾu,pa:s.tɾu,ˈpa.sɐ.ɾu,pássaro,bird,Clements2012[37-41],,,,,,7,6,1,Source,2,3,-1,Target
