Language,SourceWord,TargetWord,SourceWordSyl,TargetWordSyl,SourceSyllable,TargetSyllable,PositionSource,PositionTarget,Process,TargetOrthography,Translation,Reference,Notes
Timor Pidgin,teŋ,teɾ,teŋ,teɾ,teŋ,teɾ,1,1,,ter,"be, have",Baxter1990[7-21],
Timor Pidgin,boŋ,ˈbõ,boŋ,ˈbõ,boŋ,ˈbõ,1,1,,bom,good,Baxter1990[7-21],
Timor Pidgin,ˈuŋwa,ˈu.mɐ,ˈuŋ.wa,u.ma,uŋ,u,1,1,assimilation,uma,"a, one",Baxter1990[7-21],
Timor Pidgin,ˈuŋwa,ˈu.mɐ,ˈuŋ.wa,u.ma,wa,ma,2,2,assimilation,uma,"a, one",Baxter1990[7-21],
Timor Pidgin,alguˈdaŋ,aɫguˈdɐ̃w̃,al.gu.ˈdaŋ,aɫ.gu.ˈdɐ̃w̃,al,aɫ,1,1,,algodão,cotton,Baxter1990[7-21],
Timor Pidgin,alguˈdaŋ,aɫguˈdɐ̃w̃,al.gu.ˈdaŋ,aɫ.gu.ˈdɐ̃w̃,gu,gu,2,2,,algodão,cotton,Baxter1990[7-21],
Timor Pidgin,alguˈdaŋ,aɫguˈdɐ̃w̃,al.gu.ˈdaŋ,aɫ.gu.ˈdɐ̃w̃,ˈdaŋ,ˈdɐ̃w̃,3,3,,algodão,cotton,Baxter1990[7-21],
Timor Pidgin,korˈsaŋ,kuɾɐˈsɐ̃w̃,kor.ˈsaŋ,ku.ɾɐ.ˈsɐ̃w̃,kor,ku,1,1,metathesis,coração,heart,Baxter1990[7-21],
Timor Pidgin,korˈsaŋ,kuɾɐˈsɐ̃w̃,kor.ˈsaŋ,ku.ɾɐ.ˈsɐ̃w̃,-,ɾɐ,-,2,,coração,heart,Baxter1990[7-21],
Timor Pidgin,korˈsaŋ,kuɾɐˈsɐ̃w̃,kor.ˈsaŋ,ku.ɾɐ.ˈsɐ̃w̃,saŋ,ˈsɐ̃w̃,2,3,,coração,heart,Baxter1990[7-21],
Timor Pidgin,ˈt̠ʃua,ˈʃuvɐ,ˈt̠ʃu.a,ˈʃu.vɐ,ˈt̠ʃu,ˈʃu,1,1,,chuva,rain,Baxter1990[7-21],
