Language,SourceWord,TargetWord,SourceWordSyl,TargetWordSyl,TargetOrthography,Translation,SourceWord Length,TargetWord Length,SourceWordSyl Length,TargetWordSyl Length,Word difference,Word bigger,Syl difference,Syl bigger,check white spaces,,,,
Timor Pidgin,oˈlotu,,oˈlotu,,eles,they,5,0,1,1,5,Source,0,Equal,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Timor Pidgin,kaˈt̠ʃoru,kɐˈʃoʀu,ka.ˈt̠ʃo.ru,kɐ.ˈʃo.ʀu,cachorro,dog,6,6,3,3,0,Equal,0,Equal,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Timor Pidgin,d̠ʒa,ʒa,d̠ʒa,ʒa,já,already,2,2,1,1,0,Equal,0,Equal,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Timor Pidgin,ˈd̠ʒenti,ˈʒẽtɨ,ˈd̠ʒen.ti,ˈʒẽ.tɨ,gente,person,5,5,2,2,0,Equal,0,Equal,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Timor Pidgin,d̠ʒunˈtadu,ʒũˈtadu,d̠ʒun.ˈta.du,ʒũ.ˈta.du,juntado,together,7,7,3,3,0,Equal,0,Equal,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Timor Pidgin,ˈdad̠ʒi,ˈdaʎɨ,ˈda.d̠ʒi,ˈda.ʎɨ,dá-lhe,strike,4,4,2,2,0,Equal,0,Equal,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Timor Pidgin,ˈt̠ʃua,ˈʃuvɐ,ˈt̠ʃu.a,ˈʃu.vɐ,chuva,rain,3,4,2,2,-1,Target,0,Equal,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Timor Pidgin,ˈt̠ʃeru,ˈʃɐjɾu,ˈt̠ʃe.ru,ˈʃɐj.ɾu,cheiro,smell,4,5,2,2,-1,Target,0,Equal,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Timor Pidgin,nˈt̠ʃidu,ẽˈʃidu,n.ˈt̠ʃi.du,ẽ.ˈʃi.du,enchido,full,5,6,3,3,-1,Target,0,Equal,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Timor Pidgin,teŋ,teɾ,teŋ,teɾ,ter,"be, have",3,3,1,1,0,Equal,0,Equal,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Timor Pidgin,ˈuŋwa,ˈu.mɐ,ˈuŋ.wa,u.ma,uma,"a, one",4,4,2,2,0,Equal,0,Equal,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Timor Pidgin,ˈsuzu,ˈsuʒu,ˈsu.zu,ˈsu.ʒu,sujo,dirty,4,4,2,2,0,Equal,0,Equal,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Timor Pidgin,kaˈreta,kɐˈʀetɐ,ka.ˈre.ta,kɐ.ˈʀe.tɐ,carreta,"car, carriage",6,6,3,3,0,Equal,0,Equal,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Timor Pidgin,ˈferu,ˈfɛʀu,ˈfe.ru,ˈfɛ.ʀu,ferro,iron,4,4,2,2,0,Equal,0,Equal,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Timor Pidgin,baˈriga,bɐˈʀigɐ,ba.ˈri.ga,bɐ.ˈʀi.gɐ,barriga,belly,6,6,3,3,0,Equal,0,Equal,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Timor Pidgin,ˈɔ:tu,ˈotɾu,ˈɔ:.tu,ˈo.tɾu,outro,other,4,4,2,2,0,Equal,0,Equal,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Timor Pidgin,ˈεbra,ˈεɾvɐ,ˈε.bra,ˈεɾ.vɐ,erva,grass,4,4,2,2,0,Equal,0,Equal,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Timor Pidgin,ˈbaka,ˈvakɐ,ˈba.ka,ˈva.kɐ,vaca,bovine,4,4,2,2,0,Equal,0,Equal,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Timor Pidgin,ˈɔbu,ˈovu,ˈɔ.bu,ˈo.vu,ovo,egg,3,3,2,2,0,Equal,0,Equal,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Timor Pidgin,ˈnobu,ˈnovu,ˈno.bu,ˈno.vu,novo,new,4,4,2,2,0,Equal,0,Equal,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Timor Pidgin,muˈjεr,muˈʎεɾ,mu.ˈjεr,mu.ˈʎεɾ,mulher,"woman, wife",5,5,2,2,0,Equal,0,Equal,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Timor Pidgin,ˈɔju,ˈoʎu,ˈɔ.ju,ˈo.ʎu,olho,eye,3,3,2,2,0,Equal,0,Equal,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Timor Pidgin,ˈaju,ˈaʎu,ˈa.ju,ˈa.ʎu,alho,garlic,3,3,2,2,0,Equal,0,Equal,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Timor Pidgin,eu,ew,eu,ew,eu,I,2,2,1,1,0,Equal,0,Equal,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
