IPA,ALINE,Class
p,p,Plosives
t,t,Plosives
t̪,tD,Plosives
t̠ʃ,tsV,Plosives
ʈ,tX,Plosives
c,tP,Plosives
k,k,Plosives
ʔ,q,Plosives
ph,pA,Plosives
th,tA,Plosives
t̪h,tDA,Plosives
t̠ʃh,tsVA,Plosives
ʈh,tXA,Plosives
ch,tPA,Plosives
kh,kA,Plosives
b,b,Plosives
d,d,Plosives
d̪,dD,Plosives
d̠ʒ,dzV,Plosives
ɖ,dX,Plosives
ɟ,dP,Plosives
g,g,Plosives
f,f,Plosives
s,s,Plosives
θ,sD,Plosives
ʃ,sV,Plosives
ʂ,sX,Plosives
ɕ,sP,Plosives
x,x,Plosives
v,v,Plosives
z,z,Plosives
ð,zD,Plosives
ʒ,zV,Plosives
ʐ,zX,Plosives
ʑ,zP,Plosives
ɣ,gS,Plosives
m,m,Sonorants
n̪,nD,Sonorants
n,n,Sonorants
ɳ,nX,Sonorants
ɲ,nP,Sonorants
ŋ,gN,Sonorants
w,w,Sonorants
w̃,w,Sonorants
l,l,Sonorants
ʎ,L,Sonorants
r,r,Sonorants
ʀ,R,Sonorants
ɾ,r(,Sonorants
j,y,Sonorants
j̃,y,Sonorants
i,i,Vowels
e,e,Vowels
æ,aF,Vowels
y,uF,Vowels
œ,oF,Vowels
ɨ,iC,Vowels
ə,eC,Vowels
ɐ,aC,Vowels
a,a,Vowels
o,o,Vowels
u,u,Vowels
ɛ,E,Vowels
ɔ,O,Vowels
ɐ̃,aCN,Vowels
ã,aN,Vowels
õ,oN,Vowels
ũ,uN,Vowels
ẽ,eN,Vowels
ɛ,E,Vowels
ɔ,O,Vowels
